EpRewMean,EpisodesSoFar,EpThisIter,loss_ent,loss_vf_loss,EpLenMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_kl,TimestepsSoFar,loss_pol_entpen
-108.881694901,40,40,2.73631,554.114,50.0,0.0145268440247,-0.0207413,2.0231316089630127,0.00929158,2000,0.0
-103.035440229,81,41,2.61613,133.348,50.0,0.247547149658,-0.0254623,3.781214475631714,0.0114812,4050,0.0
-96.4172511412,122,41,2.52407,154.599,50.0,0.127902388573,-0.0209987,5.538266181945801,0.00957771,6100,0.0
-89.8292932848,163,41,2.44039,183.309,50.0,0.0461500287056,-0.0169626,7.276642799377441,0.00823172,8150,0.0
-84.7147076389,204,41,2.35623,174.739,50.0,0.14724868536,-0.0177463,9.02279281616211,0.00963154,10200,0.0
-78.9475506757,245,41,2.29707,156.107,50.0,0.14615046978,-0.0170742,10.851134300231934,0.00830395,12250,0.0
-74.1025846667,286,41,2.22437,138.402,50.0,0.156432032585,-0.0192214,12.602041959762573,0.00722253,14300,0.0
-69.4900217796,327,41,2.13523,122.137,50.0,0.230435669422,-0.0194662,14.335519790649414,0.00940418,16350,0.0
-65.5513680232,368,41,2.10198,76.1105,50.0,0.453269600868,-0.0142183,16.086716175079346,0.00701226,18400,0.0
-62.2465543619,409,41,2.02602,68.497,50.0,0.49662733078,-0.0210812,17.8129403591156,0.00806185,20450,0.0
-59.3508712098,450,41,1.96756,50.4671,50.0,0.581418603659,-0.019651,19.569797039031982,0.00899759,22500,0.0
-56.100208355,491,41,1.89727,48.0725,50.0,0.538580179214,-0.0210637,21.30732822418213,0.00919978,24550,0.0
-53.4060142659,532,41,1.82441,41.414,50.0,0.575816482306,-0.0211057,23.062431573867798,0.00880799,26600,0.0
-51.1329101166,573,41,1.73759,38.5878,50.0,0.64559212327,-0.0220678,24.804123401641846,0.00939245,28650,0.0
-48.1768439521,614,41,1.66621,33.1204,50.0,0.529826998711,-0.0220518,26.55424165725708,0.00864575,30700,0.0
-45.4015132248,655,41,1.59715,26.7155,50.0,0.585023313761,-0.0208707,28.288761854171753,0.00875188,32750,0.0
-43.8278192132,696,41,1.50795,22.9761,50.0,0.581854134798,-0.0280271,30.03884720802307,0.0105302,34800,0.0
-41.380941028,737,41,1.41009,20.8716,50.0,0.61396381259,-0.0245101,31.781317710876465,0.0109704,36850,0.0
-38.3414271585,778,41,1.34012,17.6619,50.0,0.621930986643,-0.0242763,33.52302956581116,0.00756068,38900,0.0
-36.575148549,819,41,1.24323,15.3943,50.0,0.656372845173,-0.0276517,35.272311210632324,0.0131509,40950,0.0
-34.677891433,860,41,1.18751,10.672,50.0,0.723650217056,-0.0249595,37.02310085296631,0.00891814,43000,0.0
-33.712071159,901,41,1.13447,10.8292,50.0,0.709715723991,-0.0231006,38.749953508377075,0.00967336,45050,0.0
-32.1372002298,942,41,1.08504,9.78413,50.0,0.675406187773,-0.0189636,40.507405042648315,0.00681022,47100,0.0
-31.4054355627,983,41,1.00566,8.61713,50.0,0.72972625494,-0.0266244,42.275532245635986,0.0100276,49150,0.0
