loss_kl,loss_ent,loss_vf_loss,ev_tdlam_before,TimestepsSoFar,TimeElapsed,EpisodesSoFar,loss_pol_surr,EpLenMean,EpRewMean,loss_pol_entpen,EpThisIter
0.00956366,2.73488,513.386,0.00216692686081,2000,1.9881443977355957,40,-0.0205597,50.0,-108.090913329,0.0,40
0.00984558,2.63004,145.682,0.231472909451,4050,3.746654987335205,81,-0.0209796,50.0,-103.996714037,0.0,41
0.00911057,2.53802,172.573,0.0894840955734,6100,5.46521258354187,122,-0.0197559,50.0,-97.7588164624,0.0,41
0.00883881,2.46162,172.086,0.0892285704613,8150,7.214740991592407,163,-0.0210013,50.0,-90.2001615307,0.0,41
0.00610198,2.41251,149.621,0.0972682833672,10200,8.9491708278656,204,-0.013658,50.0,-82.6048835042,0.0,41
0.00763748,2.34444,147.35,0.180109798908,12250,10.80877161026001,245,-0.0182125,50.0,-78.8971469371,0.0,41
0.00727178,2.28222,136.812,0.246835708618,14300,12.535603761672974,286,-0.0206269,50.0,-76.3180381324,0.0,41
0.010205,2.21636,106.373,0.336941659451,16350,14.28513240814209,327,-0.0233019,50.0,-73.4053269998,0.0,41
0.0074078,2.16279,83.5688,0.430680334568,18400,16.01987934112549,368,-0.0177875,50.0,-70.0590366468,0.0,41
0.0112714,2.10046,75.1808,0.426129639149,20450,17.777235746383667,409,-0.0224233,50.0,-68.0775279991,0.0,41
0.0112862,2.00898,68.2568,0.547050088644,22500,19.512458324432373,450,-0.0232709,50.0,-65.0331737537,0.0,41
0.00965027,1.93871,62.5456,0.478819966316,24550,21.269426584243774,491,-0.0217102,50.0,-61.1727980938,0.0,41
0.0095589,1.87407,48.359,0.552434027195,26600,23.023792505264282,532,-0.02148,50.0,-57.7577265271,0.0,41
0.00724894,1.81228,48.5007,0.542816072702,28650,24.761733055114746,573,-0.0188304,50.0,-53.5619736478,0.0,41
0.00877281,1.75334,44.6373,0.44825065136,30700,26.535457849502563,614,-0.0185,50.0,-51.628165165,0.0,41
0.00752035,1.70564,37.9965,0.539310663939,32750,28.286258697509766,655,-0.0205033,50.0,-49.2655979845,0.0,41
0.00818906,1.6448,30.137,0.624264121056,34800,30.027320623397827,696,-0.0214752,50.0,-47.6133551166,0.0,41
0.0101049,1.56763,26.9956,0.638629376888,36850,31.77766251564026,737,-0.023852,50.0,-45.5061904006,0.0,41
0.00852686,1.52951,19.5367,0.684988856316,38900,33.50450539588928,778,-0.0210431,50.0,-43.6930437352,0.0,41
0.0106611,1.47127,21.8215,0.651656210423,40950,35.23903965950012,819,-0.0261159,50.0,-42.2081864389,0.0,41
0.00875612,1.40384,20.5739,0.628435999155,43000,36.989253759384155,860,-0.024413,50.0,-41.1126012311,0.0,41
0.0110487,1.33509,19.2193,0.616431564093,45050,38.717819690704346,901,-0.0245564,50.0,-40.4480855473,0.0,41
0.00957097,1.2478,16.1337,0.66934555769,47100,40.457648038864136,942,-0.0255592,50.0,-39.275136335,0.0,41
0.00758511,1.18712,13.1034,0.729558289051,49150,42.199217796325684,983,-0.0206305,50.0,-37.4008658295,0.0,41
0.00879518,1.09544,11.8789,0.718067914248,51200,43.949533462524414,1024,-0.0250611,50.0,-35.4558812401,0.0,41
0.00862389,1.02936,10.7038,0.741763025522,53200,45.69201946258545,1064,-0.0212902,50.0,-33.5335689335,0.0,40
0.00632703,0.969261,7.7981,0.790536940098,55250,47.42663884162903,1105,-0.0218587,50.0,-32.4924484908,0.0,41
0.0117704,0.891302,7.32061,0.776808157563,57300,49.161264419555664,1146,-0.0229365,50.0,-30.6094526579,0.0,41
0.010773,0.824313,6.12939,0.794648274779,59350,50.905641317367554,1187,-0.0232046,50.0,-29.3734938377,0.0,41
0.00953769,0.77755,6.11174,0.786287650466,61400,52.63735580444336,1228,-0.0186034,50.0,-28.1387007895,0.0,41
0.0105569,0.691263,5.74929,0.742531329393,63450,54.38973069190979,1269,-0.0302425,50.0,-27.346691745,0.0,41
0.00880996,0.635886,5.70743,0.757738217711,65500,56.1146821975708,1310,-0.0244023,50.0,-26.6706486852,0.0,41
0.00937143,0.591248,4.54267,0.802356943488,67550,57.855507373809814,1351,-0.0242867,50.0,-25.7620928378,0.0,41
0.00841156,0.531385,4.16564,0.801072612405,69600,59.58239150047302,1392,-0.0208019,50.0,-25.4276897159,0.0,41
0.00947774,0.467285,3.67474,0.815590858459,71650,61.33330178260803,1433,-0.0216997,50.0,-24.8542123337,0.0,41
0.00879038,0.412459,2.91367,0.854355230927,73700,63.07416558265686,1474,-0.0207207,50.0,-24.5040084028,0.0,41
0.0118447,0.34378,2.7753,0.850174978375,75750,64.82402920722961,1515,-0.0235591,50.0,-24.0708864082,0.0,41
0.00927482,0.291787,2.4413,0.865050777793,77800,66.5498685836792,1556,-0.0229116,50.0,-23.4623562906,0.0,41
0.0161459,0.21283,2.44936,0.864763438702,79850,68.30176997184753,1597,-0.0225992,50.0,-22.7987271227,0.0,41
0.00911888,0.168018,2.05269,0.879732489586,81900,70.04372477531433,1638,-0.0186112,50.0,-22.2086092049,0.0,41
0.00869909,0.101235,2.09812,0.865293040872,83950,71.77761626243591,1679,-0.0214523,50.0,-21.5109688423,0.0,41
0.0110584,0.059363,1.69559,0.855209693313,86000,73.52747893333435,1720,-0.0236877,50.0,-20.384937514,0.0,41
0.0160441,-0.0261486,2.13928,0.825439050794,88050,75.27764320373535,1761,-0.0293664,50.0,-19.5277361923,0.0,41
0.0126983,-0.1004,1.89164,0.863442406058,90100,77.01165461540222,1802,-0.0298047,50.0,-19.3695730316,0.0,41
0.0115688,-0.165233,2.05602,0.817944347858,92150,78.76347208023071,1843,-0.0258773,50.0,-19.0696710764,0.0,41
0.0139765,-0.194669,1.60373,0.880488649011,94200,80.48934626579285,1884,-0.0236508,50.0,-18.5641105526,0.0,41
0.0119719,-0.234866,1.36805,0.863683000207,96250,82.2311646938324,1925,-0.0232928,50.0,-17.9032864922,0.0,41
0.0116291,-0.267754,1.73554,0.787158891559,98300,83.98344850540161,1966,-0.0236155,50.0,-16.9748246998,0.0,41
0.0158062,-0.309601,1.20348,0.852060988545,100350,85.76250672340393,2007,-0.0184676,50.0,-16.8175382292,0.0,41
0.0120437,-0.37908,1.38396,0.840996533632,102400,87.52019381523132,2048,-0.0260804,50.0,-16.9620833054,0.0,41
0.0138374,-0.416484,0.904493,0.885792478919,104400,89.25468492507935,2088,-0.0184708,50.0,-16.6370659584,0.0,40
0.0154979,-0.441244,0.831053,0.882487222552,106450,91.003835439682,2129,-0.0241145,50.0,-15.9776658939,0.0,41
0.0101451,-0.490855,1.07373,0.860921815038,108500,92.74683141708374,2170,-0.0251428,50.0,-15.6245659642,0.0,41
0.0166836,-0.541143,0.791844,0.884661197662,110550,94.50184774398804,2211,-0.022558,50.0,-15.5521369526,0.0,41
0.0152819,-0.579701,0.82288,0.869631201029,112600,96.2341856956482,2252,-0.0226655,50.0,-15.1769033989,0.0,41
0.0178539,-0.63793,0.758288,0.881105646491,114650,97.95782351493835,2293,-0.0233225,50.0,-15.188287338,0.0,41
0.0114795,-0.69485,0.662626,0.888037919998,116700,99.69907808303833,2334,-0.027448,50.0,-15.3798405233,0.0,41
0.0208037,-0.747561,0.635089,0.873237684369,118750,101.43655920028687,2375,-0.0188501,50.0,-15.0087956152,0.0,41
0.0141355,-0.829785,0.713738,0.887350007892,120800,103.16563105583191,2416,-0.0316164,50.0,-14.8942738372,0.0,41
0.0137506,-0.860889,0.574412,0.894835345447,122850,104.91810059547424,2457,-0.023426,50.0,-14.6203804758,0.0,41
0.0138108,-0.898131,0.576807,0.88315025717,124900,106.69185471534729,2498,-0.0197968,50.0,-13.7353659279,0.0,41
0.0135964,-0.925058,0.477046,0.901109173894,126950,108.43457961082458,2539,-0.0254837,50.0,-13.5595504091,0.0,41
0.01579,-0.978937,0.480919,0.913066826761,129000,110.15245366096497,2580,-0.0257057,50.0,-13.6345341621,0.0,41
0.0147859,-1.01965,0.396295,0.936712779105,131050,111.90265417098999,2621,-0.0214539,50.0,-13.3383138971,0.0,41
0.0152209,-1.06286,0.490208,0.91182076931,133100,113.64513206481934,2662,-0.0223732,50.0,-12.9580676708,0.0,41
0.0154015,-1.10124,0.501494,0.913236767054,135150,115.39537930488586,2703,-0.0240829,50.0,-12.8366788169,0.0,41
0.0216368,-1.15297,0.432134,0.931801229715,137200,117.11323857307434,2744,-0.0246998,50.0,-13.3637308966,0.0,41
0.0144301,-1.18588,0.423224,0.897452332079,139250,118.86432361602783,2785,-0.0198412,50.0,-13.4030237244,0.0,41
0.0177991,-1.19504,0.352581,0.918661601841,141300,120.59281611442566,2826,-0.0199433,50.0,-13.008500194,0.0,41
0.0173729,-1.20919,0.427355,0.9072419554,143350,122.3319628238678,2867,-0.0147964,50.0,-13.0344960235,0.0,41
0.0199584,-1.24814,0.349447,0.940557539463,145400,124.06721925735474,2908,-0.0172803,50.0,-13.4377968102,0.0,41
0.0139798,-1.27557,0.388099,0.900624468923,147450,125.82397961616516,2949,-0.026216,50.0,-12.8198542131,0.0,41
0.0156773,-1.32177,0.323588,0.924644857645,149500,127.55318069458008,2990,-0.0240124,50.0,-12.5895534261,0.0,41
