EpLenMean,TimeElapsed,EpRewMean,loss_pol_entpen,loss_ent,loss_kl,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before
50.0,2.172739267349243,-110.247433482,0.0,2.75089,0.00774802,578.066,-0.0172553,40,40,2000,-0.00102710723877
50.0,3.9303643703460693,-106.74912373,0.0,2.63816,0.0115329,162.329,-0.0264753,81,41,4050,0.275562822819
50.0,5.72737193107605,-101.022573521,0.0,2.53169,0.0108888,172.919,-0.0226655,122,41,6100,0.150700569153
50.0,7.4932050704956055,-92.242154431,0.0,2.46565,0.00637732,166.625,-0.015658,163,41,8150,0.0935243368149
50.0,9.28998327255249,-85.2658408779,0.0,2.40186,0.00688513,174.665,-0.016581,204,41,10200,0.0735061764717
50.0,11.072300910949707,-80.3199191598,0.0,2.33398,0.00750455,161.35,-0.0165986,245,41,12250,0.169140934944
50.0,12.868695974349976,-75.997076842,0.0,2.28163,0.00933719,126.266,-0.0181989,286,41,14300,0.267194330692
50.0,14.635097980499268,-72.382865794,0.0,2.21944,0.00726512,109.95,-0.018019,327,41,16350,0.370166659355
50.0,16.418139696121216,-68.4858999134,0.0,2.13552,0.0111967,92.1716,-0.0221311,368,41,18400,0.444158375263
50.0,18.20469856262207,-66.2842593657,0.0,2.05986,0.0086735,74.7029,-0.0212546,409,41,20450,0.488419532776
50.0,19.99266266822815,-61.9159846796,0.0,1.99413,0.00772002,56.4803,-0.0211919,450,41,22500,0.535548210144
50.0,21.787261247634888,-58.7396494713,0.0,1.91678,0.00805666,54.8768,-0.0213717,491,41,24550,0.544529646635
50.0,23.57094430923462,-55.4232323974,0.0,1.85484,0.00770999,36.001,-0.0187691,532,41,26600,0.633495718241
50.0,25.339603662490845,-53.2055561022,0.0,1.79427,0.00798644,39.1153,-0.0202133,573,41,28650,0.53274333477
50.0,27.1246280670166,-50.4364710034,0.0,1.73321,0.00613052,34.8598,-0.0169711,614,41,30700,0.55635035038
50.0,28.899523496627808,-48.6465504466,0.0,1.66873,0.00755778,29.9418,-0.0187527,655,41,32750,0.590423047543
50.0,30.682849884033203,-46.0607049352,0.0,1.58872,0.00892397,24.2242,-0.0219921,696,41,34800,0.669970929623
50.0,32.45275688171387,-44.1675334971,0.0,1.50649,0.0105285,20.3257,-0.0265602,737,41,36850,0.728917896748
50.0,34.23410677909851,-42.4359478529,0.0,1.43635,0.00825398,16.0216,-0.0236739,778,41,38900,0.742752969265
50.0,35.98531150817871,-40.6445860126,0.0,1.35159,0.0101539,15.6996,-0.0257402,819,41,40950,0.737958878279
50.0,37.78978610038757,-39.1051901795,0.0,1.2692,0.00982757,15.0371,-0.0223974,860,41,43000,0.712520688772
50.0,39.571144819259644,-37.5269456689,0.0,1.19324,0.0093788,11.0139,-0.0212972,901,41,45050,0.77358981967
50.0,41.352713108062744,-35.7117230509,0.0,1.09764,0.0100808,8.55121,-0.02776,942,41,47100,0.818070322275
50.0,43.121538400650024,-34.6833228586,0.0,1.01946,0.00876222,6.80944,-0.0208876,983,41,49150,0.83417057991
50.0,44.96964240074158,-32.772427226,0.0,0.941118,0.0104724,7.34569,-0.025191,1024,41,51200,0.809580236673
50.0,46.72698998451233,-31.0848996533,0.0,0.860998,0.0122453,4.47287,-0.025832,1064,40,53200,0.874558672309
50.0,48.52471590042114,-30.5686006289,0.0,0.790622,0.0110837,7.11112,-0.0266502,1105,41,55250,0.744822174311
50.0,50.27781081199646,-29.5659743396,0.0,0.727727,0.00981663,4.41247,-0.0258028,1146,41,57300,0.860591545701
50.0,52.063151359558105,-28.9584539602,0.0,0.651325,0.0134036,4.43223,-0.0324549,1187,41,59350,0.844287887216
50.0,53.82177186012268,-28.1490455168,0.0,0.572515,0.010132,3.55126,-0.0261353,1228,41,61400,0.878327205777
50.0,55.605417251586914,-27.2490602922,0.0,0.494396,0.0109492,2.90156,-0.0246306,1269,41,63450,0.886897400022
50.0,57.37591481208801,-26.7224554503,0.0,0.418268,0.0104104,2.40109,-0.0226401,1310,41,65500,0.910119920969
50.0,59.157609701156616,-26.0470978549,0.0,0.36871,0.011228,2.04231,-0.0286156,1351,41,67550,0.905859045684
50.0,60.930129289627075,-25.9536491488,0.0,0.315904,0.00938228,2.28201,-0.0250232,1392,41,69600,0.897517204285
50.0,62.71223759651184,-25.830093514,0.0,0.286797,0.0106418,2.10385,-0.0205813,1433,41,71650,0.911843813956
50.0,64.46409726142883,-24.9824670721,0.0,0.226192,0.00987899,1.84886,-0.0223374,1474,41,73700,0.918358549476
50.0,66.25051641464233,-24.2293914918,0.0,0.154449,0.0145764,1.67004,-0.024178,1515,41,75750,0.9070276618
50.0,68.01691269874573,-23.6726754114,0.0,0.0905599,0.0123944,1.77182,-0.0258821,1556,41,77800,0.91356292367
50.0,69.80679678916931,-23.0306991893,0.0,0.0296919,0.0116241,1.26634,-0.0218954,1597,41,79850,0.936236649752
50.0,71.57408404350281,-22.5147466275,0.0,-0.0237628,0.0121843,0.839081,-0.0287122,1638,41,81900,0.94945474714
50.0,73.36101508140564,-21.9944297248,0.0,-0.0852713,0.014364,0.743338,-0.0251351,1679,41,83950,0.952718652785
50.0,75.11751675605774,-21.9377700091,0.0,-0.177471,0.0212844,1.0639,-0.0292006,1720,41,86000,0.926082551479
50.0,76.91469383239746,-21.7169367152,0.0,-0.236572,0.0137991,0.746278,-0.0288676,1761,41,88050,0.953673344105
50.0,78.68841123580933,-21.5021354572,0.0,-0.282455,0.0122115,0.964794,-0.024665,1802,41,90100,0.928676374257
50.0,80.46976351737976,-21.235174896,0.0,-0.330057,0.0130327,0.966315,-0.0283637,1843,41,92150,0.926616035402
50.0,82.25118899345398,-21.061105724,0.0,-0.380383,0.0175212,0.680743,-0.0234572,1884,41,94200,0.956741318107
50.0,84.03256130218506,-20.5930356172,0.0,-0.445908,0.0106732,0.678834,-0.0242037,1925,41,96250,0.955059349537
50.0,85.80586838722229,-19.9590364034,0.0,-0.499904,0.00914248,0.592016,-0.0256956,1966,41,98300,0.955679193139
50.0,87.59091711044312,-19.9891579665,0.0,-0.564106,0.015361,0.415457,-0.0276945,2007,41,100350,0.965049218386
50.0,89.34482264518738,-19.8259974219,0.0,-0.629542,0.0144747,0.46364,-0.0313545,2048,41,102400,0.963648702949
50.0,91.14151811599731,-19.2838667313,0.0,-0.697978,0.0127495,0.458581,-0.0287669,2088,40,104400,0.958885561675
50.0,92.93068337440491,-18.6901054689,0.0,-0.735684,0.0117841,0.387655,-0.027951,2129,41,106450,0.960619252175
50.0,94.71180868148804,-18.1613116634,0.0,-0.777569,0.0133806,0.277859,-0.0248384,2170,41,108500,0.974677849561
50.0,96.47844982147217,-18.253625278,0.0,-0.838092,0.0153969,0.287762,-0.0245886,2211,41,110550,0.973119355738
50.0,98.27752900123596,-18.4168742351,0.0,-0.913665,0.0157509,0.207007,-0.0263829,2252,41,112600,0.981536662206
50.0,100.03263735771179,-18.2182015936,0.0,-0.954924,0.0145547,0.240951,-0.0202428,2293,41,114650,0.976271215826
50.0,101.82692170143127,-17.9814125449,0.0,-0.993273,0.0152155,0.284079,-0.0288652,2334,41,116700,0.97517914325
50.0,103.59347677230835,-17.5872890212,0.0,-1.05915,0.0173697,0.219792,-0.0229011,2375,41,118750,0.980662692338
50.0,105.39081358909607,-17.5685808913,0.0,-1.10306,0.0124159,0.239624,-0.0215813,2416,41,120800,0.978347744793
50.0,107.15712428092957,-17.3703580201,0.0,-1.1645,0.016348,0.180976,-0.0260357,2457,41,122850,0.986011994071
50.0,108.9528181552887,-17.4135648731,0.0,-1.20265,0.0246746,0.168055,-0.0130113,2498,41,124900,0.983150091022
50.0,110.71213459968567,-17.1212467547,0.0,-1.2366,0.0120476,0.133528,-0.0258537,2539,41,126950,0.984417980537
50.0,112.50148940086365,-16.933034372,0.0,-1.277,0.0157716,0.155445,-0.0317368,2580,41,129000,0.982099242508
50.0,114.25827693939209,-17.1285559286,0.0,-1.3277,0.0172761,0.124266,-0.0259204,2621,41,131050,0.987540097907
50.0,116.05697965621948,-17.1492198554,0.0,-1.37224,0.020289,0.101623,-0.0212964,2662,41,133100,0.989058613777
50.0,117.81411862373352,-16.8566039219,0.0,-1.41644,0.0132286,0.0985052,-0.0283249,2703,41,135150,0.988573962823
50.0,119.60387468338013,-16.5905735582,0.0,-1.46334,0.0197532,0.0806605,-0.0243067,2744,41,137200,0.991263821721
50.0,121.37079644203186,-16.4682884523,0.0,-1.51009,0.0298653,0.0903857,-0.0199746,2785,41,139250,0.989265205339
50.0,123.15734219551086,-16.3932286634,0.0,-1.56707,0.0160985,0.114538,-0.0352831,2826,41,141300,0.988705134951
50.0,124.9303650856018,-16.2565326803,0.0,-1.60214,0.0128022,0.102229,-0.0248539,2867,41,143350,0.988986499608
50.0,126.71950626373291,-16.0320712373,0.0,-1.63891,0.0139568,0.0945828,-0.0278072,2908,41,145400,0.985549553297
50.0,128.4852819442749,-15.7776722,0.0,-1.67471,0.0141719,0.0880863,-0.0238328,2949,41,147450,0.987205626443
50.0,130.28795957565308,-15.2236412404,0.0,-1.70123,0.0291646,0.126295,-0.012505,2990,41,149500,0.982133708894
50.0,132.05175852775574,-15.0877916101,0.0,-1.72976,0.0309858,0.0810249,-0.0151162,3031,41,151550,0.980759758502
50.0,133.84909582138062,-14.7913717037,0.0,-1.75536,0.0292673,0.0561428,-0.0336419,3072,41,153600,0.989431127906
50.0,135.60855913162231,-14.9932321309,0.0,-1.79405,0.0247272,0.0525063,-0.0235377,3112,40,155600,0.992581564933
50.0,137.3929545879364,-14.6660631788,0.0,-1.85994,0.0244309,0.0644537,-0.0326833,3153,41,157650,0.990994532593
50.0,139.1481728553772,-14.3976797369,0.0,-1.91615,0.0262382,0.0728367,-0.0199935,3194,41,159700,0.985263554379
50.0,140.9461317062378,-14.4098742952,0.0,-1.96625,0.0233167,0.0621813,-0.0272597,3235,41,161750,0.988290363923
50.0,142.7042510509491,-14.1379121776,0.0,-2.01652,0.0256813,0.0352693,-0.0284244,3276,41,163800,0.993219983764
50.0,144.49778294563293,-14.1997164545,0.0,-2.03738,0.029233,0.0601941,-0.0183733,3317,41,165850,0.98877624236
50.0,146.28383445739746,-14.0620048174,0.0,-2.06558,0.0279736,0.057658,-0.0226159,3358,41,167900,0.990846184082
50.0,148.0715045928955,-14.0320770874,0.0,-2.09582,0.0183913,0.0787565,-0.030523,3399,41,169950,0.985929620452
50.0,149.82967805862427,-13.8925964154,0.0,-2.1163,0.0294197,0.0759463,-0.0241168,3440,41,172000,0.979260027409
50.0,151.6340913772583,-13.4336707101,0.0,-2.12372,0.0224012,0.0952614,-0.0269289,3481,41,174050,0.979470428079
50.0,153.3873748779297,-13.3525266629,0.0,-2.16452,0.0252543,0.0553337,-0.0221074,3522,41,176100,0.986374660395
50.0,155.18910884857178,-13.6270170861,0.0,-2.18027,0.0248874,0.0496501,-0.0204969,3563,41,178150,0.981519529596
50.0,156.94988179206848,-13.8010619187,0.0,-2.17918,0.0275786,0.102629,-0.0219156,3604,41,180200,0.976296525449
50.0,158.72805190086365,-13.2407474404,0.0,-2.20464,0.0168147,0.0677531,-0.0214564,3645,41,182250,0.9754446242
50.0,160.49302005767822,-13.2864359475,0.0,-2.23493,0.0312052,0.106072,-0.0203551,3686,41,184300,0.983484247699
