EpThisIter,loss_pol_entpen,TimeElapsed,TimestepsSoFar,loss_ent,EpisodesSoFar,ev_tdlam_before,loss_pol_surr,loss_vf_loss,EpRewMean,EpLenMean,loss_kl
40,0.0,2.1184871196746826,2000,2.73125,40,0.0089350938797,-0.0228883,558.085,-111.335963283,50.0,0.0100951
41,0.0,3.851668119430542,4050,2.61607,81,0.248241186142,-0.0234975,138.948,-105.004444061,50.0,0.0107206
41,0.0,5.5559563636779785,6100,2.53238,122,0.115405678749,-0.0199051,174.181,-98.2686945608,50.0,0.00785984
41,0.0,7.281933784484863,8150,2.4487,163,0.0872195363045,-0.0172578,173.843,-90.4746368162,50.0,0.00818815
41,0.0,8.992196083068848,10200,2.37641,204,0.117842614651,-0.0171038,157.122,-83.4354345937,50.0,0.00803787
41,0.0,10.71178650856018,12250,2.32236,245,0.184889614582,-0.013673,144.227,-77.2353948691,50.0,0.00596889
41,0.0,12.414986848831177,14300,2.25796,286,0.174329400063,-0.0165652,144.982,-74.1052525438,50.0,0.00840753
41,0.0,14.149154901504517,16350,2.18979,327,0.33865493536,-0.0167778,100.06,-69.455024374,50.0,0.00759222
41,0.0,15.860141277313232,18400,2.10801,368,0.465281367302,-0.0186258,73.3889,-66.2388947603,50.0,0.00734897
41,0.0,17.5713849067688,20450,2.06001,409,0.464347183704,-0.0177021,65.4078,-63.7537909078,50.0,0.00904004
41,0.0,19.293621301651,22500,1.99287,450,0.430606722832,-0.0222045,67.9885,-60.9376437568,50.0,0.00888451
41,0.0,20.9900119304657,24550,1.9275,491,0.450824975967,-0.0193532,56.1545,-57.3359820475,50.0,0.00944132
41,0.0,22.719210147857666,26600,1.8438,532,0.544729411602,-0.0199605,49.1641,-53.6702588112,50.0,0.00919368
41,0.0,24.40700888633728,28650,1.79802,573,0.57724365592,-0.0179249,37.6437,-51.7575448249,50.0,0.0071608
41,0.0,26.14152479171753,30700,1.72325,614,0.539475381374,-0.0205018,41.8642,-49.341892124,50.0,0.00970631
41,0.0,27.83716368675232,32750,1.63023,655,0.549656778574,-0.0248351,33.3729,-47.8912852147,50.0,0.010681
41,0.0,29.563955783843994,34800,1.5629,696,0.612867593765,-0.0217123,25.3334,-45.020890731,50.0,0.00708363
41,0.0,31.27016258239746,36850,1.47613,737,0.610923111439,-0.023458,21.4189,-42.6734282464,50.0,0.0103225
41,0.0,33.00079607963562,38900,1.40643,778,0.577670156956,-0.0227408,21.1334,-39.7969817882,50.0,0.00822214
41,0.0,34.70728540420532,40950,1.33284,819,0.655492067337,-0.0208795,17.2565,-37.9019410844,50.0,0.00827595
41,0.0,36.429972887039185,43000,1.2651,860,0.572098731995,-0.0203328,19.3025,-36.5729189803,50.0,0.00784015
41,0.0,38.16510200500488,45050,1.21096,901,0.634650021791,-0.0209595,15.7364,-35.8312867809,50.0,0.00887865
41,0.0,39.89133644104004,47100,1.14457,942,0.618606060743,-0.0218895,14.8084,-33.9022637593,50.0,0.0100294
41,0.0,41.61211133003235,49150,1.07306,983,0.613248169422,-0.0237278,13.0893,-32.242608187,50.0,0.0083332
41,0.0,43.30472922325134,51200,1.00453,1024,0.676625669003,-0.0228976,9.81107,-31.150207391,50.0,0.00829644
40,0.0,45.032158613204956,53200,0.941315,1064,0.680248826742,-0.0223183,9.96247,-29.7566382099,50.0,0.00867332
41,0.0,46.7230384349823,55250,0.869124,1105,0.650220125914,-0.0241397,8.92779,-28.320434905,50.0,0.00878358
41,0.0,48.44661259651184,57300,0.7993,1146,0.580318599939,-0.0264764,9.5091,-27.0468110626,50.0,0.0114659
41,0.0,50.14065623283386,59350,0.727653,1187,0.648192644119,-0.027192,7.34408,-26.3075016121,50.0,0.0106231
41,0.0,51.866554737091064,61400,0.654236,1228,0.717146098614,-0.0274669,5.14792,-25.2942804667,50.0,0.0105639
41,0.0,53.56934857368469,63450,0.598675,1269,0.716893672943,-0.0246675,5.67366,-24.4568112173,50.0,0.00960034
41,0.0,55.290671825408936,65500,0.542159,1310,0.659499883652,-0.0262732,5.03075,-24.0724727165,50.0,0.011967
41,0.0,56.98891806602478,67550,0.512736,1351,0.732686966658,-0.025427,4.2572,-23.3420356992,50.0,0.00910379
41,0.0,58.726911306381226,69600,0.459853,1392,0.703926891088,-0.0234323,4.59638,-22.5575621725,50.0,0.0104417
41,0.0,60.41529703140259,71650,0.414945,1433,0.767614588141,-0.0212047,3.43027,-22.2133819282,50.0,0.015562
41,0.0,62.14217209815979,73700,0.383279,1474,0.774436846375,-0.0218792,3.19722,-21.4345483447,50.0,0.0109017
41,0.0,63.853431701660156,75750,0.323673,1515,0.723103374243,-0.0239272,3.47119,-20.8695256882,50.0,0.00985586
41,0.0,65.5797803401947,77800,0.293404,1556,0.707557410002,-0.0255801,3.04522,-20.7356028114,50.0,0.010188
41,0.0,67.29732298851013,79850,0.258685,1597,0.730349183083,-0.0217015,2.78259,-20.0634379654,50.0,0.00911313
41,0.0,69.01648378372192,81900,0.222179,1638,0.757341042161,-0.0223606,2.48514,-19.3818155485,50.0,0.00973983
41,0.0,70.72771835327148,83950,0.153486,1679,0.752038404346,-0.0246977,2.54621,-18.801384094,50.0,0.0123148
41,0.0,72.43820285797119,86000,0.0979758,1720,0.718873471022,-0.0226159,2.44658,-18.8203843397,50.0,0.0107361
41,0.0,74.15714645385742,88050,0.0440881,1761,0.713539063931,-0.0256656,1.94715,-18.3725313516,50.0,0.01384
41,0.0,75.84775924682617,90100,0.00284874,1802,0.811794802547,-0.0219688,1.51554,-17.6450986375,50.0,0.0129915
41,0.0,77.58569693565369,92150,-0.036981,1843,0.771130353212,-0.0287499,1.73621,-17.2090836417,50.0,0.0127731
41,0.0,79.25874590873718,94200,-0.0876515,1884,0.753332898021,-0.0247093,1.70168,-17.0782871155,50.0,0.0150863
41,0.0,80.98528790473938,96250,-0.154137,1925,0.758384749293,-0.0273458,1.47196,-16.8751339434,50.0,0.0136023
41,0.0,82.67630004882812,98300,-0.184363,1966,0.776743873954,-0.0161351,1.34791,-16.4744642672,50.0,0.0127684
41,0.0,84.41467618942261,100350,-0.220218,2007,0.740814656019,-0.0217529,1.69996,-16.6087845444,50.0,0.011431
41,0.0,86.09376358985901,102400,-0.291813,2048,0.741399466991,-0.0257874,1.41988,-15.9723207808,50.0,0.0143067
40,0.0,87.82993650436401,104400,-0.307994,2088,0.773286640644,-0.0223349,1.29703,-14.9975741311,50.0,0.0199139
41,0.0,89.51900911331177,106450,-0.354503,2129,0.777145773172,-0.023733,1.27303,-14.9318069976,50.0,0.010286
41,0.0,91.24291276931763,108500,-0.406549,2170,0.788453310728,-0.025193,1.18337,-14.8474903671,50.0,0.012079
41,0.0,92.95369720458984,110550,-0.453054,2211,0.71883764863,-0.0267766,1.13052,-15.261627357,50.0,0.0115031
41,0.0,94.67259812355042,112600,-0.494163,2252,0.753675580025,-0.0224294,1.3346,-14.8019178331,50.0,0.0139701
41,0.0,96.39149785041809,114650,-0.546956,2293,0.78958041966,-0.0322881,0.881911,-14.6116359828,50.0,0.0159589
