EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
40,556.093,2.73999,-108.825009959,-0.00437819957733,40,0.00962136,2.330305337905884,2000,-0.0213592,0.0,50.0
81,136.656,2.63939,-104.396473771,0.227661848068,41,0.010428,4.084484100341797,4050,-0.0220521,0.0,50.0
122,186.09,2.54602,-98.3408012936,0.101796209812,41,0.0105384,5.818596839904785,6100,-0.0224432,0.0,50.0
163,176.028,2.47153,-91.5547405187,0.0672461986542,41,0.00830728,7.570584535598755,8150,-0.019073,0.0,50.0
204,184.169,2.38719,-84.7394435622,0.0594923496246,41,0.0085479,9.315351009368896,10200,-0.0198735,0.0,50.0
245,121.395,2.30124,-79.9408509679,0.194524347782,41,0.00811752,11.054778575897217,12250,-0.0204348,0.0,50.0
286,116.347,2.23702,-75.4006168874,0.28274255991,41,0.00753031,12.804854154586792,14300,-0.0179393,0.0,50.0
327,103.041,2.1617,-71.5168853968,0.351219892502,41,0.00986938,14.546833276748657,16350,-0.0209656,0.0,50.0
368,81.8382,2.09361,-67.2954460115,0.429039418697,41,0.00840003,16.28840732574463,18400,-0.0183071,0.0,50.0
409,71.1984,2.02913,-63.0626403002,0.481476426125,41,0.00813772,18.03222632408142,20450,-0.0165401,0.0,50.0
450,56.5263,1.93272,-58.6855793991,0.568597257137,41,0.00966006,19.78495502471924,22500,-0.0230815,0.0,50.0
491,45.6672,1.87464,-55.3218211719,0.559715539217,41,0.00706444,21.53275775909424,24550,-0.0168479,0.0,50.0
532,40.5808,1.81229,-52.433987795,0.57109567523,41,0.00790125,23.280510425567627,26600,-0.021742,0.0,50.0
573,36.5214,1.73314,-50.3222481184,0.564418464899,41,0.0119038,25.030309677124023,28650,-0.0251004,0.0,50.0
614,28.6742,1.68697,-47.9204156209,0.598073929548,41,0.00941591,26.765151500701904,30700,-0.0223511,0.0,50.0
