loss_pol_surr,loss_pol_entpen,EpisodesSoFar,EpThisIter,EpRewMean,loss_ent,TimestepsSoFar,loss_kl,TimeElapsed,ev_tdlam_before,loss_vf_loss,EpLenMean
-0.019279,0.0,40,40,-112.178351445,2.74506,2000,0.00787192,2.0286049842834473,0.00185942649841,544.054,50.0
-0.0198595,0.0,81,41,-106.421867525,2.64551,4050,0.00815805,3.765495777130127,0.191560804844,145.511,50.0
-0.0173666,0.0,122,41,-98.6306044602,2.5573,6100,0.00833099,5.50801157951355,0.0910208821297,169.403,50.0
-0.0165298,0.0,163,41,-91.4867802626,2.48029,8150,0.00707175,7.274138927459717,0.0863744020462,180.558,50.0
-0.0150665,0.0,204,41,-84.3133979915,2.4298,10200,0.00678213,9.024151086807251,0.111249566078,175.994,50.0
-0.0138095,0.0,245,41,-81.5383831068,2.37407,12250,0.00716839,10.760774374008179,0.112828195095,174.781,50.0
-0.0184499,0.0,286,41,-77.1453997442,2.2967,14300,0.00850542,12.49275016784668,0.171984553337,158.612,50.0
-0.0163133,0.0,327,41,-71.6926751776,2.25072,16350,0.00696666,14.241559982299805,0.316529035568,104.829,50.0
-0.0230539,0.0,368,41,-69.013049506,2.163,18400,0.0095173,15.977098941802979,0.322290182114,94.7103,50.0
-0.0200743,0.0,409,41,-65.8361496392,2.10616,20450,0.00819068,17.71908664703369,0.392277061939,80.5355,50.0
-0.0173291,0.0,450,41,-62.3905642796,2.04314,22500,0.0071964,19.469220399856567,0.464370250702,67.3777,50.0
-0.0239721,0.0,491,41,-58.9847203961,1.94644,24550,0.0105118,21.234587907791138,0.566186189651,50.0771,50.0
-0.0196565,0.0,532,41,-54.9433633495,1.86646,26600,0.00858645,22.96908140182495,0.626929998398,40.4876,50.0
-0.0246711,0.0,573,41,-52.0810911354,1.78963,28650,0.00994566,24.727190017700195,0.658970147371,35.9656,50.0
-0.0249407,0.0,614,41,-49.1336079742,1.70388,30700,0.0103796,26.473520040512085,0.607599914074,29.216,50.0
-0.0250537,0.0,655,41,-46.3460265749,1.62323,32750,0.00903471,28.211047649383545,0.695601314306,22.1853,50.0
-0.0185957,0.0,696,41,-43.5269455164,1.56856,34800,0.00786568,29.945616960525513,0.679021835327,19.5742,50.0
-0.0228964,0.0,737,41,-42.5012560077,1.49435,36850,0.00979165,31.687809467315674,0.635297238827,21.7553,50.0
-0.0258872,0.0,778,41,-40.5522870973,1.41211,38900,0.0104412,33.42230772972107,0.663271039724,19.0726,50.0
-0.0261288,0.0,819,41,-39.8398946611,1.33101,40950,0.00773861,35.20276951789856,0.717150688171,14.124,50.0
-0.025431,0.0,860,41,-38.1282217947,1.2568,43000,0.00991475,36.92164206504822,0.72431743145,13.1777,50.0
-0.0216069,0.0,901,41,-35.9665406289,1.20057,45050,0.00774975,38.664124488830566,0.740494221449,11.3144,50.0
-0.022955,0.0,942,41,-34.7887291192,1.12975,47100,0.00837811,40.43007826805115,0.689670085907,11.1182,50.0
-0.0245777,0.0,983,41,-33.3496550459,1.0451,49150,0.00939429,42.17198443412781,0.713311076164,10.5213,50.0
-0.0232696,0.0,1024,41,-32.0255946332,1.00639,51200,0.0124537,43.90615630149841,0.724808633327,9.65504,50.0
-0.0259194,0.0,1064,40,-31.5347233647,0.935373,53200,0.0122519,45.648648262023926,0.799497827888,7.67046,50.0
-0.0270759,0.0,1105,41,-30.5925241683,0.8727,55250,0.0101283,47.38285946846008,0.70399838686,7.43708,50.0
-0.0243817,0.0,1146,41,-29.2847674596,0.799201,57300,0.0117301,49.13326096534729,0.729779332876,7.00224,50.0
-0.024044,0.0,1187,41,-28.0040104546,0.733423,59350,0.00974715,50.8674521446228,0.726463913918,5.59132,50.0
-0.0271919,0.0,1228,41,-26.5034812968,0.649572,61400,0.0147976,52.60919404029846,0.753495633602,5.89709,50.0
-0.0265434,0.0,1269,41,-25.5705691981,0.579119,63450,0.0131676,54.35909295082092,0.792376548052,4.66828,50.0
-0.0225694,0.0,1310,41,-25.2196780744,0.503425,65500,0.00937332,56.10962414741516,0.779070153832,4.23506,50.0
-0.026746,0.0,1351,41,-24.3951618686,0.440464,67550,0.00968585,57.84506297111511,0.802483588457,3.77383,50.0
