TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,EpThisIter,loss_vf_loss,loss_pol_surr,EpRewMean,loss_kl,TimeElapsed,loss_ent,EpLenMean
2000,40,-0.00733184814453,0.0,40,577.905,-0.0163674,-112.378532278,0.00674737,2.0227253437042236,2.74899,50.0
4050,81,0.186497211456,0.0,41,162.945,-0.0194701,-106.29472689,0.00856232,3.78808331489563,2.64642,50.0
6100,122,0.134798228741,0.0,41,162.988,-0.0172694,-100.103996764,0.007513,5.538927316665649,2.56387,50.0
8150,163,0.0682026147842,0.0,41,177.217,-0.0151275,-92.0661537283,0.00683531,7.29190731048584,2.49814,50.0
10200,204,0.0604413151741,0.0,41,177.378,-0.0175267,-85.2377108418,0.00809762,9.062327146530151,2.4292,50.0
12250,245,0.165823340416,0.0,41,158.365,-0.0148347,-80.8662240385,0.00631084,10.820013999938965,2.35329,50.0
14300,286,0.161264002323,0.0,41,139.203,-0.0162754,-76.7836484096,0.00665587,12.573336362838745,2.28635,50.0
16350,327,0.239951252937,0.0,41,120.717,-0.0200342,-72.9085724215,0.00831944,14.343806028366089,2.21115,50.0
18400,368,0.420597612858,0.0,41,88.6734,-0.0176724,-68.9595149096,0.00690685,16.101290225982666,2.14023,50.0
20450,409,0.445572793484,0.0,41,75.1592,-0.0198024,-63.7531566757,0.00865696,17.865028619766235,2.05582,50.0
22500,450,0.506417632103,0.0,41,60.3298,-0.0167357,-59.5182088497,0.00775618,19.618062734603882,1.99643,50.0
24550,491,0.469860196114,0.0,41,56.475,-0.0169559,-56.6821863557,0.00710321,21.370034217834473,1.92801,50.0
26600,532,0.550050288439,0.0,41,46.9632,-0.0199627,-54.4194627483,0.00706266,23.108501195907593,1.85419,50.0
28650,573,0.577078402042,0.0,41,36.3024,-0.0231227,-51.6779431278,0.0102561,24.881749153137207,1.77773,50.0
30700,614,0.586238652468,0.0,41,33.185,-0.0217755,-48.4211036993,0.0084527,26.631924867630005,1.7057,50.0
32750,655,0.617609828711,0.0,41,28.744,-0.0236135,-45.6145240569,0.00904072,28.397752046585083,1.63331,50.0
34800,696,0.634983301163,0.0,41,24.2397,-0.0205962,-43.4339050335,0.0077406,30.14785075187683,1.55637,50.0
36850,737,0.583845257759,0.0,41,22.184,-0.0210231,-41.1221077811,0.0113988,31.89784288406372,1.49709,50.0
38900,778,0.545591235161,0.0,41,19.1177,-0.0215817,-40.2414573844,0.01171,33.64955115318298,1.43655,50.0
40950,819,0.584991663694,0.0,41,18.3412,-0.0242482,-38.0737943937,0.00924985,35.41639041900635,1.35727,50.0
43000,860,0.629963696003,0.0,41,16.6744,-0.0207056,-35.8589103313,0.0089157,37.170411586761475,1.29017,50.0
45050,901,0.671467751265,0.0,41,12.6878,-0.0248175,-33.4970216673,0.00910465,38.92917728424072,1.22463,50.0
47100,942,0.660019010305,0.0,41,11.3081,-0.0224605,-31.7403845917,0.0112214,40.67945623397827,1.14974,50.0
49150,983,0.71462059021,0.0,41,9.28952,-0.0200559,-30.963390327,0.00972701,42.44775199890137,1.08592,50.0
51200,1024,0.706494420767,0.0,41,9.21205,-0.022414,-30.0198317139,0.00875158,44.18754529953003,1.00959,50.0
53200,1064,0.702759057283,0.0,40,7.39196,-0.0249149,-28.9221243349,0.0109627,45.94504761695862,0.929984,50.0
55250,1105,0.725135654211,0.0,41,6.50463,-0.0206273,-27.9463671986,0.00905056,47.70316934585571,0.907064,50.0
57300,1146,0.688615351915,0.0,41,6.78683,-0.0207388,-26.7853463595,0.0092718,49.460395097732544,0.840004,50.0
59350,1187,0.686779379845,0.0,41,5.80828,-0.0228458,-26.1834083965,0.00773276,51.210771560668945,0.788312,50.0
61400,1228,0.750569880009,0.0,41,4.89589,-0.0242129,-25.6378107764,0.00913055,52.97938656806946,0.728827,50.0
63450,1269,0.789678201079,0.0,41,4.16818,-0.019658,-25.4618428341,0.0124966,54.7263879776001,0.652234,50.0
65500,1310,0.782842710614,0.0,41,4.30666,-0.0174984,-24.6924766231,0.00945834,56.4787974357605,0.594685,50.0
67550,1351,0.737586289644,0.0,41,4.17144,-0.0239749,-23.2364707828,0.00991216,58.232744216918945,0.539483,50.0
69600,1392,0.803115040064,0.0,41,3.85705,-0.01924,-22.7272536738,0.00996192,59.98337459564209,0.493356,50.0
71650,1433,0.741941779852,0.0,41,3.62383,-0.0220082,-22.1410490105,0.00780053,61.741917848587036,0.444583,50.0
73700,1474,0.77811050415,0.0,41,2.78778,-0.0202572,-21.3220948375,0.0117939,63.4948570728302,0.393322,50.0
