#{"t_start": 1536374371.395222, "env_id": "Reacher-v2"}
r,l,t
-86.73176,50,1.167112
-118.110091,50,1.198361
-94.39438,50,1.229611
-134.390684,50,1.245236
-133.923419,50,1.276485
-136.226782,50,1.307735
-106.373849,50,1.323361
-107.999671,50,1.354609
-92.33303,50,1.38586
-115.79773,50,1.401485
-117.194002,50,1.432736
-101.767483,50,1.44836
-121.101471,50,1.479609
-98.772464,50,1.510861
-107.317738,50,1.526485
-118.771129,50,1.557734
-98.360332,50,1.588985
-119.825124,50,1.604613
-101.299728,50,1.635859
-123.942157,50,1.66711
-83.684294,50,1.694131
-128.050012,50,1.709758
-100.24816,50,1.741007
-127.483807,50,1.756633
-144.873933,50,1.787881
-95.660773,50,1.819131
-97.229284,50,1.834758
-105.466559,50,1.866007
-136.838136,50,1.897256
-94.663786,50,1.912882
-118.357523,50,1.944133
-131.481989,50,1.959758
-120.135073,50,1.991006
-124.549522,50,2.022256
-112.214292,50,2.037881
-100.644278,50,2.069131
-119.702643,50,2.100381
-117.886271,50,2.116006
-92.176356,50,2.147255
-98.021002,50,2.162882
-99.693552,50,3.091924
-114.205821,50,3.123175
-101.070814,50,3.1388
-90.171325,50,3.170049
-87.293092,50,3.201299
-94.157064,50,3.216924
-101.35595,50,3.248174
-93.431754,50,3.263798
-86.246205,50,3.295049
-87.980304,50,3.326298
-85.417627,50,3.341924
-99.41581,50,3.373173
-88.479007,50,3.404423
-89.6401,50,3.420048
-91.666599,50,3.451298
-89.733657,50,3.482548
-108.568172,50,3.498173
-91.174886,50,3.529423
-84.745843,50,3.560673
-108.468283,50,3.576297
-99.658489,50,3.607548
-101.224382,50,3.623173
-107.374469,50,3.654423
-104.982502,50,3.679397
-105.456873,50,3.710649
-95.387681,50,3.726275
-102.353409,50,3.757523
-103.653609,50,3.788774
-91.763467,50,3.804399
-102.963077,50,3.835647
-104.8733,50,3.866898
-80.084235,50,3.882525
-106.279164,50,3.913772
-101.511454,50,3.945023
-116.206766,50,3.960648
-93.863144,50,3.991897
-85.280873,50,4.023147
-110.547679,50,4.038772
-80.533807,50,4.070021
-102.436083,50,4.101273
-86.856609,50,4.116897
-96.079513,50,4.781278
-94.352196,50,4.81253
-118.288304,50,4.843779
-72.44478,50,4.859404
-82.306544,50,4.890653
-86.82142,50,4.906279
-106.707863,50,4.937529
-82.253134,50,4.968779
-102.434445,50,4.984404
-83.165196,50,5.015655
-126.234017,50,5.046903
-92.170807,50,5.062528
-90.485598,50,5.093778
-96.884755,50,5.125028
-107.261905,50,5.140653
-83.878346,50,5.171903
-91.524248,50,5.187528
-93.811025,50,5.218781
-104.911002,50,5.250029
-106.327172,50,5.265655
-94.217687,50,5.296904
-87.869803,50,5.31253
-94.816578,50,5.343779
-93.426033,50,5.375028
-75.944979,50,5.390654
-109.031007,50,5.421903
-115.173141,50,5.453153
-95.711827,50,5.468779
-94.53485,50,5.500027
-107.413604,50,5.515653
-110.41548,50,5.546904
-106.297605,50,5.578153
-86.328931,50,5.593778
-68.555229,50,5.625026
-94.466849,50,5.656279
-82.522959,50,5.679253
-98.16617,50,5.694881
-99.102461,50,5.726129
-92.925976,50,5.757379
-85.63523,50,5.776162
-103.667472,50,5.807414
-92.174588,50,6.479286
-76.335355,50,6.510536
-96.737557,50,6.526162
-82.391993,50,6.557412
-72.484032,50,6.588661
-83.906554,50,6.604286
-89.977463,50,6.635536
-86.863361,50,6.667389
-86.418542,50,6.679437
-94.708003,50,6.710689
-95.248983,50,6.741938
-92.736646,50,6.757564
-77.943285,50,6.788813
-89.631052,50,6.820063
-81.486969,50,6.835688
-105.023045,50,6.866938
-65.040197,50,6.898188
-82.348734,50,6.913813
-90.044745,50,6.945063
-57.319772,50,6.976313
-88.379638,50,6.991938
-92.532186,50,7.023188
-84.157815,50,7.038813
-92.523312,50,7.070063
-96.388982,50,7.101311
-95.018909,50,7.116937
-87.423368,50,7.148188
-97.950198,50,7.179437
-75.437969,50,7.195063
-86.918113,50,7.226312
-71.00364,50,7.257561
-84.927063,50,7.273187
-87.760864,50,7.304436
-96.940281,50,7.335687
-79.52591,50,7.351311
-108.909804,50,7.382561
-84.913865,50,7.398186
-105.902261,50,7.429436
-75.765437,50,7.460686
-65.839238,50,7.476311
-84.394654,50,7.507561
-84.00964,50,8.17192
-88.628408,50,8.203169
-72.682285,50,8.218795
-76.695757,50,8.250044
-84.136371,50,8.26567
-80.973775,50,8.296919
-81.777041,50,8.328169
-72.917705,50,8.343793
-82.769758,50,8.375043
-77.122912,50,8.406294
-72.760782,50,8.421918
-60.412043,50,8.453168
-80.040068,50,8.468794
-73.754487,50,8.500043
-86.963746,50,8.531293
-73.055546,50,8.546918
-92.203318,50,8.578168
-87.067013,50,8.609418
-79.272791,50,8.625043
-74.022664,50,8.656293
-94.102972,50,8.678558
-89.845933,50,8.70981
-67.325839,50,8.725433
-72.222383,50,8.756684
-70.102515,50,8.79106
-107.269158,50,8.806686
-74.673037,50,8.837938
-79.56534,50,8.869187
-70.73637,50,8.884813
-69.335794,50,8.916061
-63.040909,50,8.931687
-82.049946,50,8.962937
-66.886821,50,8.994186
-80.795641,50,9.009812
-77.615078,50,9.041061
-76.632001,50,9.072311
-65.531546,50,9.087936
-80.048954,50,9.119185
-89.350352,50,9.134812
-70.084846,50,9.166063
-93.187637,50,9.19731
-83.859595,50,9.883481
-67.179896,50,9.899106
-72.099071,50,9.930356
-85.055448,50,9.945981
-81.826786,50,9.977231
-88.562817,50,10.008479
-70.806391,50,10.024104
-66.065475,50,10.055354
-74.530359,50,10.086604
-79.332886,50,10.102229
-77.229691,50,10.133479
-67.104001,50,10.164729
-85.760629,50,10.180354
-72.990204,50,10.211603
-73.371129,50,10.242854
-75.35487,50,10.258479
-66.539947,50,10.289728
-85.119291,50,10.320977
-70.345137,50,10.336604
-67.693853,50,10.367853
-68.861233,50,10.383477
-65.430099,50,10.414727
-77.544649,50,10.445977
-81.415998,50,10.461603
-68.978034,50,10.492853
-75.71029,50,10.524102
-84.3652,50,10.539728
-72.149897,50,10.570977
-70.325883,50,10.602227
-77.553733,50,10.617852
-87.151914,50,10.649102
-76.618323,50,10.680351
-72.083001,50,10.695978
-71.253268,50,10.727227
-72.498777,50,10.742851
-87.983552,50,10.781255
-66.080884,50,10.796881
-70.147439,50,10.828131
-84.364812,50,10.859382
-73.968085,50,10.875007
-79.510105,50,10.906256
-70.523198,50,11.562505
-76.981399,50,11.593755
-70.586534,50,11.625005
-85.4044,50,11.640629
-74.973443,50,11.675233
-82.876071,50,11.694927
-80.65955,50,11.710553
-62.575138,50,11.741803
-73.7263,50,11.773103
-64.583942,50,11.791793
-75.48555,50,11.807419
-74.833724,50,11.838668
-67.939587,50,11.869918
-89.842696,50,11.885543
-75.556396,50,11.916793
-66.156297,50,11.932418
-60.913371,50,11.963668
-67.723887,50,11.994917
-77.145185,50,12.010542
-74.7911,50,12.041792
-81.684156,50,12.057417
-75.367934,50,12.088668
-59.730295,50,12.119917
-76.430393,50,12.135541
-68.097258,50,12.166792
-71.68973,50,12.198042
-75.540986,50,12.213666
-70.863121,50,12.244916
-63.49413,50,12.276167
-65.177833,50,12.291792
-75.521285,50,12.323041
-75.823281,50,12.354292
-80.438879,50,12.369916
-83.504927,50,12.401166
-67.467208,50,12.432419
-77.308176,50,12.448043
-70.456564,50,12.479291
-74.234072,50,12.494918
-65.715887,50,12.526166
-83.320593,50,12.557417
-67.947639,50,12.573041
-67.236354,50,13.257298
-77.594618,50,13.288548
-67.509865,50,13.319799
-79.541923,50,13.335423
-68.295124,50,13.366672
-71.46787,50,13.397921
-79.859993,50,13.413548
-65.563294,50,13.444797
-69.724068,50,13.460423
-80.937669,50,13.491672
-76.328669,50,13.522921
-77.407792,50,13.538548
-77.219571,50,13.569797
-80.014175,50,13.601046
-81.675951,50,13.616672
-58.502163,50,13.647921
-76.028236,50,13.679171
-76.88453,50,13.694796
-58.496994,50,13.726046
-71.319988,50,13.757296
-67.676226,50,13.780065
-71.165048,50,13.795692
-72.148879,50,13.826942
-69.931452,50,13.858192
-75.553518,50,13.873816
-66.076904,50,13.905066
-72.075014,50,13.936316
-74.90884,50,13.951941
-78.326095,50,13.983192
-63.474604,50,14.014441
-74.336967,50,14.030066
-85.695791,50,14.061315
-61.40268,50,14.076941
-68.253316,50,14.10819
-83.705933,50,14.13944
-65.078151,50,14.155065
-79.302378,50,14.195413
-66.93376,50,14.213184
-72.16284,50,14.244435
-72.32428,50,14.26006
-62.769052,50,14.291309
-68.016797,50,14.960391
-68.231871,50,14.976017
-57.78232,50,15.007268
-78.004538,50,15.038515
-64.581497,50,15.05414
-62.330016,50,15.08539
-79.632408,50,15.11664
-69.973257,50,15.132264
-74.633347,50,15.163515
-68.27376,50,15.194764
-55.044597,50,15.210389
-68.547825,50,15.241639
-62.743531,50,15.257265
-79.010175,50,15.288514
-66.749634,50,15.319764
-72.129103,50,15.335389
-64.089186,50,15.366638
-53.179241,50,15.397889
-52.91628,50,15.413514
-69.97529,50,15.444763
-57.104183,50,15.476014
-101.929511,50,15.491639
-50.315684,50,15.522888
-69.060985,50,15.554138
-58.932724,50,15.569764
-69.016433,50,15.601013
-48.368503,50,15.616638
-70.294696,50,15.647888
-63.198405,50,15.679138
-62.942145,50,15.694764
-69.482321,50,15.726013
-70.001539,50,15.757263
-63.94233,50,15.781006
-74.409485,50,15.796632
-66.551258,50,15.827882
-58.656088,50,15.859132
-65.747113,50,15.874757
-77.161406,50,15.906007
-74.908502,50,15.937257
-69.713174,50,15.952881
-61.121897,50,15.984133
-49.181461,50,16.676386
-50.282273,50,16.695069
-71.489817,50,16.72632
-63.609268,50,16.741946
-63.66484,50,16.773194
-63.041474,50,16.78882
-74.690628,50,16.820071
-57.794769,50,16.851319
-58.949213,50,16.866944
-70.646871,50,16.898194
-65.382142,50,16.929444
-55.680407,50,16.94507
-61.243763,50,16.976319
-69.870221,50,17.007568
-62.93012,50,17.023193
-51.923051,50,17.054443
-73.403394,50,17.070069
-58.527853,50,17.101318
-51.170209,50,17.132571
-72.10583,50,17.148193
-53.732913,50,17.179443
-69.864174,50,17.210693
-54.495771,50,17.226319
-57.465433,50,17.257568
-67.226141,50,17.288817
-54.354964,50,17.304443
-57.45338,50,17.335691
-66.290555,50,17.366942
-66.889809,50,17.382568
-59.721562,50,17.413817
-66.846618,50,17.429442
-51.30954,50,17.460691
-73.080212,50,17.491942
-59.576861,50,17.507567
-50.339634,50,17.538816
-62.281083,50,17.570066
-56.241246,50,17.585691
-66.794498,50,17.616941
-66.344899,50,17.64819
-55.681507,50,17.663815
-67.369773,50,17.695066
-60.795133,50,18.359452
-53.914053,50,18.390702
-49.570105,50,18.406327
-57.854163,50,18.437577
-54.266147,50,18.453202
-77.085307,50,18.484452
-57.693426,50,18.515702
-63.815301,50,18.531327
-53.910199,50,18.562576
-58.422656,50,18.593825
-48.782802,50,18.609452
-47.664755,50,18.640701
-51.168443,50,18.674565
-56.82258,50,18.694251
-48.506683,50,18.725502
-57.587235,50,18.741127
-55.972074,50,18.775505
-60.391546,50,18.791131
-65.346353,50,18.822381
-53.341226,50,18.853631
-57.941987,50,18.869256
-57.026676,50,18.900506
-53.10003,50,18.931756
-72.967181,50,18.947381
-53.973269,50,18.978631
-60.447473,50,19.00988
-56.999438,50,19.025506
-61.052594,50,19.056756
-57.857552,50,19.072381
-60.838327,50,19.103631
-77.081721,50,19.134881
-66.961793,50,19.150505
-52.332946,50,19.181755
-53.090724,50,19.213005
-58.895476,50,19.228631
-53.447679,50,19.25988
-59.117613,50,19.29113
-72.68395,50,19.306755
-56.817145,50,19.338005
-64.708582,50,19.369254
-52.978397,50,19.38488
-57.038146,50,20.065103
-49.536587,50,20.096354
-65.053479,50,20.127602
-51.500121,50,20.143229
-48.532734,50,20.174477
-54.575476,50,20.190104
-48.427681,50,20.221353
-47.54652,50,20.252601
-55.40164,50,20.268228
-57.43192,50,20.299477
-63.350891,50,20.330727
-49.610955,50,20.346353
-57.147282,50,20.377602
-54.441846,50,20.393228
-49.532752,50,20.424477
-60.147633,50,20.455726
-63.432909,50,20.471352
-59.417217,50,20.502601
-41.847809,50,20.533851
-53.391017,50,20.549478
-62.200491,50,20.580726
-65.69979,50,20.611976
-46.995204,50,20.627603
-57.956557,50,20.658851
-69.908978,50,20.679304
-60.64116,50,20.710556
-61.298043,50,20.726184
-69.311379,50,20.757431
-60.532901,50,20.776216
-69.881188,50,20.807467
-42.880891,50,20.838717
-52.308087,50,20.854342
-47.500317,50,20.885591
-47.525993,50,20.916842
-61.657234,50,20.932467
-60.929678,50,20.963717
-56.531201,50,20.994967
-53.845458,50,21.010591
-62.748146,50,21.041842
-48.905433,50,21.073091
-53.950579,50,21.088716
-58.475813,50,21.757247
-46.100778,50,21.788496
-49.711687,50,21.804121
-45.10674,50,21.835371
-50.429981,50,21.850996
-51.002093,50,21.882246
-51.660706,50,21.913496
-58.200319,50,21.929121
-47.98383,50,21.960371
-55.391652,50,21.975995
-45.895785,50,22.007246
-39.93687,50,22.038495
-58.467822,50,22.05412
-53.164036,50,22.08537
-45.050845,50,22.100996
-50.227039,50,22.132246
-42.33461,50,22.163495
-53.961013,50,22.179121
-57.935324,50,22.21037
-40.01384,50,22.24162
-57.219694,50,22.257245
-46.521096,50,22.288495
-58.090524,50,22.319745
-53.353997,50,22.33537
-42.111447,50,22.36662
-52.862876,50,22.39787
-57.904784,50,22.413495
-60.827134,50,22.444744
-42.578683,50,22.475994
-50.117612,50,22.491619
-57.272465,50,22.522869
-47.525402,50,22.554119
-47.716125,50,22.569744
-53.224746,50,22.600994
-58.448652,50,22.616618
-57.79239,50,22.647869
-57.364324,50,22.67912
-45.534749,50,22.694745
-49.706393,50,22.725994
-57.417647,50,22.757243
-53.425884,50,22.779958
-39.033775,50,23.451834
-54.317403,50,23.483082
-50.011251,50,23.498709
-45.011901,50,23.529957
-54.293858,50,23.545583
-48.274593,50,23.576833
-56.831473,50,23.608082
-55.114309,50,23.623708
-51.971185,50,23.654957
-44.269691,50,23.678515
