EpRewMean,TimeElapsed,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_entpen,loss_pol_surr,EpLenMean,loss_vf_loss,EpThisIter,ev_tdlam_before,loss_ent
-112.100018008,1.9716882705688477,2000,0.00799552,40,0.0,-0.0210339,50.0,579.294,40,0.00293207168579,2.72934
-104.447008106,3.661041498184204,4050,0.00734248,81,0.0,-0.0155961,50.0,128.219,41,0.212191998959,2.64688
-99.2840646862,5.3590497970581055,6100,0.00992503,122,0.0,-0.0220452,50.0,183.277,41,0.0763352513313,2.55876
-92.3103425347,7.05168342590332,8150,0.00819848,163,0.0,-0.0177608,50.0,182.758,41,0.0625534653664,2.47243
-84.8242336905,8.747618675231934,10200,0.00825774,204,0.0,-0.0174923,50.0,158.467,41,0.126315891743,2.38981
-78.9403570767,10.44226861000061,12250,0.00501864,245,0.0,-0.0107262,50.0,145.295,41,0.0934666991234,2.35228
-74.8704310078,12.137062311172485,14300,0.00705433,286,0.0,-0.0153563,50.0,129.558,41,0.202026367188,2.29493
-73.4016188997,13.82452940940857,16350,0.00794058,327,0.0,-0.0170534,50.0,121.821,41,0.175821125507,2.22365
-70.1664559284,15.535768985748291,18400,0.00987179,368,0.0,-0.0206997,50.0,94.856,41,0.305364191532,2.13409
-65.5996280656,17.223591089248657,20450,0.00819441,409,0.0,-0.0187705,50.0,79.3822,41,0.403526484966,2.07762
-61.1568792308,18.94486689567566,22500,0.00955691,450,0.0,-0.0196536,50.0,61.6574,41,0.491497278214,2.00535
-57.9907177684,20.621385097503662,24550,0.00817074,491,0.0,-0.0209621,50.0,52.6205,41,0.505278348923,1.91609
-55.0089258985,22.31597089767456,26600,0.00875259,532,0.0,-0.0147077,50.0,40.4994,41,0.58596855402,1.85725
-52.2221209744,24.002904891967773,28650,0.00781098,573,0.0,-0.0184245,50.0,41.9942,41,0.556062996387,1.78315
-50.0668711404,25.692227125167847,30700,0.00909803,614,0.0,-0.0216801,50.0,29.8251,41,0.64439278841,1.72027
-48.0635851693,27.37504267692566,32750,0.00732385,655,0.0,-0.0173215,50.0,30.9621,41,0.586265414953,1.66663
-46.4379351915,29.07408118247986,34800,0.00859894,696,0.0,-0.0193556,50.0,27.4058,41,0.626356333494,1.58742
-44.8984656246,30.777730464935303,36850,0.00657393,737,0.0,-0.0175056,50.0,24.1586,41,0.63877388835,1.53978
-42.8446268787,32.47335338592529,38900,0.0070814,778,0.0,-0.0177931,50.0,23.3867,41,0.63106778264,1.48289
-41.8086675511,34.16825318336487,40950,0.0121626,819,0.0,-0.0211947,50.0,16.748,41,0.683108597994,1.40598
-39.7854271368,35.871508836746216,43000,0.0132442,860,0.0,-0.0274163,50.0,14.6919,41,0.719966202974,1.30976
-36.7310429505,37.573981285095215,45050,0.0100529,901,0.0,-0.0229783,50.0,13.3875,41,0.704294919968,1.22716
-34.4180306909,39.26192378997803,47100,0.00938698,942,0.0,-0.0210959,50.0,11.8419,41,0.73477768898,1.15756
-32.4619128557,40.970901012420654,49150,0.0124284,983,0.0,-0.0256007,50.0,10.1002,41,0.718046844006,1.07956
-31.7425617374,42.65285921096802,51200,0.00758817,1024,0.0,-0.0239719,50.0,7.44354,41,0.785775199533,1.01652
-31.050375312,44.36411809921265,53200,0.0105735,1064,0.0,-0.0256359,50.0,6.46797,40,0.7735722363,0.944877
-30.0472144972,46.05912637710571,55250,0.00908455,1105,0.0,-0.0246177,50.0,8.02981,41,0.744403243065,0.875885
-29.1444444736,47.76452589035034,57300,0.00959137,1146,0.0,-0.0251413,50.0,5.85428,41,0.797026783228,0.821101
-29.0119747924,49.44971776008606,59350,0.011719,1187,0.0,-0.0228985,50.0,5.10406,41,0.814587369561,0.754366
-28.0868991803,51.152698040008545,61400,0.0111474,1228,0.0,-0.0264939,50.0,4.15935,41,0.822800591588,0.671215
-27.2665140368,52.840341091156006,63450,0.0119403,1269,0.0,-0.0287291,50.0,4.0836,41,0.819705799222,0.591056
-26.8709689168,54.535958766937256,65500,0.00961483,1310,0.0,-0.0237901,50.0,4.17938,41,0.835417225957,0.514222
-26.068916552,56.230788230895996,67550,0.0078685,1351,0.0,-0.0237626,50.0,3.40918,41,0.862142175436,0.459102
-25.4842263083,57.91852521896362,69600,0.0139607,1392,0.0,-0.028207,50.0,2.87369,41,0.872839748859,0.377059
-25.3301414837,59.621087074279785,71650,0.014068,1433,0.0,-0.0293649,50.0,2.84775,41,0.856933027506,0.293632
-24.5296412377,61.30837607383728,73700,0.0102831,1474,0.0,-0.0277054,50.0,2.12767,41,0.900452256203,0.232076
-23.7427228074,63.012030839920044,75750,0.0134724,1515,0.0,-0.0310388,50.0,2.27782,41,0.87997982651,0.155262
-23.046175429,64.69936156272888,77800,0.0164841,1556,0.0,-0.0199208,50.0,1.81927,41,0.898344501853,0.114824
-22.5197786973,66.41066002845764,79850,0.00837225,1597,0.0,-0.0222994,50.0,1.37969,41,0.929546587169,0.0916119
-22.4403829347,68.09797692298889,81900,0.014248,1638,0.0,-0.0174821,50.0,1.44533,41,0.919949159026,0.0533834
-22.3846434342,69.81659293174744,83950,0.013401,1679,0.0,-0.0234152,50.0,1.2691,41,0.924338504672,-0.00679934
-22.2734185964,71.50187301635742,86000,0.0162365,1720,0.0,-0.0329705,50.0,0.903963,41,0.940981321037,-0.0728589
-22.1796995371,73.20716953277588,88050,0.0150967,1761,0.0,-0.0286341,50.0,1.03611,41,0.938057668507,-0.145635
-21.3873880464,74.89485573768616,90100,0.0106527,1802,0.0,-0.0253549,50.0,1.00337,41,0.94570697844,-0.213111
-20.4000295284,76.60574340820312,92150,0.0128414,1843,0.0,-0.0238106,50.0,0.869279,41,0.942195139825,-0.272462
-19.9772621174,78.29347705841064,94200,0.0147923,1884,0.0,-0.0227178,50.0,0.660127,41,0.960043303668,-0.330505
-19.4049158279,79.98500204086304,96250,0.0204655,1925,0.0,-0.0271963,50.0,0.759629,41,0.949274078012,-0.391965
-18.9138118485,81.67634749412537,98300,0.0145756,1966,0.0,-0.0257717,50.0,0.69595,41,0.938327442855,-0.431774
-18.674143421,83.38729119300842,100350,0.0164105,2007,0.0,-0.0278261,50.0,0.683066,41,0.95111367479,-0.508713
-18.5272008693,85.10527157783508,102400,0.0187775,2048,0.0,-0.0219333,50.0,0.436941,41,0.962450716645,-0.567018
-18.7241615971,86.79359102249146,104400,0.0113297,2088,0.0,-0.0244582,50.0,0.368155,40,0.963866189122,-0.620114
-18.4812604537,88.52047371864319,106450,0.014192,2129,0.0,-0.0249745,50.0,0.455585,41,0.964650526643,-0.671367
-18.4814628793,90.23022270202637,108500,0.0129556,2170,0.0,-0.028565,50.0,0.411899,41,0.964001223445,-0.717158
-18.2442935092,91.93716835975647,110550,0.0243823,2211,0.0,-0.0211961,50.0,0.372553,41,0.966668266803,-0.763408
-17.7823309302,93.66074061393738,112600,0.0179021,2252,0.0,-0.0230571,50.0,0.374452,41,0.955979760736,-0.803516
-17.3617504611,95.3555383682251,114650,0.0112424,2293,0.0,-0.0256788,50.0,0.361319,41,0.960361875594,-0.843609
-17.0171776607,97.05880784988403,116700,0.0120201,2334,0.0,-0.027233,50.0,0.307398,41,0.966816537082,-0.900498
-16.9810737259,98.76137399673462,118750,0.0128874,2375,0.0,-0.0277111,50.0,0.274074,41,0.973324738443,-0.949434
-16.9525689912,100.45601439476013,120800,0.015991,2416,0.0,-0.0270159,50.0,0.278704,41,0.971411479637,-1.01015
-16.8224933522,102.1610517501831,122850,0.0124126,2457,0.0,-0.0268131,50.0,0.250212,41,0.977102762088,-1.0558
-16.7578505785,103.85538029670715,124900,0.0214487,2498,0.0,-0.0290813,50.0,0.233982,41,0.979074077681,-1.09124
-16.5821838867,105.57426953315735,126950,0.0184599,2539,0.0,-0.0215894,50.0,0.240133,41,0.970053082332,-1.13724
-16.4203753021,107.26890206336975,129000,0.017654,2580,0.0,-0.025764,50.0,0.30595,41,0.967217113823,-1.17972
-15.8873968942,108.97337245941162,131050,0.0195062,2621,0.0,-0.0123214,50.0,0.279693,41,0.957674127072,-1.20931
