loss_kl,EpThisIter,ev_tdlam_before,EpisodesSoFar,TimeElapsed,loss_vf_loss,loss_pol_entpen,loss_pol_surr,EpLenMean,EpRewMean,loss_ent,TimestepsSoFar
0.00785633,40,-0.00314164161682,40,1.9998831748962402,575.563,0.0,-0.0202049,50.0,-111.32944949,2.73898,2000
0.0111315,41,0.165448665619,81,3.737191677093506,144.258,0.0,-0.0238284,50.0,-105.866848654,2.63698,4050
0.00922636,41,0.0699379444122,122,5.4955525398254395,164.619,0.0,-0.019049,50.0,-98.5121200309,2.55045,6100
0.00740553,41,0.0661633610725,163,7.21924614906311,177.837,0.0,-0.0148046,50.0,-91.1834244528,2.47997,8150
0.00871842,41,0.0653863549232,204,8.969399213790894,172.621,0.0,-0.0182686,50.0,-84.9139190138,2.40407,10200
0.00781689,41,0.144364178181,245,10.702908515930176,158.023,0.0,-0.0153983,50.0,-79.8210599346,2.33441,12250
0.0101719,41,0.156129837036,286,12.444382667541504,145.273,0.0,-0.0207699,50.0,-74.7758149541,2.249,14300
0.00784973,41,0.297761201859,327,14.164316415786743,102.82,0.0,-0.0158881,50.0,-70.5859565432,2.19889,16350
0.00868424,41,0.39282387495,368,15.91469931602478,91.32,0.0,-0.0173196,50.0,-67.2350025587,2.15387,18400
0.00957915,41,0.487010955811,409,17.65959668159485,72.9548,0.0,-0.0202822,50.0,-64.4204243228,2.0586,20450
0.0072874,41,0.564543664455,450,19.406633377075195,57.8084,0.0,-0.0201379,50.0,-61.5069568909,1.9876,22500
0.00683766,41,0.469261109829,491,21.141127586364746,55.954,0.0,-0.0169878,50.0,-57.2417695795,1.94706,24550
0.00873083,41,0.606524556875,532,22.878692388534546,39.5333,0.0,-0.0191913,50.0,-55.1157044585,1.8855,26600
0.00751214,41,0.617210775614,573,24.617995738983154,38.0661,0.0,-0.019011,50.0,-52.8594956598,1.83295,28650
0.00833681,41,0.634137868881,614,26.3596932888031,32.2626,0.0,-0.0188456,50.0,-51.1455724822,1.78518,30700
0.00937455,41,0.68416211009,655,28.132940769195557,29.7027,0.0,-0.0218414,50.0,-49.1377662081,1.72593,32750
0.00631944,41,0.635856360197,696,29.890625715255737,24.4138,0.0,-0.0181925,50.0,-47.6933212471,1.67013,34800
0.0114174,41,0.666291683912,737,31.640771865844727,26.1648,0.0,-0.0221774,50.0,-46.3532950157,1.60572,36850
0.0106998,41,0.677580147982,778,33.418195724487305,21.6705,0.0,-0.0245069,50.0,-45.006426035,1.53175,38900
0.0104241,41,0.722315132618,819,35.1717414855957,18.1246,0.0,-0.0232986,50.0,-43.198096032,1.47481,40950
0.0106547,41,0.697790712118,860,36.92623853683472,16.2009,0.0,-0.0252906,50.0,-40.7596219526,1.4016,43000
0.00773927,41,0.716253310442,901,38.64884376525879,14.6182,0.0,-0.0217493,50.0,-39.4971813079,1.35045,45050
0.00934196,41,0.759282320738,942,40.42172384262085,11.2774,0.0,-0.0226372,50.0,-37.8999723676,1.28096,47100
0.0103195,41,0.74087780714,983,42.156922578811646,11.3152,0.0,-0.0240365,50.0,-36.6550474514,1.20475,49150
0.00657036,41,0.747788339853,1024,43.9380247592926,11.3805,0.0,-0.0217574,50.0,-35.207711604,1.14068,51200
0.00937002,40,0.7286041677,1064,45.68771529197693,10.1961,0.0,-0.0222677,50.0,-34.9560267907,1.07643,53200
0.00971116,41,0.723224639893,1105,47.53165650367737,9.85196,0.0,-0.0246612,50.0,-33.6262674605,1.00066,55250
0.0101576,41,0.72926029563,1146,49.27413630485535,9.568,0.0,-0.0216856,50.0,-31.8554123928,0.93796,57300
0.013695,41,0.727837264538,1187,51.02406597137451,7.42643,0.0,-0.0263315,50.0,-30.6931012418,0.849859,59350
0.0084772,41,0.750748336315,1228,52.77387833595276,7.28746,0.0,-0.0222984,50.0,-28.6684930012,0.79919,61400
0.00986417,41,0.816127330065,1269,54.515695571899414,5.25986,0.0,-0.0254909,50.0,-27.4322014709,0.727058,63450
0.0113924,41,0.762822583318,1310,56.26613712310791,5.69272,0.0,-0.0283411,50.0,-26.4864642405,0.656481,65500
0.0120135,41,0.761830464005,1351,58.01592803001404,4.63407,0.0,-0.0271373,50.0,-25.1771702484,0.59823,67550
0.0137838,41,0.715035587549,1392,59.75011706352234,5.35149,0.0,-0.0253627,50.0,-24.1359828259,0.512978,69600
0.0131048,41,0.69156908989,1433,61.51147675514221,4.69151,0.0,-0.025758,50.0,-23.4225483135,0.448653,71650
0.0101378,41,0.720728725195,1474,63.24342393875122,4.18675,0.0,-0.022686,50.0,-22.1233694042,0.404683,73700
0.0140802,41,0.72237303853,1515,65.01074838638306,4.26033,0.0,-0.0240098,50.0,-21.4924166873,0.350583,75750
0.00795615,41,0.731870472431,1556,66.73491334915161,3.38439,0.0,-0.0220592,50.0,-21.402784675,0.315382,77800
0.0110608,41,0.773499771953,1597,68.47742009162903,3.15479,0.0,-0.022541,50.0,-21.500285213,0.268855,79850
0.012009,41,0.774914443493,1638,70.23602747917175,3.35209,0.0,-0.0269156,50.0,-21.1021283659,0.202012,81900
0.0109045,41,0.764124467969,1679,71.98760056495667,2.59559,0.0,-0.0226528,50.0,-19.7441041545,0.145847,83950
0.0116318,41,0.796139851213,1720,73.72717046737671,2.24499,0.0,-0.020901,50.0,-18.8794164282,0.0959445,86000
0.0116972,41,0.803482994437,1761,75.48602414131165,2.19223,0.0,-0.021978,50.0,-18.3045986426,0.0537102,88050
0.00961916,41,0.779297813773,1802,77.22267079353333,2.2082,0.0,-0.0222375,50.0,-18.1650483489,0.00543916,90100
0.0120971,41,0.806150779128,1843,78.97699356079102,1.93124,0.0,-0.02606,50.0,-18.0205211355,-0.0131371,92150
0.0115856,41,0.79138840735,1884,80.72614669799805,1.7305,0.0,-0.0227575,50.0,-17.6726317206,-0.0584241,94200
0.0123334,41,0.815553203225,1925,82.47811913490295,1.72067,0.0,-0.0247782,50.0,-17.4466153007,-0.137181,96250
0.00962218,41,0.80861787498,1966,84.21895718574524,1.33352,0.0,-0.0230878,50.0,-16.8703404333,-0.154081,98300
0.0115689,41,0.816509097815,2007,85.96909213066101,1.34748,0.0,-0.0269544,50.0,-16.5690302674,-0.221888,100350
0.0142965,41,0.849787607789,2048,87.71928405761719,1.05842,0.0,-0.0196543,50.0,-15.7598134541,-0.275091,102400
0.0112149,40,0.834862902761,2088,89.46406722068787,0.925659,0.0,-0.0241625,50.0,-15.5517352102,-0.32437,104400
0.0144804,41,0.859158605337,2129,91.21946215629578,0.763249,0.0,-0.0238551,50.0,-14.7139444493,-0.357284,106450
0.017118,41,0.85990794003,2170,92.95814514160156,1.0469,0.0,-0.0196981,50.0,-14.2477285176,-0.385173,108500
0.0154735,41,0.822834283113,2211,94.69636678695679,0.912158,0.0,-0.0259197,50.0,-14.2729409037,-0.464048,110550
0.0147654,41,0.87041054666,2252,96.44047427177429,0.825554,0.0,-0.0266767,50.0,-14.5840279964,-0.521962,112600
0.0102116,41,0.830378189683,2293,98.1799726486206,0.990853,0.0,-0.0253389,50.0,-14.2212110475,-0.558911,114650
0.0165127,41,0.837477877736,2334,99.9301826953888,0.934947,0.0,-0.0216269,50.0,-13.654476427,-0.584612,116700
0.0101276,41,0.855038166046,2375,101.68029475212097,0.755541,0.0,-0.0241005,50.0,-13.1455566202,-0.632161,118750
0.00812706,41,0.866080209613,2416,103.42233920097351,0.850565,0.0,-0.0216232,50.0,-13.5222512002,-0.666829,120800
0.0107678,41,0.887691602111,2457,105.15686297416687,0.54952,0.0,-0.0233395,50.0,-13.5807924315,-0.709741,122850
0.0120014,41,0.87538638711,2498,106.9091682434082,0.520009,0.0,-0.0214742,50.0,-13.0941515134,-0.743728,124900
0.0159199,41,0.864877924323,2539,108.64872407913208,0.539887,0.0,-0.0172007,50.0,-13.1240501283,-0.80002,126950
0.012592,41,0.857752501965,2580,110.39222192764282,0.568843,0.0,-0.0218181,50.0,-13.1348953329,-0.838253,129000
0.0137946,41,0.87023101747,2621,112.15986895561218,0.570237,0.0,-0.0263006,50.0,-13.0393097386,-0.868088,131050
0.0137624,41,0.871541157365,2662,113.91500997543335,0.432492,0.0,-0.0198843,50.0,-12.9057221396,-0.911432,133100
0.019755,41,0.894171372056,2703,115.65715384483337,0.366283,0.0,-0.0211672,50.0,-12.6006569942,-0.952904,135150
0.0135853,41,0.871597915888,2744,117.39866328239441,0.346041,0.0,-0.0272333,50.0,-12.3106213509,-1.00099,137200
0.018079,41,0.879955992103,2785,119.14928317070007,0.338008,0.0,-0.0238675,50.0,-12.3868718738,-1.06865,139250
0.0276818,41,0.887304827571,2826,120.88241744041443,0.322284,0.0,-0.00878204,50.0,-12.0701062796,-1.11205,141300
