loss_ent,loss_pol_entpen,loss_pol_surr,EpThisIter,EpLenMean,ev_tdlam_before,TimestepsSoFar,EpRewMean,loss_vf_loss,loss_kl,EpisodesSoFar,TimeElapsed
2.75101,0.0,-0.0170899,40,50.0,0.00167804956436,2000,-113.949904641,598.125,0.00679389,40,2.065487861633301
2.65451,0.0,-0.0195227,41,50.0,0.171336233616,4050,-108.776956012,175.153,0.00994594,81,3.8649139404296875
2.57033,0.0,-0.0170769,41,50.0,0.0893059968948,6100,-99.9042853936,168.842,0.00830347,122,5.653194189071655
2.50114,0.0,-0.0175832,41,50.0,0.0395289063454,8150,-91.7038899989,181.293,0.00830924,163,7.434508323669434
2.42321,0.0,-0.0160055,41,50.0,0.045851290226,10200,-85.3579322322,177.885,0.00830115,204,9.231125354766846
2.37067,0.0,-0.0149237,41,50.0,0.16576308012,12250,-81.3151081498,148.753,0.00660281,245,11.031520366668701
2.29334,0.0,-0.0170234,41,50.0,0.172910690308,14300,-75.9914043399,136.776,0.00925629,286,12.811672925949097
2.23874,0.0,-0.0165476,41,50.0,0.354143679142,16350,-72.5766275356,107.006,0.0077115,327,14.598789930343628
2.17099,0.0,-0.0192033,41,50.0,0.425858318806,18400,-69.9597538472,98.1089,0.00757314,368,16.379312753677368
2.08112,0.0,-0.0214901,41,50.0,0.456130206585,20450,-66.9034814678,69.7149,0.00955692,409,18.17611026763916
2.02456,0.0,-0.0200045,41,50.0,0.547820448875,22500,-62.5985262917,62.5648,0.00782802,450,19.966338396072388
1.9359,0.0,-0.0249215,41,50.0,0.618628770113,24550,-59.8409501594,52.9209,0.0104445,491,21.765143632888794
1.84193,0.0,-0.0302752,41,50.0,0.588992059231,26600,-56.4513405009,38.2177,0.0137418,532,23.537095308303833
1.76498,0.0,-0.0240859,41,50.0,0.610342800617,28650,-53.4399492125,33.4828,0.0112282,573,25.324825525283813
1.71107,0.0,-0.0225163,41,50.0,0.67703473568,30700,-50.1074406014,25.3573,0.00806808,614,27.129832983016968
1.64623,0.0,-0.0216482,41,50.0,0.593799561262,32750,-47.921635099,30.396,0.00957023,655,28.934866905212402
1.57332,0.0,-0.0215724,41,50.0,0.613691926003,34800,-46.0556133128,26.1266,0.00836779,696,30.706140756607056
1.49434,0.0,-0.0267954,41,50.0,0.704827666283,36850,-45.0993327235,20.305,0.0111735,737,32.49658155441284
1.41789,0.0,-0.0253393,41,50.0,0.645970016718,38900,-43.4170343359,24.5571,0.00969276,778,34.27800107002258
1.35079,0.0,-0.0185467,41,50.0,0.72229668498,40950,-41.2931329281,16.2089,0.0079266,819,36.07508826255798
1.26975,0.0,-0.0271604,41,50.0,0.762012064457,43000,-39.5841086392,13.1205,0.00995311,860,37.84884071350098
1.15605,0.0,-0.0285165,41,50.0,0.792576849461,45050,-38.2125118488,11.4098,0.0120962,901,39.64589476585388
1.10865,0.0,-0.0212473,41,50.0,0.762070283294,47100,-36.117554116,11.9977,0.00849665,942,41.44291591644287
1.03768,0.0,-0.0220486,41,50.0,0.815718099475,49150,-34.1107444861,8.22127,0.00868578,983,43.2316632270813
