TimestepsSoFar,EpisodesSoFar,loss_pol_surr,EpRewMean,TimeElapsed,EpThisIter,loss_ent,loss_kl,EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_vf_loss
2000,40,-0.0200676,-111.548236132,2.004652976989746,40,2.75096,0.0094093,50.0,0.0,0.00502991676331,564.521
4050,81,-0.0215804,-104.701269354,3.7313103675842285,41,2.65306,0.00980731,50.0,0.0,0.215088427067,134.25
6100,122,-0.0199305,-98.5569170734,5.465178966522217,41,2.55019,0.00908409,50.0,0.0,0.111481428146,176.038
8150,163,-0.0155475,-92.1744916497,7.192062854766846,41,2.48484,0.00754183,50.0,0.0,0.0598684549332,175.81
10200,204,-0.0176741,-86.094787711,8.910211563110352,41,2.41516,0.00778625,50.0,0.0,0.0880910754204,178.057
12250,245,-0.0195751,-81.035206562,10.63552212715149,41,2.35178,0.00955885,50.0,0.0,0.148413062096,156.179
14300,286,-0.0149324,-77.8664319173,12.368847131729126,41,2.29589,0.00640596,50.0,0.0,0.259704589844,129.089
16350,327,-0.0181781,-74.4644137864,14.097871780395508,41,2.22133,0.00740305,50.0,0.0,0.373505949974,110.129
18400,368,-0.0181202,-69.6156658459,15.817802667617798,41,2.16014,0.0062565,50.0,0.0,0.5075327456,77.3001
20450,409,-0.0204524,-65.7879691075,17.539934158325195,41,2.09397,0.00733745,50.0,0.0,0.576627314091,58.4202
22500,450,-0.0234466,-62.1088294502,19.266797065734863,41,2.0114,0.0101588,50.0,0.0,0.451692044735,69.0389
24550,491,-0.0193856,-59.2290685433,20.999454975128174,41,1.94258,0.00805055,50.0,0.0,0.515812814236,50.6055
26600,532,-0.0194046,-56.7074860457,22.71947455406189,41,1.877,0.00845088,50.0,0.0,0.634434938431,39.8171
28650,573,-0.0224402,-54.0339367442,24.453086614608765,41,1.78491,0.00959098,50.0,0.0,0.595152616501,33.1192
30700,614,-0.0209185,-50.6493758875,26.16499161720276,41,1.70935,0.0110172,50.0,0.0,0.601207464933,32.5695
32750,655,-0.0196113,-47.311575602,27.898683309555054,41,1.63157,0.00826176,50.0,0.0,0.686758905649,26.3471
34800,696,-0.0251802,-45.8470331174,29.66496753692627,41,1.57008,0.00929743,50.0,0.0,0.598811686039,28.6877
36850,737,-0.0239331,-43.7605258066,31.399247407913208,41,1.47781,0.011576,50.0,0.0,0.623367518187,26.1418
38900,778,-0.0201872,-40.7767421983,33.137712478637695,41,1.41042,0.00811527,50.0,0.0,0.655394434929,19.3905
40950,819,-0.0273028,-38.6181114487,34.88022446632385,41,1.33742,0.00916763,50.0,0.0,0.636504858732,16.1774
43000,860,-0.0249499,-37.203129053,36.61817765235901,41,1.25779,0.0105061,50.0,0.0,0.6889513731,14.374
45050,901,-0.0210554,-35.4675533474,38.349798917770386,41,1.19546,0.00785373,50.0,0.0,0.680531173944,13.3588
47100,942,-0.0290092,-33.7346678247,40.06804418563843,41,1.10386,0.0102126,50.0,0.0,0.657913655043,13.5651
49150,983,-0.0263079,-32.679848682,41.80804967880249,41,1.04784,0.0112299,50.0,0.0,0.692102372646,10.5797
51200,1024,-0.0249964,-30.8451872356,43.544145584106445,41,0.989132,0.0108487,50.0,0.0,0.667318105698,9.86742
53200,1064,-0.0219677,-29.8865539389,45.27000093460083,40,0.929036,0.0086587,50.0,0.0,0.720854967833,7.86818
55250,1105,-0.0225269,-28.7995296611,47.003814458847046,41,0.875081,0.008603,50.0,0.0,0.721525371075,6.73111
57300,1146,-0.0223207,-28.0769885607,48.73857665061951,41,0.817188,0.012895,50.0,0.0,0.731590867043,6.97534
