#{"t_start": 1536397185.7058694, "env_id": "Swimmer-v2"}
r,l,t
26.30886,1000,1.67171
-12.735531,1000,2.202959
16.467449,1000,3.624955
2.718645,1000,4.171829
-8.126105,1000,5.370076
26.22782,1000,5.890737
18.982601,1000,7.093565
15.232841,1000,7.640415
22.950766,1000,8.843715
19.494546,1000,9.390527
25.115245,1000,10.593784
16.986798,1000,11.125031
22.336658,1000,12.343565
21.774665,1000,12.890589
25.340718,1000,14.093599
32.11304,1000,14.641283
23.704045,1000,15.860089
21.457785,1000,16.406067
29.017063,1000,17.609143
25.65311,1000,18.156014
30.384252,1000,19.390996
27.617391,1000,19.935746
25.615705,1000,21.125423
38.48441,1000,21.672192
28.659243,1000,22.906727
29.227941,1000,23.452846
31.416213,1000,24.656375
23.474854,1000,25.203247
35.042705,1000,26.422418
36.026397,1000,26.969292
30.384544,1000,28.1735
32.208727,1000,28.719807
28.778254,1000,29.9375
32.327421,1000,30.48454
30.437286,1000,31.703234
37.045465,1000,32.250108
29.019534,1000,33.46957
31.10723,1000,34.032068
35.989697,1000,35.237467
33.669963,1000,35.781279
36.905862,1000,37.01511
37.311094,1000,37.562794
32.732786,1000,38.109667
36.792746,1000,39.337995
34.357121,1000,39.890569
38.162439,1000,41.125352
32.63312,1000,41.671921
36.233219,1000,42.877359
38.141418,1000,43.438742
36.838772,1000,44.656637
35.355324,1000,45.203508
34.964943,1000,46.421437
34.148856,1000,46.968312
36.093847,1000,48.203624
35.264524,1000,48.76526
38.709813,1000,49.981587
40.165038,1000,50.531644
38.772174,1000,51.766192
32.585588,1000,52.315201
39.624887,1000,53.534567
37.624269,1000,54.087933
37.409605,1000,55.328132
38.053351,1000,55.874955
34.65308,1000,57.088401
33.618379,1000,57.64465
38.585582,1000,58.874443
35.53074,1000,59.43888
35.091361,1000,60.641155
41.58245,1000,61.203653
37.37436,1000,62.43714
43.023364,1000,62.984014
40.278791,1000,64.203595
37.204146,1000,64.749619
40.662225,1000,65.999615
38.81598,1000,66.54441
38.999575,1000,67.765535
36.220272,1000,68.312408
40.238071,1000,69.562565
39.287944,1000,70.125062
38.85013,1000,71.344972
39.20584,1000,71.891727
40.150322,1000,73.142346
38.321494,1000,73.687099
40.584754,1000,74.906586
35.185367,1000,75.46893
35.977867,1000,76.033696
37.509737,1000,77.265251
38.643259,1000,77.827605
33.875121,1000,79.031894
37.787463,1000,79.593223
37.927082,1000,80.828618
38.477997,1000,81.391147
40.400862,1000,82.593376
41.926381,1000,83.155874
39.03357,1000,84.390213
40.067177,1000,84.952711
40.993662,1000,86.172961
37.769576,1000,86.72014
39.02043,1000,87.968213
40.869046,1000,88.515225
37.000054,1000,89.744799
41.84045,1000,90.309121
39.859473,1000,91.547501
40.223143,1000,92.094374
42.233797,1000,93.312308
42.236745,1000,93.876233
42.302296,1000,95.10977
42.091826,1000,95.671886
44.020239,1000,96.876486
38.026133,1000,97.43759
42.716113,1000,98.672113
39.118051,1000,99.218987
41.97213,1000,100.437608
42.37416,1000,101.000106
41.06652,1000,102.233938
38.460941,1000,102.79759
39.721805,1000,104.015928
42.036544,1000,104.57858
43.182946,1000,105.813892
41.788099,1000,106.372209
43.382648,1000,107.578239
43.205771,1000,108.137333
41.501762,1000,109.374502
39.707818,1000,109.937001
44.027496,1000,111.151326
43.028249,1000,111.70308
41.30258,1000,112.937613
42.89559,1000,113.491816
40.743261,1000,114.054315
42.925685,1000,115.267282
41.610817,1000,115.827772
42.424517,1000,117.047886
42.886298,1000,117.608986
38.653396,1000,118.812824
41.742324,1000,119.375264
42.253467,1000,120.609805
37.026252,1000,121.157808
42.620728,1000,122.374614
44.134115,1000,122.937113
40.561941,1000,124.172465
43.136356,1000,124.719595
43.017429,1000,125.923231
42.194091,1000,126.48391
42.023677,1000,127.733937
41.238547,1000,128.28081
38.987583,1000,129.500995
41.556918,1000,130.063495
42.899563,1000,131.297268
43.482515,1000,131.844002
41.101173,1000,133.061132
42.516759,1000,133.624412
36.239298,1000,134.859134
43.346854,1000,135.421824
41.725756,1000,136.640833
44.627872,1000,137.203331
42.914791,1000,138.438868
45.039427,1000,139.001366
42.637785,1000,140.204216
44.486029,1000,140.759475
40.649131,1000,142.006676
42.864042,1000,142.548789
43.630934,1000,143.78122
43.396987,1000,144.343719
42.599176,1000,145.57773
43.376451,1000,146.140228
41.428685,1000,147.344502
44.923069,1000,147.908366
41.941618,1000,149.141059
42.199785,1000,149.703482
47.342008,1000,150.922071
43.990855,1000,151.468906
42.23385,1000,152.031404
42.921684,1000,153.266551
45.936269,1000,153.812235
44.704409,1000,155.031109
43.093764,1000,155.593631
43.85393,1000,156.829147
42.080544,1000,157.390404
42.639526,1000,158.59468
43.244853,1000,159.157179
45.604778,1000,160.405986
43.596293,1000,160.968485
42.191004,1000,162.172395
45.655392,1000,162.735043
41.669172,1000,163.968265
42.621022,1000,164.531898
42.267914,1000,165.749471
43.49008,1000,166.311969
43.112716,1000,167.54643
42.65807,1000,168.108928
42.542588,1000,169.313259
43.432424,1000,169.876858
44.919555,1000,171.131049
44.228337,1000,171.673216
44.562655,1000,172.891309
43.28412,1000,173.452711
43.878895,1000,174.687482
42.200825,1000,175.249979
43.705025,1000,176.468553
42.600877,1000,177.01649
43.188194,1000,178.266685
44.152588,1000,178.813265
43.708111,1000,180.032094
45.41715,1000,180.593854
42.9993,1000,181.828226
41.389987,1000,182.390875
45.434478,1000,183.593701
43.779442,1000,184.156199
43.541707,1000,185.407257
45.083327,1000,185.959149
43.608743,1000,187.172006
46.469288,1000,187.733948
45.228118,1000,188.974381
43.259359,1000,189.532253
45.630049,1000,190.094749
45.043794,1000,191.312626
45.799538,1000,191.875212
44.436421,1000,193.124382
44.394305,1000,193.671448
46.077366,1000,194.906262
44.838704,1000,195.453325
44.281898,1000,196.70376
44.612008,1000,197.259824
44.494218,1000,198.468927
44.569711,1000,199.031425
43.850957,1000,200.282134
43.712525,1000,200.828163
45.323187,1000,202.046713
42.094532,1000,202.61047
41.274913,1000,203.843561
45.645437,1000,204.406175
43.357706,1000,205.624687
43.519199,1000,206.187184
44.203924,1000,207.42307
43.818935,1000,207.985568
43.631772,1000,209.187848
43.804179,1000,209.749598
43.168181,1000,210.999934
42.113307,1000,211.547027
43.282029,1000,212.766376
44.496858,1000,213.328873
46.984942,1000,214.577902
43.835685,1000,215.124775
43.53202,1000,216.343526
43.251251,1000,216.907146
46.863583,1000,218.140736
47.455466,1000,218.703387
44.601404,1000,219.921345
44.757093,1000,220.469363
43.358877,1000,221.719575
44.648367,1000,222.28321
43.94687,1000,223.49952
44.609282,1000,224.046393
43.340475,1000,225.296542
44.819932,1000,225.859121
43.621345,1000,226.406239
43.293969,1000,227.624776
46.160655,1000,228.17165
43.384972,1000,229.422048
45.64271,1000,229.984546
42.440039,1000,231.18882
43.119182,1000,231.746638
43.85962,1000,233.000814
45.333336,1000,233.54712
47.381051,1000,234.765337
45.808837,1000,235.327837
43.897302,1000,236.563635
46.121551,1000,237.126133
44.8334,1000,238.344965
46.153662,1000,238.891243
44.09391,1000,240.140745
45.120592,1000,240.702601
46.20208,1000,241.906742
45.356352,1000,242.468534
44.592792,1000,243.70268
45.184634,1000,244.26518
46.674184,1000,245.484004
46.941012,1000,246.046502
46.844435,1000,247.289072
44.181811,1000,247.844574
42.756119,1000,249.06347
45.558258,1000,249.610345
41.444086,1000,250.859635
44.572921,1000,251.421627
47.85487,1000,252.624397
44.117706,1000,253.186894
46.80978,1000,254.437088
46.141629,1000,254.999586
46.371367,1000,256.218954
45.697992,1000,256.766151
45.494381,1000,258.015919
48.969718,1000,258.577545
46.796049,1000,259.796765
47.484367,1000,260.343637
45.392136,1000,261.593834
46.521974,1000,262.146283
47.377241,1000,263.374436
46.360298,1000,263.917009
46.129759,1000,264.472892
52.861874,1000,265.729948
47.716951,1000,266.276823
48.716012,1000,267.500017
48.815811,1000,268.048002
55.186882,1000,269.305632
46.064402,1000,269.859065
45.467767,1000,271.07777
43.449378,1000,271.641252
49.53368,1000,272.876001
44.39856,1000,273.437351
45.549508,1000,274.657214
46.513909,1000,275.219712
47.419594,1000,276.452544
46.761608,1000,277.015044
49.085304,1000,278.234622
46.10199,1000,278.781362
43.869411,1000,280.032269
49.306835,1000,280.59414
46.213882,1000,281.81228
49.559029,1000,282.373924
48.137194,1000,283.609497
47.109323,1000,284.171983
50.619319,1000,285.391068
46.561494,1000,285.953565
45.57298,1000,287.187046
51.782988,1000,287.750147
43.000736,1000,288.970027
48.66972,1000,289.515877
47.120083,1000,290.766018
49.603077,1000,291.312891
51.078776,1000,292.529176
44.543522,1000,293.091675
46.699952,1000,294.327664
46.193863,1000,294.891303
50.39519,1000,296.110314
49.367017,1000,296.656332
46.526374,1000,297.913007
47.969487,1000,298.470748
50.763729,1000,299.686949
44.763264,1000,300.233822
47.484411,1000,301.483907
49.500035,1000,302.046406
44.615477,1000,302.594411
51.129894,1000,303.812047
46.025689,1000,304.372706
46.76768,1000,305.609915
44.359982,1000,306.172413
45.843565,1000,307.37615
47.909795,1000,307.938648
46.726714,1000,309.187811
45.698349,1000,309.750183
48.909443,1000,310.954452
44.402657,1000,311.515777
44.576417,1000,312.750394
42.963141,1000,313.314038
48.314039,1000,314.546612
43.651828,1000,315.121699
51.015218,1000,316.375913
44.602794,1000,316.930215
52.863725,1000,318.141197
54.771269,1000,318.702809
55.16272,1000,319.938085
49.991862,1000,320.499729
55.259389,1000,321.719354
57.057283,1000,322.281853
55.289279,1000,323.515658
57.033274,1000,324.078155
58.304627,1000,325.283867
49.742239,1000,325.843284
55.433836,1000,327.093128
48.133239,1000,327.656432
56.167429,1000,328.874528
46.093527,1000,329.437769
50.760534,1000,330.67243
45.345471,1000,331.23493
51.125402,1000,332.454305
46.50038,1000,333.001177
48.991592,1000,334.233924
49.085007,1000,334.798157
48.903249,1000,336.016219
46.80369,1000,336.577844
46.413709,1000,337.813076
52.117644,1000,338.374932
51.143065,1000,339.577804
50.325425,1000,340.140304
49.43601,1000,340.688418
55.456468,1000,341.938243
56.625925,1000,342.49955
51.03336,1000,343.70308
47.919379,1000,344.265579
55.522337,1000,345.50011
49.307851,1000,346.046984
53.356113,1000,347.2745
49.337293,1000,347.844478
54.388607,1000,349.071115
51.015983,1000,349.640835
55.64997,1000,350.844094
56.182774,1000,351.406409
56.310765,1000,352.64095
55.534162,1000,353.203448
53.250255,1000,354.406376
55.233039,1000,354.963573
54.712809,1000,356.203112
48.961588,1000,356.766799
56.875326,1000,357.977666
51.598896,1000,358.548007
55.191945,1000,359.765567
55.035553,1000,360.328064
53.878671,1000,361.54683
57.073763,1000,362.109327
57.098697,1000,363.32822
60.164083,1000,363.890563
52.396837,1000,365.110687
58.009007,1000,365.671559
58.167435,1000,366.891669
53.152855,1000,367.453216
49.5974,1000,368.671559
55.094146,1000,369.234057
58.896633,1000,370.468741
54.148297,1000,371.015614
54.986689,1000,372.249778
57.996362,1000,372.796846
54.571511,1000,374.030807
50.911659,1000,374.578883
55.299533,1000,375.796415
48.344152,1000,376.367691
48.858463,1000,377.582946
48.63079,1000,378.145444
49.245367,1000,378.703086
52.131734,1000,379.92301
54.180623,1000,380.469466
56.263956,1000,381.704271
52.538664,1000,382.266768
54.076307,1000,383.484476
56.323618,1000,384.044917
51.945075,1000,385.265832
53.905223,1000,385.818645
55.622446,1000,387.032528
51.711682,1000,387.593984
53.875302,1000,388.82763
55.609609,1000,389.376294
56.466475,1000,390.593514
59.189293,1000,391.156014
59.096912,1000,392.374553
58.90816,1000,392.942363
52.502397,1000,394.156217
53.619011,1000,394.703234
55.470746,1000,395.937458
52.122009,1000,396.484695
52.756468,1000,397.718882
59.102749,1000,398.266986
59.176258,1000,399.484779
55.198865,1000,400.047276
57.478693,1000,401.265289
57.983475,1000,401.829416
47.625883,1000,403.047622
59.447622,1000,403.609249
51.552319,1000,404.844817
55.665376,1000,405.406435
60.212482,1000,406.610728
57.530417,1000,407.173225
60.374305,1000,408.4058
57.650426,1000,408.952675
61.396139,1000,410.172164
59.50644,1000,410.734869
52.337498,1000,411.96881
52.909781,1000,412.515816
55.594346,1000,413.733749
56.31114,1000,414.296247
59.329632,1000,415.531007
54.658449,1000,416.077882
58.180093,1000,416.641553
55.086734,1000,417.859511
53.008115,1000,418.422141
59.010716,1000,419.648611
59.093862,1000,420.195484
58.336664,1000,421.422265
54.702115,1000,421.971273
59.206268,1000,423.203078
60.524613,1000,423.76579
55.143967,1000,424.984502
59.925949,1000,425.53236
58.48634,1000,426.766171
56.752373,1000,427.32867
58.286524,1000,428.550854
58.671382,1000,429.115664
52.45289,1000,430.366541
54.680428,1000,430.921453
52.655945,1000,432.124531
58.478737,1000,432.687828
57.710694,1000,433.921341
58.778199,1000,434.484151
54.64253,1000,435.704101
59.806234,1000,436.250973
58.997944,1000,437.484755
59.184224,1000,438.047253
60.064373,1000,439.266061
54.793101,1000,439.829473
57.688574,1000,441.062099
58.156812,1000,441.624681
56.447624,1000,442.828003
59.182295,1000,443.390715
60.255828,1000,444.625166
61.813757,1000,445.190231
60.605374,1000,446.407348
26.295541,1000,446.977228
63.315619,1000,448.203714
57.504589,1000,448.766271
58.760673,1000,449.985006
62.550832,1000,450.53093
59.165327,1000,451.780629
62.881801,1000,452.343127
59.174052,1000,452.890997
59.377449,1000,454.109757
57.079066,1000,454.6724
62.910202,1000,455.905793
58.013105,1000,456.468291
63.408053,1000,457.686943
60.572372,1000,458.233817
35.321131,1000,459.485457
56.314627,1000,460.032329
60.538338,1000,461.265712
59.599749,1000,461.828109
59.257955,1000,463.062556
61.680133,1000,463.625112
59.674878,1000,464.837442
57.378223,1000,465.390158
62.105601,1000,466.640108
41.014393,1000,467.186981
61.211405,1000,468.406437
62.646411,1000,468.968936
58.566283,1000,470.202906
59.506054,1000,470.76563
56.238276,1000,471.988624
60.239447,1000,472.547104
39.562723,1000,473.781282
61.348021,1000,474.343782
62.928463,1000,475.547523
61.827407,1000,476.112615
60.088244,1000,477.360628
56.765571,1000,477.906535
62.014629,1000,479.140604
61.227227,1000,479.687241
61.139074,1000,480.944967
56.839758,1000,481.500417
60.439925,1000,482.718314
60.681868,1000,483.265187
57.893456,1000,484.516649
45.732269,1000,485.063523
45.019727,1000,486.296657
46.133433,1000,486.860144
45.69066,1000,488.109665
44.564768,1000,488.65566
46.983176,1000,489.875169
43.908315,1000,490.437701
47.125319,1000,490.984577
45.624992,1000,492.23509
45.690684,1000,492.796615
45.514797,1000,494.061962
47.339564,1000,494.655776
48.265607,1000,495.953346
46.809382,1000,496.547096
48.015804,1000,497.812354
46.226867,1000,498.422881
47.150249,1000,499.703433
48.623251,1000,500.297181
46.245244,1000,501.563463
46.552064,1000,502.172837
45.982648,1000,503.468699
43.259631,1000,504.046823
44.877033,1000,505.32907
46.297472,1000,505.922547
44.888663,1000,507.205642
46.969027,1000,507.791718
45.411587,1000,509.074406
42.218299,1000,509.672221
42.364929,1000,510.938883
46.817666,1000,511.530907
45.669231,1000,512.81319
46.269231,1000,513.405891
43.708783,1000,514.687299
45.878742,1000,515.265423
46.698568,1000,516.561924
47.14746,1000,517.155674
45.867421,1000,518.437107
45.528453,1000,519.017358
48.394459,1000,520.312189
45.635334,1000,520.9061
43.311121,1000,522.187272
47.475301,1000,522.766402
46.075044,1000,524.077783
45.491221,1000,524.671523
36.328524,1000,525.938495
33.85163,1000,526.515185
34.982758,1000,527.829474
47.070151,1000,528.422196
46.598803,1000,529.687544
47.681203,1000,530.281292
43.701913,1000,530.876035
49.661354,1000,532.172826
49.645262,1000,532.765775
46.432863,1000,534.030833
50.153833,1000,534.624681
47.390363,1000,535.937279
49.856532,1000,536.515437
49.00498,1000,537.781451
45.472509,1000,538.376199
47.271111,1000,539.687856
