EpisodesSoFar,loss_kl,loss_pol_entpen,ev_tdlam_before,loss_ent,loss_pol_surr,loss_vf_loss,EpLenMean,TimeElapsed,EpRewMean,TimestepsSoFar,EpThisIter
2,0.0123914,0.0,-0.0206121206284,2.80328,-0.023872,7.6571,1000.0,2.01554799079895,10.489038922,2000,2
4,0.0161438,0.0,0.15597563982,2.7848,-0.0293197,18.71,1000.0,3.7555172443389893,15.9471871624,4000,2
6,0.0149393,0.0,0.194138884544,2.741,-0.0243061,5.08289,1000.0,5.46932053565979,8.61330066515,6000,2
8,0.011093,0.0,0.348088800907,2.70004,-0.0174669,2.98616,1000.0,7.2180421352386475,11.1931472015,8000,2
10,0.0105191,0.0,0.51116758585,2.63249,-0.0210966,1.34317,1000.0,8.983767986297607,14.1528412598,10000,2
12,0.00803322,0.0,0.736529886723,2.59669,-0.0209186,0.743706,1000.0,10.73479413986206,15.2212169698,12000,2
14,0.00937864,0.0,0.813187360764,2.5614,-0.017757,0.467761,1000.0,12.515377044677734,16.3745935073,14000,2
16,0.0096317,0.0,0.844837501645,2.51604,-0.0136504,0.424186,1000.0,14.29833722114563,17.2640435127,16000,2
18,0.00844785,0.0,0.909554600716,2.49457,-0.0136403,0.354846,1000.0,16.047433376312256,17.5993772743,18000,2
20,0.00740667,0.0,0.953390784562,2.4551,-0.0139818,0.256289,1000.0,17.828566074371338,18.3890497313,20000,2
22,0.00894315,0.0,0.964914374053,2.44861,-0.0150292,0.131233,1000.0,19.58580183982849,19.0561265642,22000,2
24,0.010701,0.0,0.943350583315,2.44699,-0.0160097,0.191836,1000.0,21.358967781066895,19.9351305814,24000,2
26,0.0077862,0.0,0.964472465217,2.41349,-0.0183809,0.15427,1000.0,23.0930118560791,20.2720018634,26000,2
28,0.00546999,0.0,0.939331870526,2.39112,-0.0126424,0.12972,1000.0,24.874869108200073,21.035623597,28000,2
30,0.0130686,0.0,0.972223136574,2.35169,-0.0234862,0.102328,1000.0,26.625829696655273,21.4500556403,30000,2
32,0.00979318,0.0,0.97695045732,2.31879,-0.0171116,0.11328,1000.0,28.40670347213745,22.1876469393,32000,2
34,0.00845321,0.0,0.968951165676,2.28687,-0.0191885,0.0880393,1000.0,30.156004190444946,23.0301999913,34000,2
36,0.00523176,0.0,0.983728278428,2.24975,-0.0131707,0.0701936,1000.0,31.937175989151,23.6831298575,36000,2
38,0.00815517,0.0,0.989196780138,2.21658,-0.0196633,0.0594354,1000.0,33.68700289726257,24.3271881247,38000,2
40,0.00623568,0.0,0.989550413564,2.19263,-0.0165043,0.0602439,1000.0,35.45314407348633,24.7026392879,40000,2
43,0.0060478,0.0,0.993525895756,2.17876,-0.0135661,0.0488445,1000.0,37.202940225601196,25.5325813499,43000,3
45,0.00705254,0.0,0.992284920532,2.16619,-0.012231,0.0503435,1000.0,38.96827936172485,25.9317959643,45000,2
47,0.0049749,0.0,0.992560773157,2.16604,-0.0123482,0.0356359,1000.0,40.72545909881592,26.3304259109,47000,2
