loss_pol_entpen,loss_pol_surr,TimestepsSoFar,ev_tdlam_before,EpLenMean,TimeElapsed,EpisodesSoFar,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,loss_ent
0.0,-0.0221511,2000,-0.0244035720825,1000.0,1.9843542575836182,2,2,0.0128679,9.97226,-7.95301093885,2.83528
0.0,-0.0316269,4000,0.183409154415,1000.0,3.7028069496154785,4,2,0.0161277,11.5735,-8.23444686822,2.80133
0.0,-0.0218123,6000,0.242781460285,1000.0,5.406002044677734,6,2,0.0106318,8.34105,5.95369692697,2.77782
0.0,-0.0191125,8000,0.239909529686,1000.0,7.1402504444122314,8,2,0.0110981,2.94807,9.92260276354,2.73155
0.0,-0.02419,10000,0.36226773262,1000.0,8.858976125717163,10,2,0.0115971,2.1131,11.4795142098,2.69038
0.0,-0.0205828,12000,0.50622099638,1000.0,10.594730854034424,12,2,0.0120036,1.52917,13.2625657564,2.66951
0.0,-0.0173673,14000,0.671536684036,1000.0,12.32883095741272,14,2,0.0121218,0.793574,13.7730659476,2.64893
0.0,-0.0104074,16000,0.891665481031,1000.0,14.062020063400269,16,2,0.00693925,0.22858,14.5550930198,2.60185
0.0,-0.0127708,18000,0.915484681726,1000.0,15.81171703338623,18,2,0.00460013,0.226767,15.8189166948,2.57252
0.0,-0.0130261,20000,0.923489645123,1000.0,17.54690957069397,20,2,0.00372879,0.304512,16.9367761175,2.55174
0.0,-0.0161403,22000,0.96581992507,1000.0,19.296547412872314,22,2,0.00961196,0.119188,17.5381765006,2.55611
0.0,-0.0176758,24000,0.931042447686,1000.0,21.01493501663208,24,2,0.0100339,0.363514,18.3199016795,2.53704
0.0,-0.0171056,26000,0.945628989488,1000.0,22.76494026184082,26,2,0.0135918,0.365257,19.2497928711,2.50285
0.0,-0.0145858,28000,0.961212296039,1000.0,24.48762536048889,28,2,0.00777303,0.152557,20.3675995948,2.47132
0.0,-0.0195572,30000,0.96540254727,1000.0,26.24989914894104,30,2,0.0106499,0.160023,20.9990925986,2.43962
0.0,-0.0151626,32000,0.963949751109,1000.0,27.983961582183838,32,2,0.00669102,0.110996,21.5851455235,2.44522
0.0,-0.0179323,34000,0.976263556629,1000.0,29.740188121795654,34,2,0.00900502,0.114361,22.3861968479,2.42232
0.0,-0.0198915,36000,0.970340816304,1000.0,31.468804836273193,36,2,0.0122223,0.0944415,22.9211815568,2.38268
0.0,-0.0165004,38000,0.978132843971,1000.0,33.219565868377686,38,2,0.0092858,0.106389,23.4919205493,2.3493
0.0,-0.0167761,40000,0.983957229182,1000.0,34.9535870552063,40,2,0.00837088,0.0870836,24.0312863634,2.32715
0.0,-0.0181194,43000,0.987944251858,1000.0,36.718247413635254,43,3,0.00932309,0.0682374,24.5611052781,2.2798
0.0,-0.0154334,45000,0.989334831014,1000.0,38.469557762145996,45,2,0.00710373,0.0580079,25.0115176505,2.24572
0.0,-0.0132042,47000,0.990447360091,1000.0,40.21843981742859,47,2,0.00410343,0.0462874,25.53499481,2.21004
0.0,-0.0116914,49000,0.990396682173,1000.0,41.969109535217285,49,2,0.0038485,0.034508,25.9535659666,2.17295
0.0,-0.0124235,51000,0.986126545817,1000.0,43.74951505661011,51,2,0.0066396,0.0496499,26.2947251825,2.16158
0.0,-0.0179846,53000,0.990017595701,1000.0,45.4997935295105,53,2,0.017124,0.0475168,26.5460940226,2.1576
0.0,-0.0180692,55000,0.994612590875,1000.0,47.24945783615112,55,2,0.00878965,0.0341549,26.7692925905,2.10453
0.0,-0.0178589,57000,0.990767252631,1000.0,48.999178647994995,57,2,0.00716273,0.0426222,27.1460595292,2.09059
0.0,-0.019538,59000,0.9933241494,1000.0,50.76478409767151,59,2,0.0087666,0.0317443,27.4811820978,2.04949
0.0,-0.0174027,61000,0.990025373176,1000.0,52.51562476158142,61,2,0.00459927,0.0587784,27.7719935517,2.00485
0.0,-0.0176609,63000,0.995803377125,1000.0,54.26589369773865,63,2,0.0097557,0.0276793,28.099574694,1.97038
0.0,-0.0196214,65000,0.994845392648,1000.0,56.014803409576416,65,2,0.00990774,0.0123361,28.3659307129,1.94047
0.0,-0.0106224,67000,0.996149207698,1000.0,57.76553654670715,67,2,0.00442516,0.0179171,28.6501363673,1.91883
0.0,-0.0135228,69000,0.992509478703,1000.0,59.517141580581665,69,2,0.00461333,0.0240164,28.9037989309,1.89308
0.0,-0.0145649,71000,0.995968614239,1000.0,61.265464305877686,71,2,0.0131861,0.0185065,29.084633397,1.86462
0.0,-0.00794217,73000,0.988121207803,1000.0,63.03178596496582,73,2,0.00662583,0.0309613,29.3755728475,1.8492
0.0,-0.0149117,75000,0.995622571092,1000.0,64.76516008377075,75,2,0.00941751,0.0182059,29.5485308187,1.84488
0.0,-0.0181701,77000,0.995793530252,1000.0,66.53058671951294,77,2,0.0104776,0.0174224,29.7057856299,1.82264
0.0,-0.00986141,79000,0.990505408496,1000.0,68.26562452316284,79,2,0.00413424,0.0250276,29.9478446782,1.78139
0.0,-0.0162803,81000,0.996560908156,1000.0,70.03057718276978,81,2,0.00774377,0.0188463,30.204733576,1.76483
0.0,-0.0124279,83000,0.996059007477,1000.0,71.76570892333984,83,2,0.00716111,0.0165298,30.4185318766,1.72779
0.0,-0.0137088,86000,0.994444404729,1000.0,73.54657363891602,86,3,0.0166911,0.0491241,30.8429659313,1.69863
0.0,-0.0169936,88000,0.996642177459,1000.0,75.28102016448975,88,2,0.00618709,0.0157823,31.0526663489,1.67007
0.0,-0.0174943,90000,0.996896668337,1000.0,77.0480318069458,90,2,0.00417443,0.0165497,31.2666719625,1.64044
0.0,-0.0169089,92000,0.995944978669,1000.0,78.79801774024963,92,2,0.00676799,0.0180924,31.4267320629,1.63809
0.0,-0.00593033,94000,0.996031622402,1000.0,80.56252980232239,94,2,0.0312865,0.021556,31.5874936338,1.61748
0.0,-0.0163865,96000,0.994446225464,1000.0,82.31320476531982,96,2,0.00489847,0.0255803,31.7506322632,1.61086
0.0,-0.0168633,98000,0.996229762444,1000.0,84.07763624191284,98,2,0.0191053,0.0246525,31.9214330729,1.56545
0.0,-0.0155947,100000,0.998309206334,1000.0,85.8226056098938,100,2,0.00722077,0.0140425,32.1467978705,1.57361
0.0,-0.016912,102000,0.997469704831,1000.0,87.59782528877258,102,2,0.00560581,0.0116615,33.1299830276,1.54021
0.0,-0.0129633,104000,0.996109672822,1000.0,89.34365391731262,104,2,0.00607939,0.0139296,34.1055438265,1.51454
0.0,-0.0182099,106000,0.996122950222,1000.0,91.1090304851532,106,2,0.0120727,0.0175738,34.255306263,1.54518
0.0,-0.0173193,108000,0.997560132993,1000.0,92.86259388923645,108,2,0.006443,0.0120856,34.6152200499,1.52457
0.0,-0.0151177,110000,0.993977470789,1000.0,94.64078116416931,110,2,0.00479282,0.0287901,35.0530245632,1.51369
0.0,-0.0140087,112000,0.996863500681,1000.0,96.3905656337738,112,2,0.00455901,0.013377,35.4405018602,1.50933
0.0,-0.00936639,114000,0.996109135449,1000.0,98.15569853782654,114,2,0.00831121,0.00959248,35.9191511602,1.51113
0.0,-0.0147845,116000,0.983447130769,1000.0,99.92134833335876,116,2,0.0123394,0.0235799,36.3079662726,1.50257
0.0,-0.0135943,118000,0.992168076336,1000.0,101.6868326663971,118,2,0.0083905,0.0129395,36.6111490999,1.46365
0.0,-0.0171742,120000,0.995108557399,1000.0,103.43750953674316,120,2,0.00807643,0.0165157,36.8252461164,1.43298
0.0,-0.0149175,122000,0.997032719664,1000.0,105.20229005813599,122,2,0.00565052,0.0089964,37.1484682781,1.42925
0.0,-0.0123431,124000,0.995945261791,1000.0,106.96793341636658,124,2,0.00434257,0.0133729,37.3942786083,1.3874
0.0,-0.00644403,126000,0.996514693135,1000.0,108.71890115737915,126,2,0.0255168,0.0144935,37.5688588921,1.37117
0.0,-0.0151664,129000,0.997237751959,1000.0,110.50086998939514,129,3,0.00790195,0.0168715,37.8425901519,1.34077
0.0,-0.0102265,131000,0.999141501437,1000.0,112.24961376190186,131,2,0.00701998,0.00741364,38.0197139136,1.32998
0.0,-0.0150462,133000,0.998811424128,1000.0,114.01526284217834,133,2,0.0125918,0.00719411,38.1850595552,1.30742
0.0,-0.0143311,135000,0.998391754227,1000.0,115.76565885543823,135,2,0.00501856,0.00841487,38.3703353675,1.28287
0.0,-0.0118297,137000,0.998397430172,1000.0,117.53055238723755,137,2,0.00542734,0.0098086,38.527623445,1.2544
0.0,-0.0122002,139000,0.998789380537,1000.0,119.27226114273071,139,2,0.00662158,0.00550857,38.6801755184,1.22575
0.0,-0.016295,141000,0.998825396178,1000.0,121.04619646072388,141,2,0.00933856,0.00655068,38.8699213744,1.20822
0.0,-0.0151566,143000,0.998995842179,1000.0,122.79621696472168,143,2,0.0062535,0.0078572,39.0672631649,1.16458
0.0,-0.00884204,145000,0.999378973793,1000.0,124.56229066848755,145,2,0.00418944,0.00492918,39.1938789698,1.12276
0.0,-0.0161994,147000,0.997936678817,1000.0,126.31231260299683,147,2,0.0110552,0.00509049,39.293318868,1.11352
0.0,-0.00696521,149000,0.997586849844,1000.0,128.0929617881775,149,2,0.0132073,0.00631031,39.4262326132,1.10873
0.0,-0.0107688,151000,0.998343001003,1000.0,129.84367895126343,151,2,0.0142882,0.0105561,39.6172549102,1.12189
0.0,-0.0109251,153000,0.996598087717,1000.0,131.60873365402222,153,2,0.0169382,0.00846186,39.8029708676,1.13394
0.0,-0.0127939,155000,0.996890055947,1000.0,133.35947680473328,155,2,0.0124415,0.013103,40.0013795557,1.08619
0.0,-0.0163639,157000,0.995704943314,1000.0,135.14021968841553,157,2,0.0086148,0.0297101,40.0957852528,1.09649
0.0,-0.00928552,159000,0.998945371364,1000.0,136.88579678535461,159,2,0.0157329,0.0087832,40.2081840409,1.06452
0.0,-0.0174329,161000,0.998247224954,1000.0,138.65734243392944,161,2,0.00597182,0.00673412,40.3283990121,1.07575
0.0,-0.00561646,163000,0.998608912574,1000.0,140.4055860042572,163,2,0.00983186,0.0116172,40.4148174225,1.05063
0.0,-0.0177727,165000,0.998692649533,1000.0,142.1720049381256,165,2,0.0129355,0.00908885,40.4873774499,1.06375
0.0,-0.017375,167000,0.998225593125,1000.0,143.93828701972961,167,2,0.0127548,0.00529564,40.6110342486,1.01462
0.0,-0.0113267,169000,0.998822845868,1000.0,145.7026391029358,169,2,0.0113037,0.00492979,40.7029520381,0.986512
