EpLenMean,loss_pol_entpen,TimestepsSoFar,EpRewMean,loss_pol_surr,loss_ent,EpisodesSoFar,EpThisIter,loss_vf_loss,loss_kl,TimeElapsed,ev_tdlam_before
1000.0,0.0,2000,2.61737153038,-0.0226948,2.81661,2,2,9.08884,0.0143209,2.015486001968384,-0.0215803384781
1000.0,0.0,4000,-5.25774707496,-0.0282048,2.8042,4,2,8.46136,0.0154486,3.7522473335266113,0.171142041683
1000.0,0.0,6000,-2.78848045896,-0.0252914,2.78195,6,2,5.98719,0.0104833,5.515244722366333,0.0614387989044
1000.0,0.0,8000,3.97626440706,-0.022601,2.73791,8,2,3.99025,0.0119599,7.281454801559448,0.0704529881477
1000.0,0.0,10000,8.00129421264,-0.0240697,2.6962,10,2,2.24692,0.0101985,9.03845500946045,0.416311264038
1000.0,0.0,12000,9.84818389299,-0.0172494,2.65269,12,2,1.02969,0.00830738,10.828119277954102,0.668913841248
1000.0,0.0,14000,11.2551847141,-0.0181884,2.60532,14,2,0.774082,0.0102248,12.593676090240479,0.764084607363
1000.0,0.0,16000,12.7338292643,-0.0180959,2.55015,16,2,0.298109,0.0112781,14.391360759735107,0.896406561136
1000.0,0.0,18000,14.0352066151,-0.0145495,2.51981,18,2,0.385651,0.010787,16.171828508377075,0.92915404588
1000.0,0.0,20000,15.0553328897,-0.0142899,2.49491,20,2,0.309258,0.00723518,17.968711853027344,0.933961115777
1000.0,0.0,22000,15.3073409962,-0.0197355,2.47659,22,2,0.316296,0.0115087,19.749960899353027,0.945894427598
1000.0,0.0,24000,16.0026883381,-0.0188024,2.44977,24,2,0.185162,0.00934387,21.54747223854065,0.948727943003
1000.0,0.0,26000,17.0195487149,-0.0200073,2.42726,26,2,0.188377,0.010578,23.328486919403076,0.969751846045
1000.0,0.0,28000,17.8854009204,-0.0219226,2.42679,28,2,0.245439,0.0114077,25.110486268997192,0.964001197368
1000.0,0.0,30000,18.8893567105,-0.019708,2.40427,30,2,0.1703,0.0074959,26.906057119369507,0.974028814584
1000.0,0.0,32000,19.709682834,-0.0147206,2.41227,32,2,0.209175,0.00524111,28.686765670776367,0.961586207151
1000.0,0.0,34000,20.5960741382,-0.0200808,2.37894,34,2,0.157005,0.00811976,30.4696946144104,0.974342564121
1000.0,0.0,36000,21.4287767685,-0.0133526,2.36703,36,2,0.162013,0.00658643,32.24965000152588,0.966133248061
1000.0,0.0,38000,22.1858525566,-0.0152314,2.34378,38,2,0.0691812,0.011831,34.07780623435974,0.984672465362
1000.0,0.0,40000,22.886734377,-0.0169406,2.34473,40,2,0.0830794,0.00807875,35.87674045562744,0.982601696625
1000.0,0.0,43000,23.7228433944,-0.0180423,2.33932,43,3,0.0796301,0.00583254,37.65574336051941,0.98704190366
1000.0,0.0,45000,24.2324805742,-0.020877,2.31407,45,2,0.103619,0.0125809,39.45294952392578,0.982255756855
1000.0,0.0,47000,24.7393135686,-0.0156175,2.28939,47,2,0.0470035,0.00690209,41.250269174575806,0.983508827165
