TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,loss_vf_loss,EpRewMean,EpLenMean,loss_ent
2000,0.0,1.9893879890441895,-0.0991847515106,2,2,-0.020795,0.010457,9.73836,-6.13462721514,1000.0,2.82585
4000,0.0,3.7093255519866943,0.105958580971,2,4,-0.0258194,0.0120855,9.4743,-1.91038413761,1000.0,2.81079
6000,0.0,5.458981037139893,0.215521335602,2,6,-0.0205366,0.0121851,8.27968,7.27227537477,1000.0,2.8008
8000,0.0,7.240497350692749,0.336999356747,2,8,-0.0199094,0.00922619,2.68542,8.14348549013,1000.0,2.75701
10000,0.0,9.005930423736572,0.493309617043,2,10,-0.0208453,0.01181,1.65519,9.32215967787,1000.0,2.72448
12000,0.0,10.77264404296875,0.636027753353,2,12,-0.0140138,0.00678144,0.780513,11.2951757682,1000.0,2.67936
14000,0.0,12.553664207458496,0.832031518221,2,14,-0.0164957,0.00748874,0.346463,13.3971144773,1000.0,2.62897
16000,0.0,14.3176908493042,0.813724771142,2,16,-0.0141465,0.00646775,0.391747,14.5880037293,1000.0,2.60313
18000,0.0,16.08436894416809,0.846738994122,2,18,-0.0131904,0.0048079,0.38764,15.7702244177,1000.0,2.60938
20000,0.0,17.849133729934692,0.82322499156,2,20,-0.013044,0.00619904,0.270962,16.6645483002,1000.0,2.56654
22000,0.0,19.62204122543335,0.958701651543,2,22,-0.0160519,0.00927308,0.169937,17.6695732804,1000.0,2.54269
24000,0.0,21.38059663772583,0.837524488568,2,24,-0.0166926,0.00600474,0.745834,18.2451155812,1000.0,2.5007
26000,0.0,23.146639108657837,0.917986936867,2,26,-0.0199743,0.00628913,0.313915,19.4693086973,1000.0,2.45639
28000,0.0,24.91194772720337,0.956260036677,2,28,-0.0131193,0.00476586,0.126597,20.0620430285,1000.0,2.42199
30000,0.0,26.66166853904724,0.939108245075,2,30,-0.0184797,0.0112242,0.283762,20.9418097119,1000.0,2.39621
32000,0.0,28.42695951461792,0.94938378036,2,32,-0.0168568,0.00594391,0.241002,21.5393803315,1000.0,2.35561
34000,0.0,30.192848443984985,0.946907199919,2,34,-0.0158143,0.011794,0.10893,21.8171264244,1000.0,2.33555
36000,0.0,31.97408437728882,0.98051742278,2,36,-0.0142633,0.00657214,0.0504019,22.4219929039,1000.0,2.30001
38000,0.0,33.74012064933777,0.980599656701,2,38,-0.0192616,0.0112151,0.0712989,22.9330200069,1000.0,2.28328
40000,0.0,35.52145314216614,0.979789981619,2,40,-0.021099,0.00954393,0.0748757,23.5106747535,1000.0,2.23098
43000,0.0,37.28748941421509,0.9886015784,3,43,-0.0112933,0.00353943,0.0417831,24.3974264909,1000.0,2.2277
45000,0.0,39.068952798843384,0.990399666131,2,45,-0.0203124,0.0118393,0.067699,24.8213547247,1000.0,2.21215
47000,0.0,40.833314180374146,0.985935628414,2,47,-0.014952,0.00933532,0.0513324,25.2217016294,1000.0,2.17733
49000,0.0,42.60388946533203,0.991218714975,2,49,-0.0170054,0.0103521,0.0460141,25.5694722943,1000.0,2.11427
51000,0.0,44.36616563796997,0.989822683856,2,51,-0.0151816,0.00723572,0.0290142,25.9707649578,1000.0,2.08134
53000,0.0,46.14677333831787,0.991616854444,2,53,-0.0207945,0.00974724,0.0343007,26.3113331656,1000.0,2.03214
55000,0.0,47.92592811584473,0.993234021589,2,55,-0.0132093,0.0065297,0.0381304,26.7891955933,1000.0,2.00334
57000,0.0,49.70889163017273,0.995358039625,2,57,-0.0129119,0.0038044,0.0272361,27.1233613262,1000.0,1.98355
59000,0.0,51.48988938331604,0.997396009043,2,59,-0.0121407,0.0137564,0.0158089,27.3737590234,1000.0,1.97483
61000,0.0,53.27152705192566,0.995467340108,2,61,-0.0161514,0.00626482,0.021782,27.7310090876,1000.0,1.94367
63000,0.0,55.052629232406616,0.995376469102,2,63,-0.0129255,0.00749216,0.0302361,28.0265443804,1000.0,1.93132
65000,0.0,56.83340930938721,0.995574492961,2,65,-0.0157599,0.00505379,0.0245926,28.2443150029,1000.0,1.88875
67000,0.0,58.598934173583984,0.995669757947,2,67,-0.0185105,0.00680683,0.0258285,28.6326148985,1000.0,1.88192
69000,0.0,60.38097167015076,0.995962032117,2,69,-0.0165867,0.0101083,0.0190316,28.983133074,1000.0,1.88521
71000,0.0,62.1619176864624,0.995900142472,2,71,-0.0158446,0.00645561,0.0253579,29.280762898,1000.0,1.86685
73000,0.0,63.947179555892944,0.993214294314,2,73,-0.016855,0.0116362,0.028293,29.6140949229,1000.0,1.8362
75000,0.0,65.72428703308105,0.99546233844,2,75,-0.0173516,0.00782858,0.027838,29.8976387353,1000.0,1.82028
77000,0.0,67.50519967079163,0.989110482857,2,77,-0.022199,0.0114395,0.032725,30.2697389819,1000.0,1.77276
79000,0.0,69.28811836242676,0.991527662612,2,79,-0.017041,0.00967701,0.0180699,30.4599798874,1000.0,1.75453
81000,0.0,71.0684187412262,0.996028175578,2,81,-0.0193976,0.0178239,0.0183167,30.669343127,1000.0,1.74878
83000,0.0,72.84887909889221,0.994041159749,2,83,-0.0172365,0.00513408,0.0180405,30.7711118188,1000.0,1.74421
86000,0.0,74.61612725257874,0.9956829031,3,86,-0.0111495,0.0103718,0.0155272,31.0607349244,1000.0,1.72188
88000,0.0,76.38012075424194,0.994281580206,2,88,-0.0145672,0.013295,0.0233751,31.233227914,1000.0,1.68596
90000,0.0,78.14643216133118,0.996840970358,2,90,-0.0141369,0.00476049,0.0186483,31.4181027483,1000.0,1.67281
92000,0.0,79.92769360542297,0.994463244919,2,92,-0.0210703,0.00963253,0.0174376,31.4869731822,1000.0,1.64366
94000,0.0,81.6948676109314,0.995307445526,2,94,-0.0131611,0.00684896,0.0121845,31.6494332926,1000.0,1.605
96000,0.0,83.45812845230103,0.997989219381,2,96,-0.012781,0.00676484,0.0092691,31.7395752214,1000.0,1.61272
