TimestepsSoFar,loss_vf_loss,EpLenMean,EpRewMean,loss_pol_entpen,loss_ent,loss_pol_surr,loss_kl,EpThisIter,TimeElapsed,EpisodesSoFar,ev_tdlam_before
2000,9.44581,1000.0,0.968315958259,0.0,2.82882,-0.0237433,0.0122135,2,2.0017504692077637,2,-0.0310614109039
4000,12.6267,1000.0,12.2281895573,0.0,2.81329,-0.0266947,0.0160236,2,3.7506492137908936,4,0.145298957825
6000,5.88161,1000.0,12.3760362711,0.0,2.77957,-0.0203517,0.013311,2,5.500006198883057,6,0.212021350861
8000,3.53126,1000.0,15.8300712324,0.0,2.73518,-0.0221766,0.014046,2,7.251166582107544,8,0.38573038578
10000,1.33637,1000.0,16.644795243,0.0,2.681,-0.0175917,0.008922,2,9.015830278396606,10,0.612888753414
12000,0.522367,1000.0,17.7090624909,0.0,2.68367,-0.0122524,0.0059284,2,10.767056703567505,12,0.815354719758
14000,0.50057,1000.0,18.2393294017,0.0,2.6416,-0.0164697,0.010356,2,12.532328844070435,14,0.837973505259
16000,0.452483,1000.0,19.1103106577,0.0,2.60363,-0.0169036,0.0118625,2,14.312594175338745,16,0.920671492815
18000,0.361968,1000.0,20.251464499,0.0,2.58934,-0.0178295,0.00837365,2,16.07802700996399,18,0.921044670045
20000,0.266961,1000.0,20.5481157228,0.0,2.54397,-0.0159168,0.00932637,2,17.828818559646606,20,0.943014256656
22000,0.394021,1000.0,21.4012473699,0.0,2.51831,-0.014884,0.00712733,2,19.604268074035645,22,0.871449440718
24000,0.338491,1000.0,22.0234608117,0.0,2.47468,-0.0150921,0.0056801,2,21.344042778015137,24,0.906786605716
26000,0.246201,1000.0,22.5455361744,0.0,2.46054,-0.0174702,0.0115013,2,23.124892950057983,26,0.950593702495
28000,0.183521,1000.0,23.2098514904,0.0,2.44363,-0.0118276,0.00422951,2,24.891472339630127,28,0.957586895674
30000,0.175811,1000.0,23.9096119355,0.0,2.40723,-0.0161758,0.0108922,2,26.67309069633484,30,0.955693837255
32000,0.151148,1000.0,24.5886040119,0.0,2.40221,-0.0164581,0.00715514,2,28.439075231552124,32,0.974637370557
34000,0.104691,1000.0,25.2409216422,0.0,2.38823,-0.0157307,0.0101289,2,30.20467519760132,34,0.97797254473
36000,0.0904539,1000.0,25.4127127867,0.0,2.37043,-0.017739,0.00711767,2,31.9691104888916,36,0.983746964484
38000,0.066017,1000.0,25.7737698582,0.0,2.33994,-0.0181651,0.00867889,2,33.75039196014404,38,0.983704416081
40000,0.0515901,1000.0,26.2169469152,0.0,2.31108,-0.0215757,0.0135361,2,35.518494844436646,40,0.992066661827
