#{"env_id": "Swimmer-v2", "t_start": 1536404197.4714894}
r,l,t
25.707067,1000,1.68744
4.386,1000,2.225307
-2.21134,1000,3.655813
21.670805,1000,4.202688
-20.735635,1000,5.391228
35.679324,1000,5.937734
19.310491,1000,7.124405
2.894227,1000,7.656621
15.115831,1000,8.859742
23.29313,1000,9.406615
17.413849,1000,10.609594
21.750608,1000,11.156468
21.550049,1000,12.357016
25.946743,1000,12.905869
24.415106,1000,14.126266
25.885638,1000,14.671705
28.997579,1000,15.876022
25.873884,1000,16.411509
27.82149,1000,17.625015
27.856057,1000,18.171889
31.261746,1000,19.37605
29.488097,1000,19.92256
32.997469,1000,21.124748
32.438458,1000,21.671347
33.105285,1000,22.880042
34.675329,1000,23.426917
32.210732,1000,24.62594
29.983182,1000,25.178052
30.928686,1000,26.390527
35.373908,1000,26.921489
29.084799,1000,28.14094
35.083108,1000,28.687817
31.697597,1000,29.890588
33.10697,1000,30.433081
30.99134,1000,31.719043
29.30371,1000,32.281543
29.294558,1000,33.516805
28.398849,1000,34.046651
31.594435,1000,35.250459
33.630079,1000,35.812663
27.200845,1000,37.016755
34.14436,1000,37.563626
34.895898,1000,38.09358
36.929507,1000,39.3123
30.945024,1000,39.874695
31.250434,1000,41.077796
37.841965,1000,41.625737
35.3968,1000,42.827581
30.581369,1000,43.374454
33.418271,1000,44.609616
32.977396,1000,45.143005
37.899877,1000,46.343802
31.229483,1000,46.906308
35.33317,1000,48.10936
32.634798,1000,48.657211
34.820047,1000,49.874395
29.47013,1000,50.42127
31.343538,1000,51.64056
27.613213,1000,52.187433
35.138913,1000,53.390556
35.532783,1000,53.952684
36.236506,1000,55.172986
31.414963,1000,55.718595
39.902974,1000,56.929471
35.531109,1000,57.491969
34.122464,1000,58.703161
36.726403,1000,59.265659
37.676883,1000,60.468493
34.140257,1000,61.015355
37.312289,1000,62.234044
37.008493,1000,62.796558
40.221391,1000,64.001333
34.912447,1000,64.563832
38.772172,1000,65.781309
38.641815,1000,66.343809
33.063675,1000,67.546936
36.160289,1000,68.109542
35.422341,1000,69.32832
35.483414,1000,69.891674
34.344027,1000,71.094438
38.509668,1000,71.656554
38.011833,1000,72.875453
37.473024,1000,73.43909
37.803763,1000,74.640919
37.971843,1000,75.203418
36.862355,1000,75.750121
33.511742,1000,76.954237
32.401139,1000,77.516736
38.388683,1000,78.722162
39.527536,1000,79.284661
37.339062,1000,80.485451
39.473589,1000,81.049155
39.598549,1000,82.265418
37.252946,1000,82.844688
38.824244,1000,84.055723
38.312175,1000,84.609324
39.76472,1000,85.812661
39.481706,1000,86.359635
41.566267,1000,87.587968
40.206818,1000,88.140318
37.249141,1000,89.344565
37.587031,1000,89.906749
41.579849,1000,91.124472
38.351455,1000,91.673034
39.007263,1000,92.890145
39.129346,1000,93.437018
41.065105,1000,94.657444
41.928051,1000,95.219944
39.898662,1000,96.422692
40.99492,1000,96.969711
35.302284,1000,98.18828
40.113371,1000,98.74977
41.227254,1000,99.952597
39.324008,1000,100.499471
42.377324,1000,101.718877
39.03168,1000,102.281375
37.901446,1000,103.484542
39.133692,1000,104.031279
39.879969,1000,105.235558
38.137634,1000,105.796688
40.891877,1000,107.015455
41.603415,1000,107.562327
40.054717,1000,108.766201
41.510424,1000,109.328696
39.947744,1000,110.546694
43.540842,1000,111.09361
41.273952,1000,112.300349
42.209508,1000,112.859905
40.012824,1000,113.391153
40.517148,1000,114.60249
40.843037,1000,115.140779
43.867858,1000,116.345026
42.612676,1000,116.90649
40.582275,1000,118.116838
43.763135,1000,118.655841
42.89372,1000,119.874442
42.341886,1000,120.436942
41.784874,1000,121.641115
41.905284,1000,122.187987
41.865982,1000,123.366462
42.344666,1000,123.907
43.825435,1000,125.125745
45.026886,1000,125.671995
41.708377,1000,126.859534
44.212419,1000,127.422032
40.662582,1000,128.640736
41.043675,1000,129.187611
43.151931,1000,130.390731
44.036299,1000,130.954401
42.565745,1000,132.173073
42.404081,1000,132.719951
42.499522,1000,133.922734
43.268358,1000,134.469607
42.530571,1000,135.688139
42.47851,1000,136.250637
41.74798,1000,137.452714
38.504366,1000,137.985661
44.837598,1000,139.203023
42.876016,1000,139.765184
42.827923,1000,140.969346
43.558994,1000,141.516219
42.622218,1000,142.750191
44.606583,1000,143.317975
43.532364,1000,144.545737
43.808499,1000,145.097703
42.845479,1000,146.312202
44.457459,1000,146.874696
43.276434,1000,148.078471
43.930375,1000,148.641996
43.372334,1000,149.844577
43.231425,1000,150.407074
44.06607,1000,150.954005
45.392855,1000,152.171486
42.747728,1000,152.719364
43.438314,1000,153.937808
41.957236,1000,154.488261
43.998569,1000,155.703009
4.269388,1000,156.265507
44.588993,1000,157.468627
43.729222,1000,158.032518
45.582355,1000,159.233446
43.854322,1000,159.796646
43.597718,1000,161.000448
