loss_kl,loss_ent,loss_vf_loss,loss_pol_entpen,loss_pol_surr,TimestepsSoFar,EpThisIter,EpisodesSoFar,TimeElapsed,EpLenMean,ev_tdlam_before,EpRewMean
0.0117897,2.82824,8.92144,0.0,-0.0238037,2000,2,2,2.0318732261657715,1000.0,-0.00863659381866,15.046533697
0.0131425,2.78958,8.2565,0.0,-0.0301197,4000,2,4,3.781561851501465,1000.0,0.223687112331,12.3881331626
0.0163992,2.77293,6.19738,0.0,-0.0270401,6000,2,6,5.5303635597229,1000.0,0.222126662731,10.7493702691
0.0121447,2.72886,2.8802,0.0,-0.0226654,8000,2,8,7.296950340270996,1000.0,0.359660983086,10.837617433
0.00592342,2.6854,1.11445,0.0,-0.0136317,10000,2,10,9.063270807266235,1000.0,0.660736680031,12.5109899845
0.0128575,2.63277,1.00491,0.0,-0.0181055,12000,2,12,10.84347939491272,1000.0,0.437160849571,13.6895297156
0.00646337,2.59161,0.387263,0.0,-0.011914,14000,2,14,12.625974178314209,1000.0,0.712477147579,15.1265105813
0.00882782,2.57083,0.464275,0.0,-0.0128344,16000,2,16,14.421409606933594,1000.0,0.802409335971,16.3794932583
0.0074465,2.53288,0.299098,0.0,-0.0144633,18000,2,18,16.1875102519989,1000.0,0.881368711591,17.6079641693
0.00932811,2.50542,0.333719,0.0,-0.0176217,20000,2,20,17.96950650215149,1000.0,0.889445193112,18.6310451181
0.00689077,2.46746,0.328637,0.0,-0.0180374,22000,2,22,19.733831882476807,1000.0,0.919995598495,19.6986702543
0.0196495,2.43958,0.187854,0.0,-0.0144262,24000,2,24,21.530937433242798,1000.0,0.940967388451,20.7836113763
0.00821105,2.3883,0.177072,0.0,-0.0194444,26000,2,26,23.29645347595215,1000.0,0.957437451929,21.7918187321
0.0120876,2.36357,0.115813,0.0,-0.0166601,28000,2,28,25.077733278274536,1000.0,0.972274815664,22.4564714488
0.0105857,2.33383,0.102532,0.0,-0.0150196,30000,2,30,26.85939908027649,1000.0,0.965028628707,23.1694598153
0.010905,2.29455,0.0730859,0.0,-0.0123641,32000,2,32,28.64029622077942,1000.0,0.974320819601,23.72661568
0.0130917,2.27701,0.107394,0.0,-0.0201163,34000,2,34,30.484374523162842,1000.0,0.984338296577,24.2369490779
0.00911463,2.26044,0.0568469,0.0,-0.0127763,36000,2,36,32.3133864402771,1000.0,0.969463614747,24.5653143919
0.00995948,2.23068,0.041997,0.0,-0.017356,38000,2,38,34.078290939331055,1000.0,0.984824462794,24.7906506638
0.00853164,2.20833,0.0595018,0.0,-0.017372,40000,2,40,35.87583613395691,1000.0,0.989223436452,25.181730991
