EpRewMean,ev_tdlam_before,TimeElapsed,EpThisIter,loss_pol_entpen,loss_pol_surr,loss_kl,EpisodesSoFar,loss_ent,TimestepsSoFar,EpLenMean,loss_vf_loss
-8.08824891958,-0.00182735919952,2.0165064334869385,2,0.0,-0.0218014,0.010511,2,2.82625,2000,1000.0,5.86457
3.41500912303,0.130351185799,3.7978880405426025,2,0.0,-0.0291762,0.0147231,4,2.78733,4000,1000.0,11.9107
6.20934458095,0.056303858757,5.569758653640747,2,0.0,-0.0186816,0.00958578,6,2.7644,6000,1000.0,5.13234
8.31630624341,0.0896476507187,7.344547510147095,2,0.0,-0.0225968,0.0133508,8,2.72357,8000,1000.0,4.83639
10.3635298546,0.481454014778,9.124924659729004,2,0.0,-0.0210886,0.0122677,10,2.6925,10000,1000.0,1.91298
12.5425046984,0.614037454128,10.938212394714355,2,0.0,-0.0145314,0.00969889,12,2.65252,12000,1000.0,0.959144
13.4508427343,0.868086546659,12.734042167663574,2,0.0,-0.0149184,0.00717126,14,2.61655,14000,1000.0,0.354616
14.0041546266,0.870384767652,14.546620607376099,2,0.0,-0.0137488,0.00701909,16,2.5987,16000,1000.0,0.475603
14.1007074885,0.886829994619,16.344240427017212,2,0.0,-0.0150922,0.0116735,18,2.57989,18000,1000.0,0.368922
14.9456248902,0.927802994847,18.156258821487427,2,0.0,-0.0135453,0.00988442,20,2.55838,20000,1000.0,0.354587
15.4332119247,0.918982021511,19.96957540512085,2,0.0,-0.0176875,0.00913382,22,2.55834,22000,1000.0,0.455559
16.0004938304,0.933853879571,21.781593799591064,2,0.0,-0.0151786,0.00756781,24,2.55407,24000,1000.0,0.374622
15.8107224124,0.891288250685,23.577356815338135,2,0.0,-0.0174954,0.00725895,26,2.551,26000,1000.0,0.654968
16.3413671612,0.931223444641,25.390460729599,2,0.0,-0.0197702,0.0067384,28,2.51093,28000,1000.0,0.365409
16.935101502,0.954741597176,27.202924251556396,2,0.0,-0.0164092,0.0127525,30,2.49945,30000,1000.0,0.183879
17.6204700014,0.965467747301,29.016655445098877,2,0.0,-0.0166295,0.0127709,32,2.45708,32000,1000.0,0.240668
18.6033055182,0.96172086522,30.820003986358643,2,0.0,-0.0201298,0.00997725,34,2.42489,34000,1000.0,0.170438
19.5018050554,0.981061620638,32.64239859580994,2,0.0,-0.0168738,0.0067833,36,2.40786,36000,1000.0,0.116801
20.2739277984,0.983417583629,34.43810486793518,2,0.0,-0.0196727,0.00956672,38,2.39745,38000,1000.0,0.0733889
20.9376051683,0.954114563763,36.264896392822266,2,0.0,-0.0143152,0.0238531,40,2.3732,40000,1000.0,0.0936814
21.9372110477,0.982700169086,38.06353545188904,3,0.0,-0.0199472,0.00931444,43,2.34713,43000,1000.0,0.0525175
22.557027461,0.98478443455,39.89025831222534,2,0.0,-0.0238196,0.0103172,45,2.30625,45000,1000.0,0.0977969
23.1367136976,0.990726609714,41.70349192619324,2,0.0,-0.0156583,0.00665244,47,2.27255,47000,1000.0,0.0314459
23.6968748739,0.992210636381,43.53042483329773,2,0.0,-0.0164227,0.00594312,49,2.25495,49000,1000.0,0.02743
24.0338801204,0.99389026314,45.32790684700012,2,0.0,-0.0177378,0.00851986,51,2.25331,51000,1000.0,0.0289389
24.482471921,0.991258305497,47.15572166442871,2,0.0,-0.0158125,0.0041374,53,2.22723,53000,1000.0,0.0289529
25.0428295215,0.990726691671,48.96791744232178,2,0.0,-0.0159937,0.00680805,55,2.20754,55000,1000.0,0.0293436
25.5127909979,0.994622618426,50.79802203178406,2,0.0,-0.0144314,0.00900306,57,2.19551,57000,1000.0,0.0401079
25.9524089345,0.988063517958,52.608771324157715,2,0.0,-0.0196137,0.00951143,59,2.15885,59000,1000.0,0.0436644
26.4821940704,0.994790330995,54.43712759017944,2,0.0,-0.0115061,0.010785,61,2.14684,61000,1000.0,0.0320521
