loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_ent,EpisodesSoFar,EpThisIter,loss_kl,ev_tdlam_before,EpLenMean
-0.0237096,12.7566614226,2000,0.0,10.2212,1.9999549388885498,2.81732,2,2,0.0114521,0.0323303937912,1000.0
-0.0202311,11.6459950992,4000,0.0,10.9116,3.734293222427368,2.80833,4,2,0.0115148,0.191901028156,1000.0
-0.021114,8.84590198538,6000,0.0,6.17236,5.46825098991394,2.76109,6,2,0.0101768,0.225254654884,1000.0
-0.0193969,11.2684857031,8000,0.0,2.72277,7.218345880508423,2.74748,8,2,0.0124419,0.350026965141,1000.0
-0.0164696,13.3532819652,10000,0.0,1.22359,8.968628883361816,2.71964,10,2,0.0102352,0.652352452278,1000.0
-0.0154155,14.9285004483,12000,0.0,0.875566,10.734404563903809,2.69841,12,2,0.00988627,0.515450954437,1000.0
-0.0165505,16.1953149399,14000,0.0,0.558058,12.500961065292358,2.67473,14,2,0.00767698,0.782849445939,1000.0
-0.0122668,17.0938773085,16000,0.0,0.499405,14.281350374221802,2.67291,16,2,0.00574274,0.81144168973,1000.0
-0.0147641,17.5365399034,18000,0.0,0.542068,16.04617404937744,2.64505,18,2,0.0102635,0.851581424475,1000.0
-0.0172883,18.0934480569,20000,0.0,0.248766,17.82754611968994,2.61414,20,2,0.011574,0.927823960781,1000.0
-0.0195854,18.8173180257,22000,0.0,0.509509,19.59315323829651,2.5763,22,2,0.0109153,0.881337478757,1000.0
-0.0166005,19.7330691084,24000,0.0,0.351071,21.35899829864502,2.54792,24,2,0.00710192,0.911530017853,1000.0
-0.0194554,20.7304018199,26000,0.0,0.237088,23.141249656677246,2.5154,26,2,0.012235,0.938286226243,1000.0
-0.01716,21.6022474216,28000,0.0,0.242867,24.907111406326294,2.5147,28,2,0.00759765,0.950771383941,1000.0
-0.0147804,22.2398131783,30000,0.0,0.148706,26.687554597854614,2.50778,30,2,0.00746447,0.960989892483,1000.0
-0.0172467,22.6280157133,32000,0.0,0.263245,28.47607660293579,2.50644,32,2,0.00907576,0.953187353909,1000.0
-0.011195,23.2161704785,34000,0.0,0.106944,30.249788522720337,2.47933,34,2,0.00751549,0.929204940796,1000.0
-0.0196334,23.7579366354,36000,0.0,0.128475,32.01629853248596,2.43214,36,2,0.00622836,0.967214372009,1000.0
-0.0160284,24.3168973202,38000,0.0,0.105215,33.78066325187683,2.45009,38,2,0.00675818,0.972878681496,1000.0
-0.0199587,24.7834544881,40000,0.0,0.0843439,35.5622284412384,2.40887,40,2,0.00599753,0.983456749469,1000.0
-0.0191719,25.2213131521,43000,0.0,0.222936,37.32828402519226,2.41374,43,3,0.0105563,0.960946895182,1000.0
-0.0231424,25.6466177392,45000,0.0,0.120512,39.09388017654419,2.3731,45,2,0.00812856,0.978846490383,1000.0
-0.0141525,26.0816257301,47000,0.0,0.0427834,40.88974905014038,2.33362,47,2,0.00592405,0.989847505465,1000.0
