loss_pol_entpen,EpisodesSoFar,loss_pol_surr,EpRewMean,EpThisIter,ev_tdlam_before,TimeElapsed,EpLenMean,loss_kl,TimestepsSoFar,loss_ent,loss_vf_loss
0.0,2,-0.0255019,1.49459564826,2,-0.250052690506,2.0351712703704834,1000.0,0.0129387,2000,2.846,7.78332
0.0,4,-0.0223954,10.8634705952,2,0.213694453239,3.776121139526367,1000.0,0.0101743,4000,2.83119,9.87216
0.0,6,-0.0164539,16.6586066305,2,0.0644965171814,5.5168328285217285,1000.0,0.0103466,6000,2.79255,7.66623
0.0,8,-0.0201527,16.6430737341,2,0.146166920662,7.265543699264526,1000.0,0.0111801,8000,2.75565,3.41079
0.0,10,-0.0180822,18.107800042,2,0.275846540928,9.016846656799316,1000.0,0.00977614,10000,2.72164,1.37643
0.0,12,-0.0144436,19.568419534,2,0.630653202534,10.781425952911377,1000.0,0.00675327,12000,2.70162,0.869398
0.0,14,-0.0165712,20.3709941482,2,0.716243624687,12.547219514846802,1000.0,0.0105196,14000,2.66514,0.460165
0.0,16,-0.0133569,20.9245669304,2,0.772729173303,14.328698635101318,1000.0,0.0123932,16000,2.65635,0.448634
0.0,18,-0.0127435,21.5849270639,2,0.823764026165,16.094791889190674,1000.0,0.00875662,18000,2.64032,0.608081
0.0,20,-0.0153987,22.5815963364,2,0.867870524526,17.86117672920227,1000.0,0.006367,20000,2.58802,0.459915
0.0,22,-0.0170182,23.5959529375,2,0.8692702353,19.624890327453613,1000.0,0.00696448,22000,2.55172,0.560354
0.0,24,-0.0172014,24.5166949714,2,0.94297317788,21.39223003387451,1000.0,0.00744191,24000,2.5205,0.341597
0.0,26,-0.0179117,25.2568425553,2,0.966661386192,23.157862663269043,1000.0,0.00689874,26000,2.47382,0.220731
0.0,28,-0.0143528,25.926120109,2,0.953564524651,24.90735173225403,1000.0,0.0141376,28000,2.43499,0.253669
0.0,30,-0.0269669,26.2078527047,2,0.954228993505,26.67282509803772,1000.0,0.0244106,30000,2.41413,0.272431
0.0,32,-0.0190673,27.1104313854,2,0.966192826629,28.439330577850342,1000.0,0.00862543,32000,2.37884,0.129286
0.0,34,-0.0137614,27.4819924504,2,0.979009209201,30.204641342163086,1000.0,0.00574806,34000,2.32016,0.0770903
0.0,36,-0.011481,27.870157979,2,0.993123288266,31.98445224761963,1000.0,0.00433858,36000,2.30369,0.0488141
0.0,38,-0.0157665,28.1775588231,2,0.976938687265,33.751760959625244,1000.0,0.00940047,38000,2.28614,0.0862785
0.0,40,-0.0196886,28.6393629975,2,0.964575387537,35.53172159194946,1000.0,0.019769,40000,2.30152,0.152
0.0,43,-0.0107172,29.0587606653,3,0.993520013522,37.29836559295654,1000.0,0.00550428,43000,2.26502,0.0326861
0.0,45,-0.0162953,29.4543154705,2,0.983806353062,39.07862448692322,1000.0,0.0111451,45000,2.27353,0.102471
0.0,47,-0.0146074,29.6770182184,2,0.990358146839,40.843589544296265,1000.0,0.00693806,47000,2.24186,0.0491418
0.0,49,-0.0136501,29.8553337545,2,0.992136967368,42.625678300857544,1000.0,0.00483285,49000,2.2029,0.042476
0.0,51,-0.0137234,30.0355897809,2,0.993784538005,44.407928466796875,1000.0,0.00593778,51000,2.15724,0.0434452
0.0,53,-0.0106534,30.3162354652,2,0.985311130993,46.187920570373535,1000.0,0.0056914,53000,2.12726,0.0268728
0.0,55,-0.014083,30.5333077904,2,0.994978971779,47.94940185546875,1000.0,0.00736397,55000,2.0639,0.021589
0.0,57,-0.0188875,30.7051562914,2,0.991774484515,49.736037492752075,1000.0,0.0106201,57000,2.00694,0.0366112
0.0,59,-0.0148129,30.9983151975,2,0.994536721613,51.516348361968994,1000.0,0.0090607,59000,1.99861,0.0294191
0.0,61,-0.00975998,31.2286797208,2,0.991260921583,53.29739022254944,1000.0,0.00609749,61000,1.99529,0.0186947
0.0,63,-0.0108121,31.4499527342,2,0.993229317944,55.063042640686035,1000.0,0.00914843,63000,1.96134,0.0269246
0.0,65,-0.0144279,31.6844683468,2,0.992547816131,56.84614133834839,1000.0,0.00897831,65000,1.95676,0.0242663
0.0,67,-0.0102438,31.8805440386,2,0.996500690002,58.626225233078,1000.0,0.00368834,67000,1.94963,0.0157617
0.0,69,-0.0129454,31.9307827234,2,0.996335956501,60.40619993209839,1000.0,0.00500202,69000,1.93986,0.0250793
0.0,71,-0.0129517,32.1377587454,2,0.993396514095,62.18898391723633,1000.0,0.0049272,71000,1.91103,0.0206562
0.0,73,-0.0131873,32.3003181529,2,0.996592754731,63.96910500526428,1000.0,0.00399135,73000,1.88244,0.0143046
0.0,75,-0.0155312,32.4895898334,2,0.996159372386,65.73553514480591,1000.0,0.0108507,75000,1.87794,0.0192609
0.0,77,-0.0176265,32.6851854582,2,0.995603512041,67.51672220230103,1000.0,0.00528729,77000,1.87366,0.0282032
0.0,79,-0.0141693,32.8921702144,2,0.996129262028,69.28114748001099,1000.0,0.00407468,79000,1.86488,0.0247483
0.0,81,-0.0214171,33.0672205616,2,0.996063779574,71.06241083145142,1000.0,0.0110556,81000,1.84936,0.0182191
0.0,83,-0.0102177,33.232978329,2,0.995813096408,72.8486762046814,1000.0,0.0107311,83000,1.80592,0.0209148
0.0,86,-0.0163926,33.4378623906,3,0.998281202163,74.6248505115509,1000.0,0.011796,86000,1.79422,0.0118266
0.0,88,-0.0156079,33.5498212425,2,0.997870210093,76.3909478187561,1000.0,0.00861166,88000,1.77417,0.012013
0.0,90,-0.0122204,33.6847462011,2,0.996095639188,78.18748879432678,1000.0,0.00904066,90000,1.74161,0.0247283
0.0,92,-0.0129571,33.8254455878,2,0.997973262798,79.93853712081909,1000.0,0.00726684,92000,1.70913,0.00885973
0.0,94,-0.0167759,33.9960253374,2,0.995576323476,81.71968603134155,1000.0,0.00918711,94000,1.70497,0.0182748
0.0,96,-0.0144915,34.1429595185,2,0.997715692734,83.50062990188599,1000.0,0.00575314,96000,1.69312,0.0157998
0.0,98,-0.0107903,34.2806425084,2,0.996895910241,85.28251695632935,1000.0,0.00683376,98000,1.69308,0.0166466
0.0,100,-0.015524,34.4518838291,2,0.997804276878,87.0471498966217,1000.0,0.0113615,100000,1.67824,0.0185476
0.0,102,-0.0172746,35.2200461982,2,0.997002963675,88.82814049720764,1000.0,0.0105104,102000,1.65058,0.0218714
0.0,104,-0.016784,35.6287548973,2,0.997105873888,90.73612403869629,1000.0,0.0124404,104000,1.62315,0.0163702
0.0,106,-0.0106475,35.9125195496,2,0.994926479645,92.51576638221741,1000.0,0.00583783,106000,1.61355,0.0146405
