EpisodesSoFar,loss_vf_loss,EpRewMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,TimeElapsed,loss_ent,loss_pol_surr,EpLenMean,loss_kl,ev_tdlam_before
108,7.10153,0.0476389131431,0.0,108,2046,2.4552218914031982,8.46774,-0.0456543,18.88,0.0174793,-0.0161149501801
207,13.4671,2.02921343079,0.0,99,4090,4.618029356002808,8.40289,-0.0506061,20.67,0.024207,0.246182858944
281,13.9959,5.33928896347,0.0,74,6129,6.80527400970459,8.32527,-0.0486354,25.34,0.0215867,0.312191367149
338,26.9692,11.0681354882,0.0,57,8168,8.980249881744385,8.26251,-0.0497786,31.75,0.0215352,0.315229833126
376,77.408,21.7812693932,0.0,38,10223,11.113410949707031,8.20995,-0.0448778,41.96,0.0154764,0.437986016273
397,75.0491,30.5127702193,0.0,21,12263,13.281483173370361,8.14502,-0.0418151,55.09,0.0149151,0.680578738451
412,92.8411,46.4852850396,0.0,15,14302,15.431039333343506,8.12788,-0.040813,70.25,0.0130398,0.700274378061
427,128.168,62.5580841154,0.0,15,16376,17.60498332977295,8.11644,-0.0396562,85.54,0.013504,0.732534527779
438,109.11,75.3218810645,0.0,11,18114,19.75028896331787,8.11641,-0.0365545,99.46,0.0120971,0.77900904417
450,96.7121,91.8178594434,0.0,12,20425,21.899073123931885,8.10151,-0.0420594,113.65,0.0124447,0.783183798194
460,98.2673,110.906499083,0.0,10,22447,24.055366039276123,8.08063,-0.0354967,128.73,0.0121967,0.810727462173
470,82.3403,135.753967838,0.0,10,24456,26.230437517166138,8.04065,-0.0367231,144.78,0.0115457,0.804811298847
481,95.6641,158.531099612,0.0,11,26501,28.40744161605835,8.06338,-0.0388158,159.27,0.0130717,0.86321786046
488,85.9656,180.90972926,0.0,7,28560,30.549183130264282,7.9917,-0.0409189,171.37,0.0136742,0.771504282951
496,78.6805,198.843251508,0.0,8,30605,32.71216654777527,8.01219,-0.036605,184.82,0.0125655,0.848697945476
507,67.6854,213.837829151,0.0,11,32447,34.8851637840271,8.02013,-0.0321532,190.19,0.00988573,0.903487458825
518,51.8435,227.816208167,0.0,11,34759,37.07127594947815,8.03793,-0.0388507,195.31,0.0114559,0.882309772074
529,29.362,246.554281394,0.0,11,36819,39.23276925086975,8.05329,-0.0389676,202.02,0.0125632,0.917865484953
538,43.239,263.076973477,0.0,9,38843,41.38382053375244,8.07063,-0.0352326,207.29,0.0111161,0.901034027338
550,54.0858,267.088576655,0.0,12,40887,43.558411598205566,8.00142,-0.0415721,204.62,0.0148949,0.910778418183
561,35.9917,275.870875082,0.0,11,42934,45.71902799606323,7.97715,-0.0410581,203.18,0.0140441,0.920939587057
571,41.8582,277.204928742,0.0,10,44967,47.93107795715332,7.97656,-0.0378282,202.43,0.0108669,0.924260288477
582,44.9467,275.945060149,0.0,11,47038,50.08715796470642,7.93619,-0.0373651,201.65,0.0136777,0.951686143875
594,32.0118,273.528882938,0.0,12,49110,52.24304270744324,7.92537,-0.0426478,189.29,0.013992,0.942489795387
604,22.6502,285.155544437,0.0,10,51062,54.39967656135559,7.95413,-0.0435726,190.76,0.0115299,0.953533709049
616,31.467,285.809680778,0.0,12,53021,56.57133674621582,7.90543,-0.0476082,187.32,0.0139681,0.947664562613
628,38.9916,288.185837038,0.0,12,55107,58.742942571640015,7.85994,-0.0437077,184.44,0.0105821,0.938378807157
640,21.163,291.140592216,0.0,12,57337,60.884010553359985,7.84462,-0.0434866,181.2,0.0107153,0.967361818999
650,19.7342,302.007001147,0.0,10,59342,63.06283497810364,7.79838,-0.0477434,184.55,0.014387,0.965584628284
662,32.4187,304.979123975,0.0,12,61395,65.22054409980774,7.78273,-0.0418701,182.7,0.0126146,0.950888287276
