loss_pol_surr,TimeElapsed,EpRewMean,loss_vf_loss,loss_ent,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpThisIter,EpLenMean
-0.0482508,2.359243869781494,-0.325185626975,7.4606,8.48268,2046,0.021291,111,0.0,0.0482568740845,111,18.63
-0.0547428,4.4240405559539795,2.49392782101,7.69813,8.42558,4088,0.0230235,213,0.0,0.149961054325,102,19.95
-0.0513607,6.461094617843628,6.0900212297,17.2889,8.35753,6138,0.023722,285,0.0,0.26742041111,72,25.96
-0.0474032,8.492698192596436,13.0587614155,30.3079,8.29114,8187,0.017751,337,0.0,0.409124314785,52,34.44
-0.0437922,10.54645323753357,22.8736547769,60.3319,8.24756,10216,0.0161003,365,0.0,0.478164970875,28,46.2
-0.0462518,12.609330892562866,36.474151575,84.6059,8.20747,12235,0.0192136,387,0.0,0.528863102198,22,60.5
-0.0412231,14.659971237182617,48.0875615286,105.57,8.169,14246,0.0132517,399,0.0,0.706733584404,12,75.83
-0.0424951,16.710113763809204,66.8013467349,96.3572,8.16121,16324,0.0114871,412,0.0,0.668523490429,13,91.04
-0.0364657,18.753082036972046,88.4998621095,93.2832,8.13968,18360,0.010355,421,0.0,0.732994824648,9,108.37
-0.0396559,20.795233249664307,108.539914675,102.931,8.10767,20231,0.0128059,432,0.0,0.7846224159,11,123.29
-0.0321267,22.859100103378296,129.4804529,107.944,8.05832,22426,0.0113952,439,0.0,0.795002654195,7,140.94
-0.0390119,24.92193865776062,150.958376385,71.6004,8.02397,24380,0.0136265,450,0.0,0.755933687091,11,151.9
-0.0348213,26.969148874282837,163.71722591,105.086,8.00233,26483,0.0128375,456,0.0,0.832213327289,6,167.5
-0.0401018,29.018405437469482,186.840371181,72.5303,8.02257,28480,0.0127814,465,0.0,0.84624376893,9,182.64
-0.0371414,31.053424835205078,208.134005778,75.891,8.03049,30666,0.0119697,473,0.0,0.781899347901,8,197.64
-0.0408884,33.10203838348389,227.528803594,55.2137,8.02402,32548,0.0132304,484,0.0,0.862774074078,11,205.27
-0.0345963,35.164268255233765,244.855846107,51.4497,7.98652,34549,0.0105563,493,0.0,0.867971122265,9,213.23
-0.0392119,37.21146011352539,266.616556803,30.03,8.00723,36683,0.0131654,503,0.0,0.897428579628,10,217.88
-0.0414044,39.266950607299805,278.608232452,72.2899,7.96997,38651,0.0139401,512,0.0,0.847408458591,9,223.27
-0.0438756,41.32755780220032,284.25170805,50.3118,7.91923,40785,0.0145653,524,0.0,0.916126921773,12,221.29
-0.0396491,43.39060091972351,285.596238878,44.3622,7.90086,42801,0.0124518,535,0.0,0.92360752821,11,213.78
-0.0417054,45.45329427719116,282.341281997,42.8258,7.86868,44894,0.0149182,545,0.0,0.942805033177,10,213.28
-0.0371276,47.51520276069641,287.027972524,36.0884,7.85932,46725,0.0109618,555,0.0,0.919789865613,10,204.72
-0.0400059,49.57769799232483,282.608767191,25.2081,7.79585,49049,0.0150788,568,0.0,0.959071591496,13,197.42
-0.0385215,51.64067769050598,285.914254408,15.8988,7.75319,51167,0.0124619,578,0.0,0.966394968331,10,195.34
-0.0419264,53.71127223968506,284.914826353,11.0541,7.71741,53244,0.0107176,591,0.0,0.981718268245,13,190.75
-0.0367002,55.77307438850403,276.339352577,12.5797,7.70615,55265,0.0108243,604,0.0,0.981746528298,13,181.81
-0.035422,57.831504821777344,277.255629858,15.7758,7.70462,57237,0.0126413,615,0.0,0.952725242823,11,179.51
-0.0412431,59.91472315788269,275.782024363,30.299,7.66694,59241,0.0121122,626,0.0,0.94687404111,11,179.95
-0.0371286,61.98450827598572,281.568091676,19.1827,7.65416,61354,0.0120071,637,0.0,0.952901810408,11,179.69
-0.0452614,64.03104853630066,279.518786597,16.7034,7.63432,63364,0.0139794,649,0.0,0.971227711067,12,176.7
-0.0448309,66.07787466049194,280.154109458,13.5932,7.62275,65445,0.0117263,661,0.0,0.973842851818,12,174.06
-0.0410163,68.15575242042542,282.912971704,13.3365,7.59276,67560,0.013487,673,0.0,0.978313207626,12,174.42
-0.0413515,70.2185959815979,286.161195647,18.0597,7.57061,69501,0.0122718,683,0.0,0.959836158901,10,176.46
-0.0468678,72.26530718803406,290.648672344,17.1705,7.54772,71638,0.0142118,695,0.0,0.968289699405,12,177.92
-0.0431796,74.34324741363525,292.65995874,18.5344,7.57429,73622,0.015108,707,0.0,0.956430975348,12,177.54
-0.034693,76.40760016441345,294.055238786,21.1808,7.60289,75721,0.013113,719,0.0,0.963620595634,12,178.31
-0.0430044,78.46143198013306,305.673871883,18.6991,7.62169,77730,0.0119655,729,0.0,0.965005561709,10,180.06
-0.045907,80.56314158439636,306.494548692,31.6369,7.5934,79728,0.0147425,740,0.0,0.94821279496,11,177.63
-0.0491261,82.62487697601318,310.999815124,30.8278,7.625,81591,0.0149832,751,0.0,0.965832062066,11,179.22
-0.0502948,84.68773341178894,319.966449645,17.0688,7.57035,83901,0.0120947,762,0.0,0.961993515491,11,182.52
-0.0464055,86.75598764419556,323.441958001,24.0417,7.54469,85960,0.014137,774,0.0,0.957162760198,12,182.93
-0.0476215,88.82059335708618,330.761760866,13.0541,7.51285,87998,0.0118949,783,0.0,0.973034873605,9,184.97
-0.0501429,90.89260840415955,332.989960623,15.416,7.47458,90074,0.0125375,795,0.0,0.977883856744,12,184.36
-0.0486788,92.95661807060242,338.6046393,15.4625,7.43103,92055,0.0143195,807,0.0,0.979583822191,12,184.33
-0.0488014,95.023854970932,341.975616593,13.2864,7.44347,94206,0.0113616,820,0.0,0.981233747676,13,183.36
-0.0473881,97.0860276222229,339.04375,18.1326,7.39102,96146,0.0119338,832,0.0,0.976540163159,12,178.65
-0.0524653,99.13343644142151,343.908448985,20.4737,7.3719,98173,0.0130219,844,0.0,0.966711111367,12,177.56
-0.0525992,101.20347833633423,346.569113031,12.6375,7.30818,100249,0.0146923,855,0.0,0.977723767981,11,176.87
-0.0523564,103.26818060874939,348.740907108,14.667,7.2886,102331,0.0156036,867,0.0,0.976720193401,12,176.96
-0.0541217,105.32076954841614,345.104752926,19.9886,7.25972,104287,0.0125003,879,0.0,0.971690842882,12,171.73
-0.0539041,107.37444472312927,343.022813297,13.0107,7.22522,106489,0.0139574,892,0.0,0.985885606147,13,168.86
-0.0504596,109.43967890739441,346.841077863,13.5759,7.18768,108441,0.0127072,904,0.0,0.983400734141,12,168.51
-0.0504086,111.50835824012756,352.88470884,14.0914,7.15835,110458,0.0121236,916,0.0,0.985258127563,12,169.61
-0.0557192,113.56463599205017,354.987686449,21.6819,7.10838,112609,0.0144023,930,0.0,0.977373408154,14,168.36
-0.051366,115.64881706237793,358.377291811,20.0266,7.0916,114677,0.0139335,942,0.0,0.976054633036,12,168.26
-0.0499861,117.72705602645874,357.113352471,16.2575,7.09003,116591,0.0119519,953,0.0,0.978131273761,11,166.16
-0.0566348,119.78964042663574,359.520418768,21.6319,7.05753,118746,0.014781,966,0.0,0.974377442151,13,165.83
-0.0506503,121.84349179267883,364.199536956,20.0219,7.03604,120716,0.0114401,978,0.0,0.970760121942,12,165.72
-0.051977,123.92143487930298,369.955127586,16.6195,7.02927,122720,0.0159659,990,0.0,0.981946321204,12,166.02
-0.0500277,125.99227476119995,375.91147851,12.6113,6.97294,124870,0.0147585,1002,0.0,0.984299235046,12,167.85
-0.0543582,128.06250596046448,379.833784038,23.0772,6.92505,126962,0.0143642,1014,0.0,0.971454465762,12,168.81
-0.0553179,130.1254255771637,385.33778475,21.1639,6.9459,128903,0.0147045,1025,0.0,0.97945952788,11,170.08
-0.0595376,132.17432117462158,390.568698573,42.4429,6.88585,131072,0.0135041,1038,0.0,0.949727948755,13,170.46
-0.0565803,134.2409393787384,395.673972856,29.6984,6.88649,133066,0.0132325,1049,0.0,0.970442695543,11,171.4
-0.0552782,136.3035168647766,399.06667132,36.9552,6.83944,135136,0.0158459,1061,0.0,0.952817820013,12,171.45
-0.0577356,138.35937404632568,405.874835066,28.3006,6.80045,137057,0.0166147,1072,0.0,0.96941979602,11,172.75
-0.0569288,140.42286348342896,416.116280772,31.2347,6.75865,139172,0.01417,1083,0.0,0.956739667803,11,176.19
-0.062202,142.47714734077454,429.44652296,55.3833,6.70368,141166,0.0167589,1093,0.0,0.921724118292,10,179.64
-0.0599799,144.53144025802612,429.990954497,59.6799,6.66514,143223,0.0165488,1105,0.0,0.940206617117,12,177.93
-0.060803,146.5941014289856,431.390256712,43.1255,6.63175,145364,0.0172496,1118,0.0,0.965415760875,13,176.68
-0.0536385,148.6588134765625,442.248318875,73.6024,6.56946,147451,0.017037,1129,0.0,0.943688128144,11,178.77
-0.0581478,150.72571444511414,454.077740688,78.8454,6.54818,149431,0.0177768,1140,0.0,0.939580909908,11,180.62
-0.058793,152.77338337898254,468.089318817,113.347,6.58176,151528,0.0187626,1150,0.0,0.918795056641,10,182.88
-0.0612675,154.85155606269836,482.899884643,97.2691,6.5464,153572,0.0160061,1160,0.0,0.932877466083,10,185.86
-0.0636927,156.944171667099,501.120831687,80.1949,6.49528,155549,0.0205577,1169,0.0,0.944360826164,9,189.71
-0.061416,159.02360486984253,513.392873735,82.5848,6.44841,157635,0.0157747,1179,0.0,0.935320317745,10,191.73
-0.0535217,161.11712861061096,514.560824913,106.431,6.44932,159710,0.0164501,1190,0.0,0.912925511599,11,191.3
-0.0577056,163.19127416610718,538.451153825,122.797,6.45082,161710,0.0184276,1198,0.0,0.922773890197,8,197.06
-0.0587837,165.28082609176636,557.9479197,99.7356,6.44656,163744,0.0193365,1207,0.0,0.942466825247,9,201.56
-0.0633532,167.34340643882751,579.094113073,118.037,6.44732,165629,0.0166619,1215,0.0,0.938080258667,8,207.1
-0.0592288,169.43139958381653,596.627202655,120.045,6.43053,167664,0.0166841,1224,0.0,0.949808325619,9,211.73
-0.0626697,171.50032591819763,628.539080163,94.6395,6.39163,169930,0.018163,1232,0.0,0.913592226803,8,219.75
-0.0627746,173.55491042137146,651.683917124,64.1141,6.35208,172008,0.0183384,1240,0.0,0.952806904912,8,225.77
-0.0622446,175.61672973632812,661.754041902,139.106,6.35903,173897,0.0186763,1248,0.0,0.925094179809,8,227.94
-0.0641098,177.64808297157288,676.01299005,153.119,6.30812,175803,0.0194016,1256,0.0,0.91900973022,8,230.51
-0.0643468,179.69413328170776,701.270439633,113.963,6.29574,178113,0.0203145,1264,0.0,0.947508860379,8,236.85
-0.0576962,181.72671341896057,725.093326332,107.595,6.25963,180075,0.013909,1270,0.0,0.950078066438,6,243.08
-0.0589121,183.77485346794128,744.554633297,158.778,6.26576,182137,0.0186891,1277,0.0,0.909615755081,7,249.36
-0.0609023,185.82812190055847,771.866199955,134.727,6.25282,184117,0.0227477,1283,0.0,0.924637272954,6,256.04
-0.0660944,187.8903911113739,811.99860032,112.559,6.26027,186287,0.0210544,1290,0.0,0.931305646896,7,265.77
-0.0603074,189.95280361175537,825.071703246,111.199,6.23105,188336,0.0198092,1297,0.0,0.945464607328,7,268.61
-0.0652399,191.9838149547577,844.19639565,149.473,6.15892,190315,0.0200855,1304,0.0,0.937906507403,7,273.42
-0.063546,194.04718732833862,856.399615731,114.014,6.16015,192266,0.0178638,1310,0.0,0.936296775937,6,276.12
-0.0670192,196.097421169281,894.456749105,160.14,6.16529,194509,0.017365,1316,0.0,0.938105620444,6,285.71
-0.0573314,198.1387128829956,909.806345225,171.494,6.18385,196443,0.0168638,1323,0.0,0.932379797101,7,289.92
-0.0593034,200.18743515014648,932.670108838,180.02,6.16092,198425,0.0233178,1328,0.0,0.900313407183,5,295.31
-0.0633751,202.21902298927307,969.349217537,156.154,6.10936,200523,0.0203658,1333,0.0,0.917627803981,5,303.61
-0.0588107,204.267915725708,985.724910323,96.3834,6.05887,202598,0.0201079,1339,0.0,0.932852402329,6,308.13
-0.058736,206.30523443222046,1018.50076394,227.709,6.07976,204781,0.018491,1345,0.0,0.927600704134,6,315.59
-0.059407,208.35957264900208,1044.96317741,176.523,6.06226,206710,0.0191436,1350,0.0,0.945289306343,5,321.62
-0.0601296,210.4068033695221,1074.36167887,151.361,6.06012,208458,0.0226963,1355,0.0,0.947806589305,5,328.56
-0.0625358,212.46151208877563,1112.36993709,95.6196,6.02309,210814,0.0221443,1360,0.0,0.963312208652,5,337.51
-0.0522535,214.50123000144958,1151.44325818,152.782,5.99904,212923,0.0205334,1365,0.0,0.920255921781,5,346.08
-0.058653,216.52386093139648,1177.31963564,210.496,5.99979,214799,0.0209934,1369,0.0,0.902885489166,4,351.54
-0.0548983,218.58584332466125,1191.77811666,198.559,6.01658,216526,0.0213235,1373,0.0,0.926749028265,4,354.18
-0.0585198,220.6178913116455,1234.23425521,146.807,6.01043,218726,0.0179537,1378,0.0,0.957891069353,5,363.02
-0.0616986,222.68892765045166,1248.50000996,115.831,5.98446,220990,0.0200771,1384,0.0,0.959467589855,6,365.44
-0.060526,224.72237944602966,1298.10277247,112.369,6.01446,222946,0.0216697,1387,0.0,0.939595900476,3,377.38
-0.0608588,226.77358984947205,1314.59425828,185.796,5.98381,225240,0.0187426,1393,0.0,0.912014871836,6,381.18
-0.0618027,228.82030177116394,1346.2389191,153.628,5.91577,227148,0.0260298,1397,0.0,0.940239109099,4,388.12
-0.0655554,230.85177946090698,1387.76005043,171.818,5.84531,229171,0.022816,1401,0.0,0.924844615161,4,398.45
-0.0475816,232.89841103553772,1429.39927436,587.694,5.80101,231188,0.0179865,1404,0.0,0.793225929141,3,408.73
-0.0577293,234.94557356834412,1455.86867494,143.456,5.74178,233335,0.0222904,1409,0.0,0.915714479983,5,413.96
-0.0577818,237.00322103500366,1461.72861856,112.61,5.71739,235018,0.0202366,1413,0.0,0.944498263299,4,413.84
-0.0481525,239.03918385505676,1506.34107703,619.314,5.68779,237523,0.0181792,1418,0.0,0.882447011769,5,425.28
-0.0622475,241.08580207824707,1528.74091871,201.187,5.62273,239231,0.0218591,1422,0.0,0.916326910257,4,430.04
-0.0599088,243.13305377960205,1568.54009286,146.521,5.58099,241305,0.0219484,1425,0.0,0.936926431954,3,439.39
-0.0609839,245.19430112838745,1592.51085526,230.248,5.53982,243571,0.0261815,1430,0.0,0.923466198146,5,444.17
-0.0630422,247.24220275878906,1605.14234904,139.213,5.55393,245169,0.0234145,1433,0.0,0.884922459722,3,446.46
-0.0632992,249.28778433799744,1638.48541159,164.29,5.52453,247256,0.0194204,1437,0.0,0.920211181045,4,453.78
-0.058616,251.35903334617615,1675.16131744,136.553,5.49811,249612,0.0214211,1441,0.0,0.925931073725,4,461.58
-0.0615738,253.37544536590576,1684.3221715,192.743,5.51645,251874,0.0237645,1447,0.0,0.92861969769,6,463.97
-0.0433096,255.42213439941406,1718.61455471,171.173,5.51783,253621,0.0206449,1449,0.0,0.847986787558,2,471.69
-0.0633624,257.4727544784546,1755.54988186,178.523,5.49417,255843,0.0243129,1453,0.0,0.929831214249,4,479.97
-0.0588367,259.5153167247772,1786.38247984,86.0683,5.47861,257679,0.0192647,1456,0.0,0.956728413701,3,486.78
-0.0580297,261.5780785083771,1816.65600553,105.425,5.43936,260046,0.0237986,1460,0.0,0.964858911932,4,492.32
-0.0608393,263.6246590614319,1832.0258375,150.258,5.43872,261991,0.0287445,1464,0.0,0.940835159272,4,495.33
-0.0453578,265.6713864803314,1876.441775,473.508,5.43284,264046,0.0237216,1467,0.0,0.834915027022,3,503.94
-0.055142,267.7115035057068,1889.24092461,113.541,5.44865,265789,0.0256963,1470,0.0,0.935631580651,3,506.52
-0.060123,269.758109331131,1908.97934121,264.974,5.41202,268126,0.0227366,1474,0.0,0.894852332771,4,509.98
-0.056095,271.804566860199,1939.03648772,226.072,5.39177,270293,0.0244763,1478,0.0,0.935311198235,4,515.67
-0.0567173,273.8516159057617,1963.3901506,163.902,5.36174,271983,0.0238793,1481,0.0,0.914941884577,3,520.45
-0.0559693,275.8819212913513,2026.48543912,164.68,5.32193,273979,0.0248748,1483,0.0,0.906683139503,2,533.66
