loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen
8.51105,112,2.3321752548217773,112,6.57592,-0.0131466388702,0.0153795,18.28,-0.0427891,-1.0066171099,2035,0.0
8.49324,214,4.413772106170654,102,8.55363,0.237896740437,0.0211243,20.22,-0.0469955,1.85039960358,4091,0.0
8.44683,288,6.478161334991455,74,15.6885,0.248357117176,0.0204548,25.44,-0.04956,5.89196867482,6142,0.0
8.40286,336,8.53083610534668,48,28.6266,0.395075380802,0.019966,33.26,-0.0476726,10.2926085134,8134,0.0
8.37358,368,10.562366724014282,32,65.9826,0.502572804689,0.0162527,45.2,-0.0448844,20.8418531707,10196,0.0
8.323,392,12.609302997589111,24,59.0297,0.631363481283,0.0167386,59.75,-0.0456578,31.5269812729,12266,0.0
8.35555,405,14.656275510787964,13,89.3374,0.635276973248,0.0150521,75.05,-0.0430188,48.2283253458,14315,0.0
8.36229,418,16.712461233139038,13,111.721,0.682753354311,0.012115,86.52,-0.0397145,66.2050869342,16249,0.0
8.35539,428,18.75994372367859,10,117.025,0.774502500892,0.0132399,104.99,-0.0383808,81.7190511124,18364,0.0
8.34116,439,20.807135581970215,11,82.5445,0.794522836804,0.0147192,121.37,-0.0412954,104.005134597,20422,0.0
8.30235,450,22.8509521484375,11,106.134,0.749731838703,0.0131404,131.89,-0.0388416,120.915113179,22353,0.0
8.33634,462,24.88264560699463,12,100.037,0.858803853393,0.0113395,147.78,-0.0366875,143.653737029,24568,0.0
8.31767,471,26.916690826416016,9,88.1744,0.851930901408,0.011453,160.33,-0.0384549,161.328142329,26529,0.0
8.26365,480,28.954046964645386,9,67.1068,0.825752168894,0.0114303,174.7,-0.0387021,186.835153592,28561,0.0
8.2428,492,30.991716623306274,12,83.406,0.854604765773,0.0144592,184.38,-0.043726,206.015442863,30704,0.0
