EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_pol_entpen,loss_pol_surr,loss_vf_loss,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,loss_kl,EpRewMean
111,0.00787174701691,111,0.0,-0.0425064,6.31105,17.96,8.52605,2044,2.3436222076416016,0.0177444,-0.668632755543
204,0.246169447899,93,0.0,-0.0520394,10.6412,21.63,8.46801,4088,4.390202522277832,0.0211824,2.25207393385
282,0.306656658649,78,0.0,-0.0504151,15.152,25.27,8.38118,6140,6.459887981414795,0.0195772,5.85044872507
340,0.313913762569,58,0.0,-0.0492219,25.3342,32.11,8.34286,8169,8.506815671920776,0.0202959,11.1951471866
366,0.430616497993,26,0.0,-0.0454983,69.4993,44.16,8.27922,10057,10.539148569107056,0.0167168,23.3778378574
391,0.6475032866,25,0.0,-0.0446965,72.8602,58.52,8.22086,12204,12.584805727005005,0.0151274,33.6211477802
406,0.620749086142,15,0.0,-0.0413564,112.698,73.75,8.16604,14229,14.623392820358276,0.014296,50.4432462776
420,0.759655445814,14,0.0,-0.0365941,118.576,90.05,8.12128,16287,16.666314363479614,0.0121674,66.6780656216
430,0.519834190607,10,0.0,-0.036633,128.175,106.19,8.06896,18334,18.718390941619873,0.011314,91.1581318228
440,0.448646724224,10,0.0,-0.0388634,192.794,122.95,8.00952,20464,20.749393463134766,0.01247,115.701151974
450,0.556992799044,10,0.0,-0.0380959,143.719,137.56,8.0156,22523,22.803722143173218,0.0130669,140.23354182
456,0.643916517496,6,0.0,-0.0317002,123.532,147.22,8.00511,23934,24.829450368881226,0.0104263,153.015377702
468,0.66431620717,12,0.0,-0.0372405,87.1357,161.76,7.98985,26535,26.897364139556885,0.011982,179.965819364
479,0.76184746623,11,0.0,-0.0389074,75.4797,174.24,7.96381,28499,28.94449806213379,0.0122229,204.234735456
486,0.844220012426,7,0.0,-0.0359943,71.7725,189.76,7.92522,30607,31.007038116455078,0.011524,226.290574869
496,0.862506166101,10,0.0,-0.0357356,88.302,195.45,7.9124,32584,33.055227756500244,0.0109905,239.555218476
507,0.821281090379,11,0.0,-0.0372832,46.1533,203.32,7.89934,34776,35.11677932739258,0.0120176,260.227743584
516,0.91209550947,9,0.0,-0.0364837,32.491,210.1,7.84143,36709,37.16398286819458,0.0138607,273.895794848
527,0.923635825515,11,0.0,-0.035917,62.4021,211.53,7.8587,38783,39.24129390716553,0.0129711,279.461962037
539,0.943593554199,12,0.0,-0.0358833,28.4397,206.17,7.80702,40819,41.304007053375244,0.0118556,278.501110372
550,0.902881480753,11,0.0,-0.033809,32.875,201.38,7.77765,42661,43.35909342765808,0.0108754,279.439491433
562,0.940537121147,12,0.0,-0.0370125,39.3662,195.37,7.77968,44993,45.42172598838806,0.0109696,275.275119393
573,0.941438432783,11,0.0,-0.0402212,26.1618,195.34,7.73819,47042,47.49279546737671,0.0135102,280.001402031
584,0.964825425297,11,0.0,-0.0372235,16.9574,194.07,7.73598,48933,49.54163336753845,0.0117234,284.119048915
594,0.945792332292,10,0.0,-0.0307432,31.2483,188.47,7.74098,51044,51.609253883361816,0.0135854,281.590883207
604,0.954523764551,10,0.0,-0.0357334,23.0851,188.07,7.74063,53087,53.65621519088745,0.0113706,285.115062687
614,0.956072401255,10,0.0,-0.0374199,29.8189,188.71,7.70546,55038,55.7230486869812,0.0113916,289.557179252
627,0.966774381697,13,0.0,-0.0438877,19.905,185.01,7.66891,57284,57.78847098350525,0.0136819,292.536179114
640,0.968692656606,13,0.0,-0.0416105,21.2293,183.39,7.66846,59308,59.85904550552368,0.0114831,293.974870017
652,0.965701956302,12,0.0,-0.0431634,22.1436,181.71,7.61984,61381,61.94424653053284,0.0146971,296.629789602
665,0.963796820492,13,0.0,-0.0416725,27.7516,177.91,7.63249,63369,64.0034613609314,0.0151244,296.326442699
677,0.958620917052,12,0.0,-0.0451504,25.1391,177.23,7.59836,65491,66.06190013885498,0.0140176,299.577474638
689,0.9548291713,12,0.0,-0.0399828,32.7352,176.43,7.5941,67522,68.13923645019531,0.0150092,304.290612854
698,0.928118132055,9,0.0,-0.0468891,34.0019,175.01,7.60655,69445,70.20985627174377,0.0168858,307.0845964
711,0.95713044703,13,0.0,-0.0458998,21.1685,172.07,7.61223,71585,72.25862669944763,0.0144368,309.093780899
724,0.96942431666,13,0.0,-0.0423868,22.7162,169.67,7.61429,73619,74.32232093811035,0.0146717,308.485008876
735,0.982707642019,11,0.0,-0.0411008,13.6677,169.25,7.5813,75520,76.3905942440033,0.0151415,312.577438104
747,0.983630178496,12,0.0,-0.0420122,12.3982,172.5,7.56787,77796,78.44503140449524,0.0125294,320.02007962
759,0.971922453493,12,0.0,-0.0411307,17.5855,173.37,7.5113,79792,80.50870203971863,0.011849,323.31544592
771,0.972967943177,12,0.0,-0.0399411,21.6012,173.91,7.46858,81792,82.58912467956543,0.0119296,325.422119939
781,0.976670335978,10,0.0,-0.0434399,17.2618,176.94,7.45871,83851,84.66935086250305,0.0104782,331.678411472
792,0.953328322619,11,0.0,-0.0361103,19.196,177.82,7.45869,85827,86.73422598838806,0.0123249,331.23798057
805,0.982887001708,13,0.0,-0.0463424,16.173,174.69,7.40495,88058,88.81213164329529,0.0128037,329.077525557
817,0.968030992895,12,0.0,-0.0358576,17.2171,175.18,7.40773,90043,90.87348675727844,0.012089,329.607980066
829,0.98750579264,12,0.0,-0.0449391,12.2456,175.98,7.40668,92089,92.92152905464172,0.0128367,331.232684127
840,0.970965921879,11,0.0,-0.0339932,23.9669,174.99,7.38826,94092,94.98711013793945,0.0122775,327.673534267
852,0.964214254171,12,0.0,-0.0383865,23.0148,174.71,7.35415,96152,97.05941200256348,0.0122887,328.044826505
863,0.980551248416,11,0.0,-0.0471645,16.1708,177.29,7.38484,98219,99.12468910217285,0.0134653,332.469344658
876,0.977566845715,13,0.0,-0.0468515,21.7305,172.58,7.36511,100171,101.18702864646912,0.0145221,326.099532163
889,0.978147985414,13,0.0,-0.0478123,17.3391,171.34,7.31481,102315,103.25669312477112,0.0130843,329.255655827
902,0.968862934038,13,0.0,-0.0432091,27.4686,168.42,7.32673,104394,105.31997442245483,0.0123196,323.244625923
914,0.976922245696,12,0.0,-0.0416761,23.9791,168.28,7.29699,106359,107.35453081130981,0.0128605,328.334071257
928,0.975802462548,14,0.0,-0.0444898,21.9095,164.84,7.26424,108414,109.41624450683594,0.0144552,325.321133909
941,0.982168674469,13,0.0,-0.0447323,19.6956,162.76,7.26009,110588,111.48317980766296,0.0132939,327.189001067
953,0.973649697378,12,0.0,-0.0386992,19.7679,162.91,7.24658,112576,113.56062602996826,0.0153039,326.779861237
966,0.989505236037,13,0.0,-0.0450908,11.4287,158.64,7.23476,114597,115.62437152862549,0.0152621,323.23062599
978,0.98168502003,12,0.0,-0.0343652,14.1464,160.88,7.24427,116619,117.70266842842102,0.0130839,325.792449603
991,0.983097072691,13,0.0,-0.0479519,17.7146,161.2,7.17317,118704,119.76430606842041,0.014306,327.80687807
1003,0.977594373748,12,0.0,-0.0411416,21.0805,162.12,7.14075,120787,121.8905680179596,0.0118261,334.449709565
1016,0.972808131948,13,0.0,-0.0383821,17.878,161.83,7.15932,122821,123.99508142471313,0.0109948,333.564079598
1028,0.968108091503,12,0.0,-0.0459574,23.1922,163.62,7.12929,124776,126.08961772918701,0.0140493,337.083930862
1041,0.98286845535,13,0.0,-0.0440729,16.8971,163.28,7.06512,126916,128.20211553573608,0.0113759,338.690293726
1054,0.975119294599,13,0.0,-0.0475092,27.4678,161.54,7.02757,128889,130.3194968700409,0.0171208,340.023871489
1067,0.981640335172,13,0.0,-0.0443382,22.1033,161.89,7.02101,130926,132.4144058227539,0.0149424,342.13788754
1081,0.983549855649,14,0.0,-0.0420391,15.2269,159.6,7.01402,133016,134.50744771957397,0.0151711,343.257259001
1094,0.981970340014,13,0.0,-0.0392987,13.1136,159.39,7.01071,135059,136.55368876457214,0.0140415,345.502928674
1106,0.984984677285,12,0.0,-0.0468539,16.0886,157.61,6.99007,137062,138.63203167915344,0.0135136,345.311381966
1119,0.988691098057,13,0.0,-0.0422286,15.0106,158.73,6.95202,139239,140.69438242912292,0.0125448,349.449501654
1132,0.988881575875,13,0.0,-0.0528314,15.906,158.12,6.90921,141294,142.7570526599884,0.0183463,352.619196942
1144,0.983893200755,12,0.0,-0.0433994,21.3821,158.33,6.90853,143231,144.8042016029358,0.0175537,355.965358006
1156,0.97648925893,12,0.0,-0.0433947,27.0346,161.62,6.91202,145297,146.88279676437378,0.0145267,365.067030309
1169,0.981878526509,13,0.0,-0.0425583,25.6125,161.77,6.93665,147402,148.9445583820343,0.0171516,368.566324129
1181,0.956573862582,12,0.0,-0.0508782,33.0454,163.52,6.91791,149368,151.0163276195526,0.0179957,377.262151338
1194,0.945793177933,13,0.0,-0.0432725,57.9644,163.43,6.92362,151402,153.0849277973175,0.0144696,380.221444879
1207,0.970683250576,13,0.0,-0.0475375,42.8478,162.71,6.91768,153552,155.13636779785156,0.0169049,383.75740194
1219,0.953759603202,12,0.0,-0.0465547,59.3331,162.67,6.87532,155506,157.20168232917786,0.0138949,388.77078574
1232,0.963156230748,13,0.0,-0.0501987,52.6087,163.76,6.83674,157670,159.2574005126953,0.0140564,396.337541713
1243,0.963367942721,11,0.0,-0.0508786,48.0212,165.39,6.78521,159600,161.33799028396606,0.0192146,403.119794543
1254,0.970827769488,11,0.0,-0.048683,49.7792,167.25,6.77268,161678,163.40463280677795,0.0162687,411.88323822
1264,0.964102309197,10,0.0,-0.0517778,49.6616,170.84,6.73604,163745,165.48292446136475,0.0171594,423.820215494
1274,0.958412382752,10,0.0,-0.0534014,53.7664,174.51,6.73911,165676,167.53855848312378,0.0156758,436.696029361
1285,0.954383675009,11,0.0,-0.0505122,63.2004,178.26,6.72931,167792,169.59702396392822,0.0170091,448.987611887
1297,0.933243237436,12,0.0,-0.0480041,84.1529,180.03,6.69365,169958,171.67204427719116,0.0116904,458.341017489
1309,0.945337638259,12,0.0,-0.0492729,99.3015,181.82,6.67094,172005,173.7256636619568,0.0172001,468.247013428
1320,0.9511965774,11,0.0,-0.0569696,72.7962,182.76,6.61565,173957,175.80362677574158,0.017624,473.400918904
1331,0.964295234531,11,0.0,-0.0497471,57.1245,185.04,6.60052,175990,177.8588364124298,0.0172154,482.629734986
1342,0.944787435234,11,0.0,-0.0424964,74.7677,185.43,6.61514,177983,179.93709516525269,0.0145343,485.974358766
