EpThisIter,loss_kl,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,TimestepsSoFar,EpRewMean,loss_vf_loss
104,0.016487,2.343165159225464,0.0,-0.0318170785904,-0.040206,104,8.4805,19.42,2042,-1.35648387445,6.57964
103,0.0239877,4.4358744621276855,0.0,0.265805482864,-0.0558129,207,8.468,19.95,4088,1.31439097967,8.3192
83,0.0221125,6.514025688171387,0.0,0.216475665569,-0.0502721,290,8.41918,23.25,6131,5.78307161019,17.7236
48,0.0211252,8.569646835327148,0.0,0.280362963676,-0.0509847,338,8.35686,32.8,8164,13.6872757547,36.336
33,0.0153154,10.647869110107422,0.0,0.469612598419,-0.0435278,371,8.30596,45.48,10233,22.7753508325,50.464
15,0.0142552,12.710643529891968,0.0,0.582518398762,-0.0444034,386,8.24703,62.41,12257,36.7637295713,79.0196
14,0.0149913,14.775428533554077,0.0,0.61795732379,-0.045832,400,8.24403,76.1,14242,48.6046450439,97.8612
12,0.0135433,16.83507251739502,0.0,0.734858870506,-0.0398141,412,8.23324,92.05,16268,63.4097749357,91.0485
12,0.0133193,18.89769458770752,0.0,0.742616504431,-0.0400968,424,8.18422,107.14,18247,83.9089193195,95.2986
11,0.0131792,20.976943969726562,0.0,0.746852576733,-0.0392731,435,8.17973,123.34,20402,102.82154676,111.731
11,0.0124933,23.038677215576172,0.0,0.764341697097,-0.0425121,446,8.15524,137.53,22272,124.499777337,106.737
10,0.0123111,25.11669421195984,0.0,0.898970641196,-0.0353547,456,8.10254,151.85,24506,140.994842642,86.909
9,0.0126466,27.194531440734863,0.0,0.825695425272,-0.0404458,465,8.08173,166.11,26581,160.687765045,88.0778
10,0.0110215,29.27625274658203,0.0,0.887816533446,-0.0373146,475,8.07213,175.57,28373,178.360018273,66.8104
7,0.0133214,31.343891143798828,0.0,0.870924010873,-0.0401026,482,8.02995,188.99,30585,199.894986397,69.3624
11,0.0145414,33.41353178024292,0.0,0.922334566712,-0.0350476,493,8.03125,195.43,32765,213.034946541,59.9849
10,0.012562,35.491403341293335,0.0,0.920680701733,-0.0329464,503,8.00559,198.65,34698,228.625132311,61.5806
11,0.0123395,37.57665944099426,0.0,0.876587927341,-0.0351409,514,7.97824,201.42,36818,244.100365089,37.9856
13,0.0121991,39.671754360198975,0.0,0.922153100371,-0.0390859,527,7.96639,201.32,38889,251.475044348,57.8622
8,0.0128934,41.734395027160645,0.0,0.851017773151,-0.0364398,535,7.97887,203.33,40735,256.649099108,73.0167
11,0.0155356,43.82010006904602,0.0,0.937362708151,-0.0364183,546,7.99152,206.24,42896,263.809723717,40.0888
10,0.0159321,45.89180254936218,0.0,0.912999048829,-0.041476,556,7.99484,201.31,44637,268.631083072,50.2826
11,0.0153147,47.97578001022339,0.0,0.95512091741,-0.0343145,567,7.99507,201.87,47034,271.957712049,31.2432
9,0.0136392,50.05529546737671,0.0,0.88523735106,-0.035071,576,7.94287,203.35,49120,278.407542632,30.3095
12,0.0118801,52.148885011672974,0.0,0.946927674115,-0.0396542,588,7.92905,193.63,51125,271.880485533,28.5908
12,0.0128589,54.233983755111694,0.0,0.940482828766,-0.0388778,600,7.94727,190.47,53184,278.50169465,36.5112
10,0.0136106,56.31937599182129,0.0,0.879891254008,-0.0368038,610,7.87761,191.19,55162,280.196799861,42.1498
10,0.0136407,58.39774012565613,0.0,0.951992355287,-0.0307557,620,7.87854,195.6,57256,282.526037962,44.6421
11,0.0126301,60.47600317001343,0.0,0.947016794235,-0.0364132,631,7.86897,193.68,59138,280.278308858,60.787
12,0.0126354,62.560744762420654,0.0,0.921145454049,-0.034045,643,7.8224,190.01,61363,283.319973343,39.5121
10,0.0137617,64.64814019203186,0.0,0.970674332231,-0.0427761,653,7.80266,192.04,63338,287.316204478,17.3893
13,0.0135589,66.72636914253235,0.0,0.959003262222,-0.044678,666,7.81704,185.66,65453,290.795824425,25.155
9,0.0129473,68.82249188423157,0.0,0.932475045323,-0.0350495,675,7.79942,188.35,67514,290.061489578,51.9596
10,0.0129213,70.89074778556824,0.0,0.967155698687,-0.0412191,685,7.78066,186.46,69388,290.782780608,19.6267
11,0.0135453,72.97632694244385,0.0,0.943388048559,-0.0357759,696,7.76779,191.06,71583,295.370452349,35.1444
11,0.013624,75.05668711662292,0.0,0.948948375881,-0.0458971,707,7.74713,190.8,73571,296.359856976,31.4542
11,0.0136401,77.14777898788452,0.0,0.975930482149,-0.0442774,718,7.7094,188.23,75680,299.910310123,16.9277
12,0.014516,79.22579574584961,0.0,0.955832581967,-0.0386404,730,7.6825,187.82,77790,306.854099497,30.1364
11,0.0149126,81.30377840995789,0.0,0.958193752915,-0.047972,741,7.67959,189.21,79745,310.863701451,21.5525
13,0.0143031,83.39794659614563,0.0,0.95368636027,-0.0437255,754,7.63623,183.03,81829,304.745806867,26.4787
13,0.0122453,85.46023154258728,0.0,0.973633980379,-0.0424306,767,7.59523,183.61,83933,307.84171727,21.1269
12,0.0130791,87.53816938400269,0.0,0.979618040845,-0.0400821,779,7.5655,176.21,85872,306.705559256,17.7376
12,0.0116964,89.63211131095886,0.0,0.968456424773,-0.0361723,791,7.57202,172.03,87939,303.514040353,22.1029
13,0.0132,91.71264362335205,0.0,0.978552374989,-0.0444949,804,7.55559,170.45,90005,307.283848334,18.4316
12,0.0138225,93.79689407348633,0.0,0.985541407019,-0.0412107,816,7.49756,167.6,92133,306.952125286,13.1291
10,0.0135299,95.8980004787445,0.0,0.945899043232,-0.0434126,826,7.48974,173.12,94150,316.709524333,30.4579
13,0.0146396,97.97596669197083,0.0,0.969615289941,-0.0480839,839,7.48205,167.13,96123,313.406872041,24.017
13,0.0121797,100.07007789611816,0.0,0.964848600328,-0.0383228,852,7.49205,167.82,98261,312.920783708,30.4467
13,0.0123135,102.14733409881592,0.0,0.975596578792,-0.0386212,865,7.45039,166.49,100301,311.483917706,20.0232
12,0.0134373,104.24131155014038,0.0,0.979773240164,-0.0434019,877,7.40808,166.22,102256,313.186497096,17.7623
12,0.0132294,106.32076263427734,0.0,0.971968280151,-0.0382717,889,7.32651,166.46,104293,316.093915338,24.6687
12,0.0119423,108.3980963230133,0.0,0.974017605186,-0.046015,901,7.2838,168.01,106389,322.031314181,21.7289
12,0.016672,110.48261165618896,0.0,0.960548102856,-0.043043,913,7.23323,167.84,108372,325.041066442,33.7776
12,0.0174372,112.56078577041626,0.0,0.981353415176,-0.0479389,925,7.18439,163.44,110363,321.823868804,19.0897
13,0.0138542,114.65449047088623,0.0,0.98240505904,-0.0438546,938,7.17415,165.44,112542,324.675289955,20.5596
13,0.0146883,116.75509572029114,0.0,0.982430642471,-0.0482061,951,7.15915,164.92,114623,329.803572103,20.609
12,0.0148799,118.8596932888031,0.0,0.976932022721,-0.045883,963,7.12927,166.54,116657,335.86192595,25.8149
12,0.0164623,120.92906832695007,0.0,0.963190563023,-0.046827,975,7.11206,166.68,118619,334.417976707,28.5258
12,0.0143578,123.02298092842102,0.0,0.972525672987,-0.0508029,987,7.07873,168.16,120703,339.006326824,21.9405
12,0.0154283,125.10136890411377,0.0,0.986159866676,-0.0488022,999,7.0529,167.19,122729,342.247229043,15.6597
13,0.0141309,127.17861723899841,0.0,0.981265896931,-0.0490262,1012,7.02498,165.97,124798,341.484594805,16.5476
13,0.012394,129.2651765346527,0.0,0.977797748521,-0.0521601,1025,6.99041,165.1,126873,344.039286583,25.9333
13,0.0147268,131.34363722801208,0.0,0.978504313156,-0.0488565,1038,6.95596,164.57,128999,344.559506734,21.9277
13,0.0156873,133.4365110397339,0.0,0.985447303392,-0.0526455,1051,6.90475,164.38,131061,347.268810576,20.7293
13,0.0162035,135.5138144493103,0.0,0.975373310968,-0.0529372,1064,6.8746,163.04,133089,349.329223083,28.8731
11,0.0147253,137.59210014343262,0.0,0.970807867125,-0.0481052,1075,6.87673,165.06,135125,359.854478041,25.1292
12,0.012623,139.68679904937744,0.0,0.979042200372,-0.0493358,1087,6.8534,164.41,137144,363.693133338,23.5222
12,0.0179806,141.76508712768555,0.0,0.970650605857,-0.0503002,1099,6.8362,165.3,139259,369.93799197,28.6138
10,0.0151028,143.85920786857605,0.0,0.975717131048,-0.0522179,1109,6.78609,169.07,141250,379.545968252,21.4188
12,0.0176337,145.9218623638153,0.0,0.967081010342,-0.0540696,1121,6.78331,170.27,143261,386.817820123,32.9172
12,0.0151966,148.00806593894958,0.0,0.952756818384,-0.047812,1133,6.76563,171.04,145360,388.485269995,61.3738
11,0.0173261,150.09593605995178,0.0,0.969511445612,-0.0473801,1144,6.73691,173.04,147283,397.708654227,39.425
12,0.0165514,152.17860341072083,0.0,0.979780429974,-0.0559399,1156,6.72535,175.75,149383,409.361282667,23.4385
12,0.0176011,154.26668095588684,0.0,0.963897433132,-0.0512219,1168,6.72589,175.79,151479,417.551789065,54.4697
12,0.0141362,156.36696362495422,0.0,0.960033942014,-0.0474095,1180,6.70107,175.66,153511,421.444429546,69.1109
12,0.0160123,158.45826601982117,0.0,0.965551521629,-0.0537012,1192,6.65143,174.29,155507,423.531750659,52.216
12,0.0147888,160.53879404067993,0.0,0.972266087309,-0.0488134,1204,6.60987,172.78,157568,426.252879367,40.1554
13,0.0175233,162.62275958061218,0.0,0.942170351744,-0.0429702,1217,6.60319,171.52,159715,427.216127898,98.6382
11,0.0228018,164.7016806602478,0.0,0.966040607542,-0.0510029,1228,6.56284,172.15,161665,434.661823279,39.8282
11,0.0137869,166.7829933166504,0.0,0.979053264484,-0.0490685,1239,6.53294,173.12,163726,448.207781452,30.4998
11,0.0140505,168.86673784255981,0.0,0.977064857259,-0.0545577,1250,6.53678,174.94,165788,456.957421708,35.6466
12,0.0177124,170.94718766212463,0.0,0.971204264089,-0.0542736,1262,6.47696,174.24,167865,458.908038845,51.8139
11,0.0169026,173.03112125396729,0.0,0.963166575879,-0.0515075,1273,6.47171,174.61,169812,457.780301129,56.6687
11,0.0160881,175.1008653640747,0.0,0.966664798558,-0.0550807,1284,6.44562,176.18,171840,464.090291809,52.7505
11,0.0185169,177.1791534423828,0.0,0.978585921228,-0.0527825,1295,6.38572,180.4,174069,477.042155893,39.8713
11,0.016145,179.27404236793518,0.0,0.982890028507,-0.0533033,1306,6.33383,182.32,176125,486.713958722,36.4116
10,0.0207176,181.351891040802,0.0,0.975543983281,-0.0521636,1316,6.2665,185.37,178116,497.334084551,33.4382
11,0.0170183,183.46002292633057,0.0,0.967355333269,-0.05201,1327,6.27138,186.07,180124,500.959122857,62.8861
11,0.0215955,185.5536048412323,0.0,0.980265971273,-0.0523627,1338,6.22685,187.11,182271,507.396491383,44.1613
11,0.0200981,187.66386342048645,0.0,0.977145899087,-0.046143,1349,6.19589,186.97,184312,511.893176756,41.1262
10,0.0175337,189.77567958831787,0.0,0.984806327149,-0.0488757,1359,6.16385,188.47,186218,521.831334551,27.1563
11,0.0171732,191.88364672660828,0.0,0.981085730717,-0.0520716,1370,6.16042,190.12,188276,533.488438899,42.9892
10,0.0156232,194.01952123641968,0.0,0.972915068269,-0.0502877,1380,6.14037,191.75,190301,542.889916507,38.7036
11,0.0214006,196.131769657135,0.0,0.983220715076,-0.0497798,1391,6.11845,191.74,192496,551.062616923,37.3685
10,0.0226273,198.24942636489868,0.0,0.98839499522,-0.0569755,1401,6.11516,193.11,194498,559.074903352,22.2664
10,0.0166849,200.35760307312012,0.0,0.982610795647,-0.0474716,1411,6.11398,194.36,196500,567.688675168,39.7058
10,0.0181834,202.46788358688354,0.0,0.979426590726,-0.0535431,1421,6.10067,195.76,198592,574.235587253,44.2348
10,0.0159967,204.57809591293335,0.0,0.98645367194,-0.0487883,1431,6.08263,197.38,200595,584.583144988,35.9937
10,0.0207439,206.66347432136536,0.0,0.987770269625,-0.0520466,1441,6.02725,198.43,202676,589.859704551,33.2712
9,0.0179518,208.75741267204285,0.0,0.984560800716,-0.0522089,1450,5.9935,201.01,204592,597.923383688,36.8517
11,0.0203207,210.82001113891602,0.0,0.974647298455,-0.0514692,1461,5.97287,201.31,206743,597.245652211,61.5707
10,0.0198148,212.88622903823853,0.0,0.987380971201,-0.0541783,1471,5.92424,203.17,208809,605.899258766,29.4809
9,0.0188136,214.96866822242737,0.0,0.984617107548,-0.0533945,1480,5.87832,205.23,210824,611.968962912,34.0815
10,0.0211099,217.03108739852905,0.0,0.987377760001,-0.0457955,1490,5.84272,206.13,212913,614.909851323,27.5916
10,0.0160004,219.11651587486267,0.0,0.983561189845,-0.0447608,1500,5.84447,207.08,215024,617.796598736,36.49
9,0.0172306,221.17857718467712,0.0,0.986095382832,-0.0477585,1509,5.80514,208.22,216941,621.95069825,34.6827
9,0.0195102,223.26086616516113,0.0,0.987573264167,-0.0543988,1518,5.74687,209.71,218951,627.951920297,30.4608
10,0.0194747,225.32615876197815,0.0,0.986707854085,-0.0511871,1528,5.6913,210.65,221075,631.150804785,34.1263
10,0.0154896,227.40542268753052,0.0,0.972676169127,-0.0564796,1538,5.70188,211.35,223188,633.899104938,55.4915
9,0.0159783,229.48274397850037,0.0,0.972776722163,-0.0553226,1547,5.6732,211.89,225132,635.146821462,48.4071
9,0.0186577,231.5464129447937,0.0,0.977262077853,-0.0578473,1556,5.6172,214.51,227175,642.62422365,48.4315
10,0.0209639,233.6393759250641,0.0,0.980841487646,-0.052633,1566,5.58896,215.33,229362,645.077522564,44.041
9,0.0196043,235.70192456245422,0.0,0.989332009107,-0.0588874,1575,5.54946,216.64,231400,649.912237193,20.5831
8,0.0191368,237.78127264976501,0.0,0.984024131671,-0.0552366,1583,5.52107,217.91,233259,654.443699968,32.8292
9,0.0211586,239.85437893867493,0.0,0.986807213165,-0.0556503,1592,5.4946,219.96,235296,661.629902164,27.8018
9,0.0189051,241.92537474632263,0.0,0.982689423487,-0.0508759,1601,5.46217,221.09,237345,664.799844137,40.5753
9,0.018088,244.0072627067566,0.0,0.983905699104,-0.048929,1610,5.41737,223.9,239538,675.043809233,24.8841
9,0.0205833,246.06954264640808,0.0,0.967676963657,-0.0534672,1619,5.39028,224.43,241581,676.831343075,67.8757
9,0.0217859,248.14748978614807,0.0,0.98228565231,-0.0561463,1628,5.32068,226.35,243710,685.746646305,34.4016
9,0.0239437,250.21887040138245,0.0,0.98377070576,-0.0496573,1637,5.32843,226.94,245657,688.140734054,34.7345
9,0.0166995,252.29693388938904,0.0,0.972985159606,-0.0561714,1646,5.33099,226.58,247590,686.205125354,57.6266
9,0.0177654,254.3668658733368,0.0,0.986019951291,-0.0577721,1655,5.29883,227.31,249708,692.127401612,35.459
9,0.0199616,256.4327962398529,0.0,0.984942366369,-0.0621248,1664,5.26339,229.38,251826,700.908172068,24.9562
9,0.0203468,258.516752243042,0.0,0.976779943332,-0.047467,1673,5.22156,228.66,253830,699.276515904,40.3023
9,0.0207664,260.58485102653503,0.0,0.988243692555,-0.0597715,1682,5.19519,229.99,255974,706.033317662,31.3267
8,0.0190101,262.64745831489563,0.0,0.964744374156,-0.0451835,1690,5.19232,230.13,257831,705.260581995,38.3049
9,0.0222006,264.7180497646332,0.0,0.992323360872,-0.0503118,1699,5.16769,230.25,259933,708.813824104,17.7596
9,0.0257888,266.78867197036743,0.0,0.982890175655,-0.0493023,1708,5.15968,229.5,262031,706.808455248,40.7531
9,0.0240597,268.86748361587524,0.0,0.990074008703,-0.0553864,1717,5.12206,229.42,264097,707.577090086,24.3169
9,0.021308,270.93237829208374,0.0,0.985110504553,-0.0528433,1726,5.10348,229.43,266113,706.876430798,34.9268
9,0.0237278,273.0094976425171,0.0,0.992425446399,-0.0607895,1735,5.08841,229.38,268186,708.407301205,23.0429
9,0.0224776,275.0770492553711,0.0,0.990222060122,-0.0559798,1744,5.06931,230.96,270214,716.708151977,31.102
9,0.0179883,277.1629638671875,0.0,0.986395666376,-0.0521068,1753,5.04663,230.22,272309,716.616702116,32.3502
9,0.0214807,279.23841381073,0.0,0.980097848922,-0.0467316,1762,5.03983,230.01,274379,716.638230624,50.1016
9,0.0235431,281.30413722991943,0.0,0.987018883228,-0.0572918,1771,4.99836,230.59,276428,718.235906503,29.0571
9,0.0228133,283.3820927143097,0.0,0.987918267958,-0.04955,1780,4.96086,229.91,278470,716.923373695,26.3255
8,0.0206485,285.4443769454956,0.0,0.991265224293,-0.0534044,1788,4.93886,230.02,280397,719.37288394,20.0904
9,0.0207338,287.52237606048584,0.0,0.99191924464,-0.0552448,1797,4.89077,230.91,282563,726.399807101,21.6153
9,0.0260422,289.6008322238922,0.0,0.991730992682,-0.0529711,1806,4.86977,231.06,284640,728.429765103,22.8121
8,0.022843,291.66414523124695,0.0,0.992721058428,-0.0558414,1814,4.83787,231.47,286566,731.959808734,17.7377
9,0.0202882,293.7426130771637,0.0,0.990438823588,-0.0542698,1823,4.80425,233.65,288763,740.707827509,25.23
8,0.0194485,295.8227961063385,0.0,0.990147279575,-0.0506446,1831,4.76467,233.91,290687,741.90169456,23.2667
9,0.0186402,297.89041924476624,0.0,0.981086665764,-0.05021,1840,4.73806,235.3,292814,747.34049868,41.1654
8,0.0210983,299.9547712802887,0.0,0.984023625031,-0.0558154,1848,4.75126,235.65,294666,750.382205399,44.6401
9,0.0263198,302.03800988197327,0.0,0.988306289539,-0.0525279,1857,4.78284,236.97,296897,755.646329068,31.0057
9,0.0216994,304.1012632846832,0.0,0.987536084838,-0.0504628,1866,4.77194,236.98,298994,756.766622726,36.6271
8,0.0240228,306.1791820526123,0.0,0.976681485772,-0.0505912,1874,4.73555,238.89,301011,763.030596278,70.7917
