loss_ent,TimeElapsed,TimestepsSoFar,EpRewMean,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_kl,ev_tdlam_before,EpLenMean,EpThisIter,EpisodesSoFar
8.506,2.3408284187316895,2039,-0.821263661875,0.0,-0.0427035,6.76881,0.0175839,0.0118719339371,18.58,113,113
8.4504,4.4191529750823975,4093,2.46017111013,0.0,-0.0466754,9.63799,0.0197552,0.253698647022,21.39,96,209
8.37739,6.465143203735352,6144,5.18817701347,0.0,-0.0466577,15.8431,0.019351,0.286961615086,25.66,76,285
8.34556,8.527942895889282,8153,9.65622331335,0.0,-0.0412256,25.4874,0.0160062,0.434198498726,34.36,48,333
8.30405,10.574530124664307,10205,17.4161864841,0.0,-0.0440195,54.0391,0.0158321,0.536978632212,43.53,38,371
8.23027,12.637372732162476,12191,27.1782151875,0.0,-0.0420433,67.2285,0.0157255,0.661484360695,55.65,22,393
8.17978,14.70002555847168,14249,40.2850192702,0.0,-0.0395584,98.702,0.0132786,0.700875371695,70.26,16,409
8.15248,16.75322699546814,16206,56.5322581977,0.0,-0.0424864,116.472,0.0107232,0.584242254496,82.27,17,426
8.13306,18.816563367843628,18416,82.6599116159,0.0,-0.0411693,112.015,0.0139762,0.631673783064,99.37,13,439
8.07685,20.86589002609253,20467,106.9909459,0.0,-0.0438612,104.367,0.0132756,0.700305819511,115.5,11,450
8.03258,22.92899513244629,22316,121.222423554,0.0,-0.0378292,166.311,0.012898,0.705514103174,125.07,13,463
7.98416,24.981427669525146,24476,139.728491851,0.0,-0.0427509,127.904,0.0153157,0.787665858865,137.36,12,475
7.97633,27.044008016586304,26551,169.606570557,0.0,-0.0382342,55.0379,0.0127166,0.761763215065,150.12,11,486
7.92274,29.106570720672607,28593,193.706323932,0.0,-0.0387659,72.1731,0.0142069,0.790180683136,157.63,12,498
7.91314,31.16103959083557,30415,213.021175118,0.0,-0.0416291,42.3244,0.0134707,0.854908198118,161.66,11,509
7.85968,33.28676223754883,32609,233.715947507,0.0,-0.0380318,41.5569,0.0152972,0.884366564453,170.96,10,519
7.85892,35.340439796447754,34655,253.101225719,0.0,-0.0381048,39.9661,0.0125588,0.894709549844,179.4,9,528
7.81975,37.426931619644165,36805,268.779056799,0.0,-0.0406945,51.3351,0.0141083,0.894401200116,183.89,11,539
7.77469,39.489704847335815,38830,279.902532266,0.0,-0.0430154,45.7002,0.0126602,0.885298229754,186.21,9,548
7.77969,41.544002294540405,40768,300.041770043,0.0,-0.0332378,38.4276,0.0110101,0.898285850883,195.39,9,557
7.77156,43.62194871902466,42984,316.424244736,0.0,-0.0412064,42.6223,0.0104201,0.908908896148,197.8,11,568
7.73689,45.684765577316284,44796,327.039361446,0.0,-0.0408224,30.7884,0.0117638,0.93745893985,198.67,9,577
7.7251,47.77837085723877,46977,331.990910797,0.0,-0.0341299,42.2427,0.0155462,0.928654938936,202.78,10,587
7.73434,49.84058117866516,48978,337.213173905,0.0,-0.0362528,55.2845,0.0164811,0.942479074001,208.67,8,595
7.71362,51.924519062042236,51130,341.894713679,0.0,-0.0363221,72.8267,0.0110545,0.953414428979,212.59,10,605
7.69592,53.98912072181702,53052,349.849803985,0.0,-0.0396324,49.129,0.0135198,0.917925938964,215.84,8,613
7.65207,56.067341327667236,55231,356.558720671,0.0,-0.0449263,38.1623,0.0149101,0.92854732275,219.54,9,622
7.67844,58.12906360626221,57033,360.65616181,0.0,-0.0388685,41.0909,0.0128059,0.922935262322,221.48,7,629
7.65504,60.19366407394409,59340,366.384252809,0.0,-0.0461843,56.8518,0.0141735,0.930901169777,223.57,11,640
7.59988,62.26251173019409,61378,367.980452146,0.0,-0.0401621,26.3512,0.0120408,0.96911316365,223.55,9,649
7.62029,64.3248040676117,63380,372.560488527,0.0,-0.0397213,23.7215,0.0112206,0.969926601276,223.94,9,658
7.59373,66.4103593826294,65448,372.536550276,0.0,-0.0380326,46.7052,0.0116549,0.946189079434,226.53,9,667
7.56894,68.47336387634277,67492,378.82002961,0.0,-0.0387533,25.4571,0.0116196,0.965629819781,231.42,8,675
7.54863,70.55208563804626,69512,379.193898432,0.0,-0.041268,38.0725,0.0133873,0.953857529908,227.44,11,686
7.50718,72.61442017555237,71604,382.702359084,0.0,-0.0450253,21.9471,0.0133677,0.974586140364,224.47,10,696
7.48876,74.67674732208252,73640,386.37257855,0.0,-0.0411358,16.5827,0.0141763,0.979980327189,221.17,11,707
7.44016,76.755211353302,75626,379.386823216,0.0,-0.0434049,22.7912,0.0148178,0.972264394164,213.9,10,717
7.43959,78.81765031814575,77752,384.556690918,0.0,-0.0391887,18.0931,0.0121842,0.971868053079,218.63,8,725
7.42296,80.91119623184204,79796,385.140443098,0.0,-0.0406108,15.0295,0.0131316,0.984319791198,215.61,10,735
7.39218,82.967050075531,81817,384.54800713,0.0,-0.0445672,19.5601,0.0158676,0.978609154001,214.32,10,745
7.39992,85.06296133995056,83766,382.260874037,0.0,-0.0409178,18.7384,0.0146628,0.98242450878,210.48,10,755
7.39427,87.11364722251892,85967,382.368823183,0.0,-0.0391803,20.2765,0.0119659,0.981454715133,205.19,12,767
7.40759,89.20022702217102,87849,378.708189221,0.0,-0.0421237,12.8705,0.0140313,0.987332986668,200.26,10,777
7.37115,91.27805256843567,90058,379.287899627,0.0,-0.0404296,24.786,0.0122662,0.97235134244,199.22,11,788
7.34769,93.32607841491699,92078,381.637829791,0.0,-0.0436017,21.1234,0.0136093,0.97864895314,199.56,11,799
7.3537,95.41157460212708,94177,380.408988305,0.0,-0.041313,27.3682,0.0150094,0.97000105679,198.1,12,811
7.31212,97.51286339759827,96062,379.549643688,0.0,-0.0427162,17.9438,0.0164368,0.972437292337,194.45,10,821
7.2715,99.5929663181305,98284,377.581159611,0.0,-0.0391712,17.9983,0.0120779,0.980584386736,189.68,12,833
7.265,101.66161799430847,100261,372.1357126,0.0,-0.050807,17.5517,0.0157437,0.981825875118,184.44,12,845
7.24274,103.74720215797424,102279,373.321805588,0.0,-0.0417283,10.8157,0.0141766,0.989160588011,182.9,11,856
7.20488,105.80939269065857,104432,374.037479766,0.0,-0.0404412,26.2839,0.0123872,0.974257739261,182.46,12,868
7.15019,107.87221026420593,106313,368.791900808,0.0,-0.0435648,28.3825,0.0132641,0.955778922886,178.7,12,880
7.09863,109.95007157325745,108521,368.244947502,0.0,-0.0447649,24.9239,0.0132906,0.974631238729,176.72,12,892
7.04961,112.01458144187927,110518,372.645597431,0.0,-0.0508992,11.5812,0.0133928,0.985139573924,178.07,11,903
6.99476,114.08337569236755,112506,369.421874126,0.0,-0.0450485,16.9567,0.0136983,0.983837001026,175.25,12,915
6.96906,116.13772821426392,114524,368.127558871,0.0,-0.0468118,19.6281,0.0134726,0.971962468699,173.03,12,927
6.91826,118.23095107078552,116730,365.569190624,0.0,-0.0408033,30.5257,0.0122975,0.962207648903,170.76,14,941
6.89845,120.30952143669128,118729,368.405934567,0.0,-0.0465297,18.5782,0.0145631,0.984009036794,172.02,11,952
6.89659,122.37188839912415,120679,370.281078366,0.0,-0.0485339,12.0909,0.0157495,0.989387159236,171.13,11,963
6.85806,124.44230103492737,122823,372.067750473,0.0,-0.0490636,15.9118,0.0144523,0.986577631906,171.3,13,976
6.8578,126.50420379638672,124916,367.833186227,0.0,-0.0478913,14.6809,0.0161453,0.983487850055,167.1,14,990
6.84085,128.59867000579834,126942,366.263434243,0.0,-0.0481908,9.93446,0.0130697,0.992270070594,165.68,12,1002
6.77908,130.64533305168152,128905,368.7754714,0.0,-0.0461472,13.822,0.0148726,0.98782301601,165.46,12,1014
6.75723,132.7223093509674,130921,368.079165926,0.0,-0.049111,15.3217,0.0169313,0.98551328294,163.97,13,1027
6.75314,134.78618001937866,133029,368.62443084,0.0,-0.0386956,22.1644,0.0138424,0.975193250924,162.99,14,1041
6.70079,136.8631670475006,135068,368.180615281,0.0,-0.0433845,17.5073,0.0125672,0.981564363465,161.57,12,1053
6.69533,138.9201536178589,137166,367.574244599,0.0,-0.0501238,13.3987,0.0142507,0.990279258229,159.6,13,1066
6.65925,140.98767280578613,139206,373.630971693,0.0,-0.0490406,9.5073,0.015117,0.99244012963,160.87,12,1078
6.61476,143.05149459838867,141131,379.762773254,0.0,-0.0489881,15.3534,0.0175229,0.986406109296,162.15,12,1090
6.57153,145.11522698402405,143258,375.444224263,0.0,-0.0445874,30.3965,0.0140817,0.974763810635,159.12,14,1104
6.52157,147.20095658302307,145405,379.094360245,0.0,-0.0557498,14.7635,0.0193023,0.983680870384,159.97,13,1117
6.44721,149.24922919273376,147382,383.085669636,0.0,-0.0541855,15.9382,0.0175791,0.985710727982,161.26,12,1129
6.4469,151.32632780075073,149494,391.67288048,0.0,-0.0464134,12.759,0.0182783,0.98754812032,163.09,13,1142
6.39629,153.38762044906616,151413,389.983931224,0.0,-0.0403756,23.7859,0.0166809,0.982571179047,161.71,12,1154
6.3404,155.46582293510437,153541,392.916376002,0.0,-0.0517734,11.2663,0.0184522,0.992132910527,162.03,13,1167
6.29001,157.5276322364807,155642,393.862386782,0.0,-0.0500619,11.1975,0.0186383,0.990287300199,161.5,13,1180
6.26334,159.58158707618713,157675,394.670801704,0.0,-0.05575,10.2811,0.0173508,0.992960932199,160.7,13,1193
6.25659,161.65987038612366,159640,401.963165577,0.0,-0.0515158,8.91271,0.0154931,0.993452581111,162.21,12,1205
6.2233,163.7224884033203,161773,404.130599502,0.0,-0.0498376,12.0932,0.0183849,0.991227229126,162.03,13,1218
6.21305,165.78631711006165,163838,404.236670144,0.0,-0.0406934,19.5444,0.0164546,0.966543138027,161.27,13,1231
6.19958,167.84908199310303,165810,405.670377692,0.0,-0.0452571,31.3375,0.0162271,0.973814478144,161.47,12,1243
6.19457,169.91902685165405,167844,412.52518899,0.0,-0.0452723,25.4364,0.017937,0.961700432003,162.89,12,1255
6.14701,171.98129558563232,169932,415.740240454,0.0,-0.0523562,13.0436,0.0183521,0.989614204504,163.91,12,1267
6.06233,174.03718256950378,171872,421.980278265,0.0,-0.0536677,16.2296,0.016142,0.986496927217,165.53,11,1278
6.05081,176.12881541252136,174080,431.189980014,0.0,-0.0523088,10.1211,0.0197108,0.988335873,169.0,12,1290
6.05477,178.17683291435242,175927,431.572954701,0.0,-0.0530176,12.2546,0.0207087,0.990967674181,169.15,11,1301
6.02482,180.2702043056488,178126,437.030614705,0.0,-0.0470619,12.2525,0.0139726,0.984771079384,171.44,12,1313
5.99207,182.32482767105103,180124,444.612070259,0.0,-0.0559244,22.4651,0.015822,0.97948984243,174.07,11,1324
5.97822,184.4030783176422,182247,454.054311303,0.0,-0.053013,20.3791,0.0149334,0.982975421473,177.72,11,1335
5.9648,186.4666087627411,184277,460.514344039,0.0,-0.0513684,17.1542,0.0126686,0.985047082417,179.77,11,1346
5.92337,188.53683233261108,186311,466.53149704,0.0,-0.0533189,18.2525,0.0176596,0.983674805611,181.35,11,1357
5.94374,190.62335181236267,188389,467.206637041,0.0,-0.0474294,13.9951,0.015293,0.984583373182,181.34,12,1369
