loss_ent,EpLenMean,loss_pol_surr,loss_kl,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpRewMean,loss_pol_entpen,TimeElapsed,EpisodesSoFar
8.44598,18.35,-0.0450693,0.0171745,-0.0548305511475,5.70393,111,2047,-0.64848553295,0.0,2.3602242469787598,111
8.43436,20.49,-0.0461096,0.0210181,0.246681153774,9.14488,99,4079,1.96687730338,0.0,4.416619777679443,210
8.36633,24.74,-0.0467319,0.0202614,0.312515795231,16.0245,77,6120,5.46137758267,0.0,6.484724283218384,287
8.31674,31.61,-0.0455153,0.0190597,0.435079932213,23.17,56,8156,8.73188684448,0.0,8.531357765197754,343
8.27912,41.29,-0.0478681,0.0200779,0.430207908154,43.0675,41,10194,16.9613667656,0.0,10.600847482681274,384
8.22008,52.48,-0.0464417,0.0170424,0.532150775194,92.9088,21,12105,29.3719844634,0.0,12.633539915084839,405
8.13699,66.5,-0.041948,0.0136511,0.634348839521,99.6922,19,14264,44.5507006891,0.0,14.68124008178711,424
8.14877,82.64,-0.0413744,0.0120619,0.627237468958,106.801,14,16259,60.9300400864,0.0,16.748784065246582,438
8.1164,97.56,-0.0413852,0.0112472,0.673735231161,114.274,15,18364,80.370788003,0.0,18.812474727630615,453
8.07932,109.26,-0.0450507,0.0131531,0.709543764591,89.1908,12,20359,99.295686204,0.0,20.920441150665283,465
8.07574,126.03,-0.0444779,0.0159598,0.738063246012,80.4303,12,22525,123.697113728,0.0,22.969122171401978,477
8.04124,141.3,-0.0391333,0.0115485,0.78759342432,78.5162,9,24531,144.776062335,0.0,25.03168511390686,486
8.06256,151.81,-0.0418743,0.0125221,0.857160046697,67.5536,11,26539,164.217648712,0.0,27.08288836479187,497
8.02699,163.32,-0.0399142,0.0123932,0.846598207951,72.4712,9,28633,183.35013266,0.0,29.150883436203003,506
7.96171,173.95,-0.0426538,0.013061,0.881296113133,61.1003,7,30471,203.826870227,0.0,31.20337724685669,513
7.96426,186.11,-0.043124,0.0147293,0.89180316031,77.6416,9,32554,222.274028728,0.0,33.26596188545227,522
7.94722,188.82,-0.0432886,0.0140041,0.865196958184,100.64,12,34774,237.033333058,0.0,35.32097887992859,534
7.88696,195.65,-0.040307,0.0140276,0.897493384778,67.1565,10,36863,250.826330053,0.0,37.38405394554138,544
7.91795,203.63,-0.0376966,0.0107782,0.897317141294,95.4474,10,38886,262.224280332,0.0,39.43826341629028,554
7.89336,209.99,-0.04371,0.0158709,0.901635818183,83.4137,9,40914,274.052099251,0.0,41.500887870788574,563
7.83569,217.68,-0.0382104,0.0143887,0.765113383532,120.314,7,42958,284.80541286,0.0,43.57272696495056,570
7.82888,220.45,-0.0444886,0.0138326,0.873702093959,105.62,9,44869,289.783367463,0.0,45.62577819824219,579
7.83278,223.1,-0.0449143,0.0127763,0.798721835017,114.226,8,47082,297.904884675,0.0,47.69042420387268,587
