#{"t_start": 1536357544.408652, "env_id": "Walker2d-v2"}
r,l,t
-2.449703,11,1.16512
-6.974174,18,1.180745
-0.632934,16,1.196369
0.789761,12,1.196369
4.186943,21,1.211994
-1.588717,12,1.211994
6.662652,34,1.243244
-2.396617,33,1.258869
-5.968555,12,1.274493
5.204857,20,1.290118
-3.588638,23,1.305743
2.888102,17,1.305743
0.328839,13,1.321368
5.805652,16,1.336994
3.230393,13,1.336994
-1.17898,16,1.352619
-3.26256,21,1.368243
16.830156,35,1.383869
-0.222608,11,1.399493
-1.176655,9,1.399493
0.805384,21,1.415118
-1.159029,10,1.415118
-2.09672,14,1.430743
11.789776,35,1.461993
-0.284525,13,1.461993
-3.014639,15,1.477619
-4.336042,17,1.477619
1.822018,17,1.493244
-4.469249,12,1.50887
1.633891,30,1.524493
1.940724,25,1.540119
-4.147402,8,1.540119
5.812589,19,1.555744
-3.018609,12,1.571368
-5.766065,9,1.571368
0.204659,14,1.586993
0.785301,11,1.586993
-2.211526,12,1.602618
-7.420961,15,1.602618
3.900274,16,1.618244
0.040848,19,1.633868
-9.025421,20,1.649493
-3.856169,27,1.665118
1.122055,10,1.665118
-6.384694,10,1.680743
3.361171,14,1.680743
7.834873,33,1.711992
1.641853,35,1.727617
-1.137848,12,1.743242
-5.168889,10,1.743242
-7.777645,14,1.760963
-0.812384,13,1.766026
-4.11343,22,1.781652
-6.878831,15,1.781652
-3.558296,9,1.797277
-10.525045,23,1.812903
0.839731,18,1.812903
2.744195,17,1.828527
-2.136102,8,1.844153
2.044798,17,1.844153
-1.086645,17,1.859777
0.358297,15,1.875403
-2.865371,7,1.875403
-5.951789,17,1.891028
-2.955222,12,1.891028
12.708346,27,1.906652
0.174116,10,1.922277
-0.313766,20,1.937903
-0.177349,13,1.937903
-2.341675,22,1.953526
-3.229225,8,1.953526
2.308655,20,1.969153
-2.302719,10,1.984779
1.051158,16,1.984779
-11.817289,18,2.000403
-2.001093,23,2.016027
-7.429494,19,2.031653
0.684566,19,2.047277
-0.045463,13,2.047277
3.424106,13,2.062902
-0.440194,18,2.078527
24.738767,34,2.094153
-0.159158,8,2.094153
2.995803,31,2.125402
-5.908298,10,2.125402
-0.959676,12,2.141027
1.70919,40,2.156652
13.988941,37,2.187901
5.741113,23,2.203526
6.405688,27,2.219152
-0.540208,14,2.234776
-1.467317,23,2.250402
-3.031445,11,2.250402
-5.168607,23,2.266026
-4.049556,22,2.281652
-8.604398,18,2.297277
-5.540021,11,2.297277
-0.395828,14,2.312902
1.419006,13,2.328526
-1.0473,10,2.328526
2.555945,13,2.344151
-2.077238,10,2.344151
-6.698652,19,2.359776
-6.620553,19,2.375401
0.382776,30,2.391026
0.357871,16,2.40665
-1.803231,18,2.40665
8.494927,27,2.422276
9.490159,25,2.453526
-5.45705,8,2.453526
-0.018919,11,2.453526
6.472814,36,2.484776
2.956493,20,2.500401
0.808322,11,2.500401
10.277889,24,2.516026
-4.504294,12,3.446722
2.731441,20,3.462347
2.054301,30,3.477973
2.181228,14,3.493598
-0.722763,12,3.493598
0.987081,15,3.509222
3.296534,19,3.524847
-0.647437,32,3.540471
5.233525,45,3.571722
