EpisodesSoFar,TimestepsSoFar,loss_vf_loss,EpRewMean,loss_pol_surr,TimeElapsed,loss_pol_entpen,EpThisIter,loss_kl,loss_ent,ev_tdlam_before,EpLenMean
115,2039,6.40174,-0.229858326843,-0.0452064,2.3284764289855957,0.0,115,0.018335,8.49945,-0.0164204835892,17.68
216,4047,12.6167,2.15099967996,-0.0543706,4.390833616256714,0.0,101,0.0273821,8.45413,0.234734594822,19.96
284,6126,19.3281,7.07503480499,-0.0486855,6.437525510787964,0.0,68,0.0220477,8.41263,0.263421833515,27.12
318,8147,44.8391,18.6203329985,-0.0454569,8.468930959701538,0.0,34,0.0153688,8.38449,0.343823611736,40.21
353,10126,51.4869,23.9838967432,-0.0444584,10.52779769897461,0.0,35,0.0152724,8.29059,0.540514558554,49.2
374,12245,81.3924,35.8324622097,-0.0383261,12.562683820724487,0.0,21,0.0136174,8.30703,0.646684765816,63.34
392,14313,96.5003,45.2110781593,-0.0414531,14.703252792358398,0.0,18,0.0139286,8.26862,0.725390434265,77.7
407,16339,102.735,57.9304697513,-0.03912,16.75025224685669,0.0,15,0.0124954,8.25159,0.754868984222,88.73
418,18210,104.48,78.4205814259,-0.0436092,18.781644582748413,0.0,11,0.0138224,8.28628,0.61732044816,100.63
429,20294,117.441,94.8633010175,-0.0389856,20.828625679016113,0.0,11,0.0129438,8.26273,0.758966550231,113.97
439,22408,102.044,116.382092244,-0.0369859,22.875804662704468,0.0,10,0.0110716,8.28868,0.831513568759,130.55
451,24573,79.0851,143.106990346,-0.0376964,24.92199420928955,0.0,12,0.013277,8.29956,0.834618493915,145.89
464,26541,79.5431,164.791095443,-0.0439101,26.98462986946106,0.0,13,0.0131111,8.2717,0.723193854094,152.14
477,28578,55.7333,189.172126243,-0.0379093,29.031705141067505,0.0,13,0.0115755,8.27019,0.816288068891,161.23
486,30503,69.7002,205.998564086,-0.0371996,31.095423698425293,0.0,9,0.0134475,8.28513,0.814142048359,169.5
495,32656,63.3997,225.523516625,-0.0402834,33.159332513809204,0.0,9,0.0148836,8.24501,0.887281775475,180.13
508,34807,34.8751,244.384845804,-0.0406707,35.19626498222351,0.0,13,0.0139146,8.27061,0.917712241411,183.01
517,36652,29.251,253.667590804,-0.0392452,37.258565187454224,0.0,9,0.0119409,8.20946,0.915130384266,186.43
531,38862,35.737,262.367112146,-0.0415147,39.321483850479126,0.0,14,0.0135892,8.17751,0.934529095888,181.24
544,40830,31.5977,261.910481698,-0.0427147,41.37513875961304,0.0,13,0.0132211,8.1734,0.925645194948,174.11
557,42966,34.1842,270.365999864,-0.0440711,43.43665361404419,0.0,13,0.0123753,8.18544,0.943487413228,174.73
569,44939,31.4889,274.424296288,-0.0425504,45.50028109550476,0.0,12,0.017783,8.19141,0.920163467526,176.73
580,47047,35.622,279.236252302,-0.0403191,47.562843561172485,0.0,11,0.0136627,8.18765,0.923574797809,179.14
591,48997,28.256,276.158866091,-0.044203,49.60983681678772,0.0,11,0.0120545,8.13449,0.950860936195,170.72
602,51105,27.5552,280.150890086,-0.0338013,51.67961382865906,0.0,11,0.013045,8.14927,0.943908564746,172.04
614,53147,27.1585,280.828504703,-0.0460103,53.741456031799316,0.0,12,0.0148253,8.08775,0.958830397576,169.45
625,55225,22.2403,290.56941806,-0.0379255,55.805304288864136,0.0,11,0.0132184,8.09526,0.965682197362,172.86
635,57180,27.5598,298.664853003,-0.0355589,57.86793756484985,0.0,10,0.0109795,8.065,0.957424905151,176.04
646,59340,32.1627,309.490361022,-0.047139,59.930577754974365,0.0,11,0.0129058,8.03035,0.950119737536,181.98
657,61305,30.4919,315.086848599,-0.0355052,61.99316740036011,0.0,11,0.0104141,8.02608,0.954010389745,183.39
669,63460,24.2139,326.615698658,-0.040609,64.05585837364197,0.0,12,0.01161,7.97534,0.972644761205,185.21
680,65361,15.9173,333.268508419,-0.0415613,66.10927987098694,0.0,11,0.0107833,7.96928,0.979641512036,183.14
692,67454,15.4315,339.044456172,-0.0406121,68.17273950576782,0.0,12,0.0113619,7.96099,0.984458117746,182.89
703,69534,31.0635,340.105807514,-0.036907,70.23118853569031,0.0,11,0.0138246,7.98499,0.962557606399,181.99
714,71624,22.9147,346.44782469,-0.0385646,72.29737496376038,0.0,11,0.0121775,7.9608,0.974488984793,184.77
726,73717,22.207,342.536155322,-0.0371662,74.37528824806213,0.0,12,0.0136049,7.95633,0.974997283891,182.4
736,75690,24.8997,344.109787115,-0.0400682,76.42201495170593,0.0,10,0.014023,7.92601,0.964348871261,182.24
748,77684,12.8168,344.303783489,-0.0431661,78.5002372264862,0.0,12,0.0123443,7.87558,0.987303488888,180.05
759,79763,19.6582,347.477562364,-0.0480019,80.56265211105347,0.0,11,0.0159949,7.82774,0.981019597501,181.18
771,81826,23.8161,346.812906579,-0.0425963,82.62564325332642,0.0,12,0.0109557,7.7784,0.966362006962,179.84
782,83869,22.8274,348.092087389,-0.0430599,84.68839621543884,0.0,11,0.0117832,7.73494,0.969139749184,181.55
794,85841,16.7912,347.439841698,-0.0432892,86.74145698547363,0.0,12,0.0134754,7.70619,0.983484612778,180.64
806,88024,13.7452,350.52639441,-0.049437,88.80352473258972,0.0,12,0.0145666,7.69623,0.987091801129,179.18
817,90080,11.3356,354.245163422,-0.0465827,90.86959218978882,0.0,11,0.0135785,7.69208,0.9887373643,179.65
828,92010,14.9724,356.037444147,-0.0422622,92.9375593662262,0.0,11,0.01316,7.67952,0.984362829477,176.75
838,94166,15.0685,365.256435188,-0.040696,95.01581597328186,0.0,10,0.0131738,7.67184,0.976109363139,181.51
849,96210,14.8036,369.70367428,-0.0447759,97.06381702423096,0.0,11,0.0118509,7.63977,0.986432388425,183.4
860,98241,12.5398,372.319502499,-0.0455427,99.13414907455444,0.0,11,0.0113528,7.63637,0.987447287887,181.8
871,100275,18.8237,377.564640454,-0.0467461,101.18755531311035,0.0,11,0.0155196,7.5682,0.982840312645,184.49
883,102382,16.1269,380.604494479,-0.0481023,103.25431609153748,0.0,12,0.0142739,7.53652,0.985253339633,183.69
896,104314,21.0397,376.096150552,-0.0507912,105.3032238483429,0.0,13,0.0167325,7.50201,0.980091167614,180.81
908,106455,16.4964,377.60108296,-0.0464683,107.36717629432678,0.0,12,0.0176497,7.46097,0.985611940734,180.77
921,108446,18.6552,375.38801477,-0.046217,109.41483354568481,0.0,13,0.0125809,7.42314,0.983560983092,177.21
933,110476,15.8729,371.193537579,-0.0473517,111.49281287193298,0.0,12,0.0136034,7.40597,0.987924992107,172.44
946,112580,13.8703,369.37446235,-0.0469359,113.54752564430237,0.0,13,0.0126411,7.36512,0.988873066381,169.88
957,114629,12.3571,370.779454451,-0.0431484,115.62558150291443,0.0,11,0.0136442,7.34314,0.986238567159,169.29
970,116728,11.9293,370.787122442,-0.0454591,117.67230653762817,0.0,13,0.0123448,7.3176,0.990988459438,166.19
982,118674,15.3075,370.743110124,-0.0508216,119.73462796211243,0.0,12,0.0134936,7.3129,0.986452050507,164.97
994,120804,12.0907,379.985304415,-0.0529335,121.797523021698,0.0,12,0.0152082,7.26317,0.9911755668,167.5
1005,122799,13.9199,387.052670674,-0.0475055,123.84424471855164,0.0,11,0.0157733,7.26565,0.988189851865,168.42
1017,124844,16.4903,394.950457125,-0.0489091,125.92224550247192,0.0,12,0.0149696,7.22311,0.98662742693,170.37
1030,126901,12.6933,394.237057103,-0.0530696,127.96892738342285,0.0,13,0.017737,7.19591,0.990912066773,168.94
1043,128901,13.9875,393.590067536,-0.045872,130.01627612113953,0.0,13,0.0180739,7.14621,0.991560615599,167.89
1055,130931,17.5147,391.109913322,-0.0409427,132.08461785316467,0.0,12,0.0155591,7.15078,0.961957369,166.81
1068,132963,13.6884,390.159078567,-0.0476173,134.13362312316895,0.0,13,0.0148696,7.12246,0.989269951358,165.18
1081,135092,16.1424,394.738190588,-0.0496749,136.19534158706665,0.0,13,0.0171551,7.10799,0.988233606331,166.19
1093,137082,14.6867,393.231030821,-0.0485637,138.2589795589447,0.0,12,0.0154225,7.11759,0.990824276581,164.4
1106,139161,16.9125,390.01086596,-0.0520904,140.31332874298096,0.0,13,0.0185466,7.08765,0.98839241825,161.76
1120,141293,18.343,387.273892336,-0.0509926,142.36377382278442,0.0,14,0.0178699,7.07153,0.985908609815,160.37
1133,143328,16.3442,386.574390916,-0.0477295,144.4147515296936,0.0,13,0.0163451,7.03026,0.986223584041,159.75
1144,145280,12.737,393.589235297,-0.0474224,146.48465633392334,0.0,11,0.0170317,6.99517,0.987545730546,162.35
1156,147424,10.9053,399.342499467,-0.0525983,148.5626344680786,0.0,12,0.0157782,7.03465,0.99239248503,163.37
1169,149408,44.5761,398.034438056,-0.0456764,150.62554144859314,0.0,13,0.0148747,6.9894,0.955517884344,162.69
1182,151495,17.8386,399.508977408,-0.0486502,152.72823691368103,0.0,13,0.0173303,6.9768,0.977025117725,162.51
1194,153486,18.802,401.465224331,-0.0534363,154.84407377243042,0.0,12,0.0144124,6.92046,0.983295314014,162.56
1206,155497,19.1802,404.11670897,-0.0543503,156.9535744190216,0.0,12,0.0172293,6.87593,0.987613191828,163.36
1218,157667,16.0118,414.887898868,-0.0487075,159.04745054244995,0.0,12,0.0197231,6.85236,0.988045618869,166.91
1229,159715,26.0795,426.04837143,-0.0488304,161.14835500717163,0.0,11,0.0192981,6.75191,0.984370237216,170.46
1241,161712,11.8802,426.437947359,-0.054386,163.25378608703613,0.0,12,0.0179051,6.72,0.99055233784,170.05
1253,163717,11.7637,422.787388033,-0.0487681,165.3207733631134,0.0,12,0.0131508,6.70139,0.989794542082,167.38
1265,165835,29.4526,431.720653805,-0.0538894,167.399240732193,0.0,12,0.015056,6.64389,0.983851410449,170.15
1276,167773,19.4147,437.79454029,-0.0510641,169.48516988754272,0.0,11,0.0182913,6.57877,0.987871442921,172.22
1287,169903,34.3264,450.732896847,-0.0513412,171.54462718963623,0.0,11,0.0149982,6.49631,0.974646652117,175.57
1298,172009,34.2172,464.017864665,-0.0494706,173.59450769424438,0.0,11,0.0167263,6.45519,0.978759666905,179.26
1309,174024,21.4926,467.696700778,-0.055277,175.66334533691406,0.0,11,0.0184278,6.44586,0.987194115296,180.15
1320,176001,16.8444,469.498431713,-0.0500799,177.72759246826172,0.0,11,0.0194772,6.43851,0.9885922838,180.19
1332,178099,30.7172,468.734306238,-0.0504177,179.766282081604,0.0,12,0.0180288,6.42073,0.982238445431,178.61
1341,180145,25.8906,487.637377024,-0.0491792,181.8286006450653,0.0,9,0.0192998,6.38609,0.971233300865,184.33
1350,182111,40.5615,504.548319057,-0.0471937,183.87500309944153,0.0,9,0.0173786,6.36219,0.974955055863,188.66
1360,184281,42.4775,522.588776156,-0.0508709,185.92271733283997,0.0,10,0.015762,6.29212,0.982543569058,193.47
