EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpRewMean,loss_ent,EpLenMean,loss_pol_entpen
112,2034,-0.0300133228302,112,6.39553,2.3090169429779053,0.0178998,-0.0443527,-1.19645013239,8.4996,18.42,0.0
217,4086,0.236974477768,105,10.8734,4.356754541397095,0.0248743,-0.0544098,2.93579707888,8.45012,19.62,0.0
291,6121,0.241645634174,74,14.0063,6.4066033363342285,0.0205475,-0.0485875,5.83359142624,8.39804,25.39,0.0
337,8187,0.354237377644,46,28.8794,8.443020343780518,0.0165094,-0.0447493,12.8124039817,8.33966,34.93,0.0
366,10166,0.492589116096,29,81.1453,10.475290536880493,0.0138061,-0.0384359,22.507024844,8.28136,47.01,0.0
390,12269,0.631006985903,24,97.1165,12.512693405151367,0.0119562,-0.0415148,35.4924927892,8.22261,61.65,0.0
409,14137,0.683227002621,19,94.3786,14.531951904296875,0.0123562,-0.0376177,40.7803827344,8.17186,72.02,0.0
419,16342,0.565941184759,10,152.661,16.566282272338867,0.014539,-0.0450457,65.5337045154,8.15807,89.53,0.0
433,18362,0.68019258976,14,162.889,18.590590000152588,0.0132075,-0.0421145,87.2137734643,8.15512,103.04,0.0
443,20294,0.67963501811,10,178.356,20.637901544570923,0.0143709,-0.0411219,106.617316483,8.13224,116.34,0.0
456,22451,0.671230107546,13,158.989,22.687824487686157,0.0140246,-0.0413987,124.982483903,8.11037,130.24,0.0
465,24101,0.703905671835,9,157.719,24.724202871322632,0.0132418,-0.0386582,143.148519673,8.06525,141.12,0.0
474,26482,0.785574749112,9,127.425,26.778703212738037,0.0105328,-0.0331006,161.054835644,8.07553,154.26,0.0
485,28645,0.705680847168,11,92.1406,28.813514471054077,0.0126364,-0.0411003,184.396467649,8.01268,166.82,0.0
496,30680,0.848576352,11,87.9561,30.84918975830078,0.0148869,-0.038845,206.266229036,7.99052,179.96,0.0
506,32626,0.81998424232,10,78.1186,32.888848304748535,0.0127169,-0.0369903,229.920850081,7.92086,187.94,0.0
518,34810,0.851528808475,12,79.0868,34.91894006729126,0.00953325,-0.0346077,235.116659904,7.89477,186.79,0.0
