loss_ent,ev_tdlam_before,loss_kl,EpisodesSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss,EpThisIter,EpLenMean,TimestepsSoFar,loss_pol_surr,TimeElapsed
8.46556,-0.0806831121445,0.0145631,113,0.0,-0.377511861466,7.1436,113,17.93,2046,-0.0432094,2.330136299133301
8.4282,0.234244346619,0.0196141,210,0.0,1.46505994088,10.8986,97,20.59,4065,-0.0467744,4.366021633148193
8.3244,0.286066651344,0.0213853,290,0.0,5.30952916156,15.0122,80,24.58,6132,-0.0495605,6.417178153991699
8.23409,0.368896007538,0.0212434,345,0.0,9.90702735432,28.7288,55,31.38,8173,-0.0465319,8.470722675323486
8.17181,0.495744109154,0.0179258,378,0.0,19.4091121548,48.7237,33,43.7,10213,-0.042643,10.491574764251709
8.12376,0.632448792458,0.0134514,400,0.0,29.5131649826,76.3502,22,57.95,12276,-0.0377037,12.529539823532104
8.04684,0.604849219322,0.0125412,419,0.0,43.5199699649,127.126,19,69.45,14141,-0.042122,14.572022199630737
7.98677,0.629560649395,0.0144833,433,0.0,62.9192693203,133.735,14,86.14,16268,-0.0420139,16.601829767227173
7.94147,0.780809938908,0.0119302,447,0.0,78.1714433749,118.476,14,100.55,18311,-0.0395464,18.640625476837158
7.89104,0.67687690258,0.0139116,458,0.0,98.6263510159,126.529,11,114.07,20395,-0.0447608,20.674530029296875
7.90084,0.768304392695,0.0111312,472,0.0,117.778839092,128.463,14,124.29,22331,-0.0370888,22.71005344390869
7.85965,0.78072732687,0.0112929,481,0.0,143.836671294,111.404,9,139.59,24538,-0.0402211,24.764652490615845
7.87546,0.814815014601,0.0144032,491,0.0,165.91438177,88.4924,10,150.14,26555,-0.0436739,26.81264352798462
7.85178,0.799927175045,0.012888,499,0.0,181.49387444,113.379,8,161.16,28306,-0.0373529,28.850785970687866
7.83892,0.818069830537,0.0158566,509,0.0,207.251389069,82.2168,10,174.66,30526,-0.0396518,30.897249460220337
7.79525,0.820590406656,0.0158818,519,0.0,226.974888795,91.0356,10,185.67,32708,-0.0414326,32.94290089607239
7.79253,0.887461163104,0.0148946,526,0.0,238.942503993,55.4965,7,192.82,34693,-0.0391417,34.975993156433105
7.7767,0.853982821107,0.0123944,535,0.0,260.278908462,43.0485,9,201.21,36701,-0.0389819,37.03022837638855
7.7608,0.921328186989,0.0126769,545,0.0,274.124155625,65.4621,10,208.24,38843,-0.0384762,39.062538623809814
7.69166,0.883432790637,0.0152782,549,0.0,286.023834184,84.0322,4,222.61,40869,-0.036394,41.11075258255005
7.6761,0.879421576858,0.0110552,556,0.0,295.876209453,34.5048,7,226.86,42737,-0.0365157,43.14776968955994
7.6259,0.896784976125,0.0112429,562,0.0,309.411368157,41.2654,6,237.05,44591,-0.0378586,45.2022430896759
7.58638,0.830415248871,0.0115058,572,0.0,322.698054527,59.3509,10,246.44,46975,-0.0383267,47.24920058250427
7.62932,0.923588380218,0.0150511,579,0.0,324.053898926,67.6203,7,251.35,48982,-0.0368685,49.28209829330444
7.61464,0.823500469327,0.0128518,583,0.0,333.518355029,66.6286,4,260.39,50983,-0.0317208,51.34081268310547
7.54367,0.906746119261,0.012451,591,0.0,338.656637695,81.6031,8,265.44,53099,-0.0355773,53.406646490097046
7.49686,0.914053909481,0.0142031,601,0.0,345.893238545,45.6079,10,263.47,55271,-0.0460206,55.454726219177246
7.49091,0.869229882956,0.0119028,609,0.0,352.143083783,70.7371,8,267.76,57302,-0.0371761,57.50534987449646
7.50493,0.92098531872,0.0170762,617,0.0,355.764129676,57.6039,8,269.48,59143,-0.0450152,59.53831386566162
7.47697,0.921366631985,0.0153824,626,0.0,359.694266545,32.0285,9,266.0,61293,-0.0475791,61.6005654335022
7.46039,0.943138454109,0.0140453,636,0.0,362.668650681,34.224,10,264.73,63405,-0.0474508,63.63222694396973
7.4332,0.927865564823,0.012056,645,0.0,373.235273703,38.0314,9,266.11,65454,-0.0404383,65.6865861415863
7.39835,0.94542023167,0.0128849,653,0.0,374.565886848,38.2474,8,256.42,67317,-0.0436005,67.72941637039185
7.3504,0.948982670903,0.014693,664,0.0,365.761985652,32.4544,11,240.91,69628,-0.0411214,69.78070855140686
7.33633,0.958620529622,0.00991554,674,0.0,371.824490337,31.4429,10,242.49,71579,-0.038864,71.83076119422913
7.30111,0.948837824166,0.0134833,683,0.0,367.429559627,40.416,9,226.83,73666,-0.0426278,73.88187599182129
7.29265,0.931934528053,0.0144683,692,0.0,368.935425248,34.6982,9,223.81,75713,-0.0366579,75.92891335487366
7.28497,0.946622677147,0.0128339,700,0.0,370.669903822,35.302,8,224.15,77559,-0.0420699,77.9671401977539
7.24987,0.970713542774,0.0118975,711,0.0,372.409881131,24.8386,11,221.71,79841,-0.0429127,80.02235007286072
7.25622,0.967172898352,0.0149497,720,0.0,374.3147257,25.7038,9,220.56,81847,-0.0387871,82.06181764602661
7.21234,0.929252393544,0.0136937,729,0.0,367.951122945,42.1714,9,218.11,83868,-0.0408215,84.10775065422058
7.15988,0.961204376072,0.0147382,742,0.0,361.746677179,28.6689,13,211.75,85945,-0.0489918,86.1552004814148
7.16437,0.955963507295,0.0140662,753,0.0,353.019025309,30.4662,11,205.77,87894,-0.041159,88.20179057121277
7.133,0.949336156249,0.0123085,763,0.0,355.085559778,30.1224,10,206.19,90052,-0.0366572,90.2881543636322
