#{"env_id": "Walker2d-v2", "t_start": 1536360551.7774475}
r,l,t
-3.561325,16,1.165664
-2.766558,11,1.165664
-4.751502,22,1.181289
1.552573,14,1.196913
1.453036,26,1.212538
1.14108,34,1.228163
6.813605,35,1.259413
-2.103273,24,1.275038
0.341092,14,1.290663
0.364364,16,1.296457
-4.770832,14,1.312084
-7.028336,22,1.312084
-4.504019,12,1.327709
-4.799813,12,1.343333
6.756812,32,1.358961
-3.960496,7,1.358961
-9.012579,20,1.374584
-5.035362,25,1.393318
-8.820447,18,1.408945
-4.900777,26,1.42457
1.585752,20,1.440195
1.754042,21,1.45582
-2.761521,24,1.471445
0.662316,10,1.471445
3.522357,19,1.487068
-3.903756,14,1.487068
1.772324,17,1.502695
-3.8217,10,1.51832
-3.629515,11,1.51832
0.324379,14,1.533945
-6.233326,13,1.533945
-1.23819,12,1.54957
-5.87011,20,1.565195
0.155443,15,1.565195
-4.528476,9,1.58082
4.386161,21,1.58082
-7.175886,20,1.596445
0.75613,11,1.61207
2.047219,17,1.61207
6.366981,28,1.627694
-4.002202,13,1.643319
14.237154,30,1.658945
1.884523,16,1.674569
-0.918436,11,1.674569
-3.946461,8,1.690194
-0.084696,16,1.690194
-4.25373,18,1.705819
-6.957995,20,1.721444
-6.443553,22,1.737069
1.748284,13,1.752694
-2.989276,21,1.752694
-0.593539,10,1.768319
1.360665,18,1.783944
2.874174,15,1.783944
2.777374,21,1.799569
0.941815,10,1.815194
5.707297,29,1.830819
-3.172315,20,1.846444
-2.101442,14,1.846444
-10.429578,20,1.862069
6.979541,22,1.877694
-3.194762,29,1.893319
1.474627,24,1.908943
7.133568,27,1.924569
8.145923,19,1.940193
-1.945841,12,1.955819
-6.188268,15,1.955819
0.986361,13,1.971443
-4.642428,20,1.987068
-1.147469,11,1.987068
-9.206385,19,2.002693
-4.838189,13,2.018318
-7.465074,11,2.018318
1.426362,14,2.033943
-4.426944,17,2.033943
-8.968012,22,2.049568
13.020238,38,2.080818
-0.79753,11,2.080818
-2.681407,11,2.096444
-1.839226,26,2.112068
-5.063812,24,2.127693
-6.646412,15,2.143317
0.14914,14,2.143317
-2.692467,17,2.158943
1.006961,28,2.174568
4.890003,32,2.205817
-2.336494,13,2.205817
-8.220699,14,2.221442
-0.234365,12,2.221442
3.929708,24,2.237067
-5.175827,22,2.252692
-1.553387,8,2.268318
-4.326728,18,2.268318
-0.389947,10,2.28648
-2.94367,28,2.296522
-2.997451,19,2.312149
-5.553307,13,2.327776
1.610382,12,2.327776
1.714545,13,2.343401
-2.539792,14,2.343401
1.576645,14,2.359026
-1.447877,10,2.359026
8.933767,34,2.393389
7.202487,18,2.394566
-1.44874,30,2.42582
-1.704735,14,2.42582
-1.916103,24,2.441444
-4.930312,18,2.457069
19.910165,31,2.472694
-3.50002,22,2.488318
-4.189499,18,2.503943
-6.212828,15,2.519568
-1.000992,15,3.43745
-3.831261,7,3.453081
-3.254326,12,3.453081
25.000616,36,3.484324
-0.147246,11,3.484324
8.515723,40,3.515575
2.174319,31,3.5312
0.163111,42,3.562449
-2.174021,34,3.578074
4.996936,19,3.593699
18.085287,29,3.609324
-1.077021,8,3.624949
1.102356,15,3.624949
5.305262,18,3.640574
-2.899533,26,3.656199
2.579976,13,3.671824
-5.675574,9,3.671824
-3.65639,42,3.703074
-5.087773,32,3.718699
1.727802,13,3.734324
-4.605336,15,3.749949
7.642728,67,3.781199
1.34275,13,3.796824
3.569931,14,3.812449
3.949434,23,3.828074
-3.312153,11,3.828074
5.585377,14,3.843699
5.081831,26,3.859324
-2.859692,13,3.859324
-4.782025,17,3.87495
4.071758,14,3.890573
4.935075,15,3.890573
-4.904109,15,3.906199
-2.256362,21,3.921824
-1.981221,9,3.921824
9.104843,27,3.937449
-2.449855,12,3.953074
-2.011537,8,3.953074
1.524234,18,3.968698
0.364547,15,3.984324
5.059945,23,3.999948
10.385767,43,4.031198
-2.829507,16,4.031198
9.104292,21,4.046823
2.865904,22,4.062448
-0.341363,14,4.078073
-4.383918,17,4.078073
0.288547,12,4.093698
-4.693103,34,4.109323
0.239756,11,4.124948
4.881398,32,4.140573
16.479461,39,4.171822
9.142055,26,4.187448
-0.426042,9,4.187448
-2.580611,15,4.203073
-0.028352,12,4.203073
0.203259,11,4.218698
10.289782,41,4.249949
-1.017513,11,4.249949
3.512716,15,4.265574
9.345733,34,4.281197
14.848018,47,4.312449
5.689363,40,4.343697
11.464494,33,4.359322
-2.242264,10,4.374947
-0.138545,11,4.374947
0.07797,27,4.398689
12.742838,29,4.414317
4.629304,31,4.429942
-2.866014,22,4.445566
1.822353,14,4.461191
4.370638,18,4.476816
2.158008,14,4.476816
2.737607,19,4.492441
-2.476036,18,4.508066
12.858917,28,4.523695
5.390061,17,4.539316
-2.726903,18,4.554941
-1.427518,15,4.554941
8.165486,38,4.586191
0.949328,11,4.586191
10.028505,21,4.601816
3.936259,34,4.633065
0.940878,12,4.633065
-2.086059,12,4.64869
-6.606332,26,4.664315
6.474221,22,4.679941
1.800659,15,4.679941
48.296778,74,4.74244
-0.737865,25,4.758065
8.505042,22,4.758065
4.655252,25,4.78932
20.381583,48,5.484318
0.717804,12,5.499946
7.220597,23,5.515568
-1.235789,19,5.515568
1.824617,12,5.531193
6.399708,28,5.546818
20.041871,33,5.578068
1.213896,14,5.578068
5.05916,24,5.593693
6.607009,26,5.609318
4.494174,15,5.624943
4.480582,30,5.640568
-2.186571,13,5.656192
11.475923,29,5.671817
-4.482773,17,5.687442
2.296175,37,5.703067
4.125535,19,5.718692
10.490919,26,5.734317
9.989899,20,5.749942
1.185491,18,5.765568
8.010483,27,5.781192
1.399802,14,5.796817
8.674596,59,5.828068
2.461495,39,5.859317
7.53075,33,5.874943
-2.489977,9,5.890568
4.47201,37,5.906192
2.475441,19,5.921818
5.899662,33,5.953068
3.746079,16,5.953068
15.337007,31,5.984317
3.255545,18,5.984317
23.155054,32,6.015566
-1.506739,32,6.031193
7.937218,22,6.046818
12.72078,47,6.078067
4.782531,23,6.093693
6.55053,33,6.109317
5.845725,18,6.124942
-0.586307,9,6.140567
9.092023,30,6.156192
8.549232,31,6.171817
0.407228,14,6.187442
5.70551,17,6.203065
-4.660582,10,6.203065
4.035349,22,6.218692
1.235835,21,6.234317
10.077519,29,6.249941
7.024073,34,6.281204
3.363077,17,6.281204
-0.665779,30,6.312446
7.630044,29,6.328067
-4.367656,11,6.328067
11.086714,42,6.359316
-4.41467,13,6.374941
-4.586469,11,6.374941
3.51983,17,6.398738
1.337664,33,6.414366
1.744638,17,6.429991
1.660088,12,6.429991
-2.390075,25,6.445616
-0.837483,13,6.461241
3.723172,24,6.476866
12.656916,46,6.508115
5.997924,19,6.52374
0.13111,20,6.539365
7.770382,22,6.554991
20.00875,34,6.570615
-0.350753,14,6.58624
11.304465,31,6.601865
9.319618,27,6.617491
0.429056,19,6.633115
-6.858515,34,6.64874
7.385018,34,6.679989
10.34133,30,6.695615
4.774829,17,6.711241
-1.924014,9,6.711241
9.425995,20,6.726865
-0.401134,12,6.74249
-3.13768,8,6.74249
3.625588,17,6.758114
-0.649937,18,6.758114
6.282496,32,6.789365
-1.48926,23,6.80499
2.721429,18,6.820615
-0.203022,23,6.83624
-1.198963,30,6.851864
4.057184,74,7.577771
12.125547,55,7.609021
36.10069,56,7.640271
7.192709,19,7.655896
33.149407,71,7.702771
29.484889,61,7.749646
1.496876,18,7.749646
9.413431,35,7.780896
8.459294,29,7.796521
49.196408,75,7.843396
18.689315,39,7.874646
14.422607,40,7.905898
-1.416655,16,7.905898
14.073527,38,7.937145
17.162662,40,7.968395
24.022003,39,7.98402
2.738724,12,7.999645
-0.14931,11,7.999645
3.135949,20,8.01527
6.76905,19,8.030895
-4.785618,10,8.030895
0.789739,20,8.04652
-0.605633,11,8.062145
42.552152,47,8.093395
14.795418,32,8.10902
24.232696,44,8.14027
10.097194,35,8.155895
5.844308,15,8.17152
19.674431,35,8.20277
17.423899,39,8.218395
13.766155,43,8.249645
8.890611,23,8.26527
39.08613,157,8.374644
25.18134,38,8.398398
11.041918,38,8.414025
4.575376,22,8.429651
9.102173,34,8.4609
8.476608,35,8.476525
65.977941,92,8.539025
6.434258,22,8.55465
-1.119851,18,8.570275
12.478674,28,8.585901
9.604068,26,8.601525
26.201846,36,8.632775
35.246005,53,8.664027
27.77667,54,8.695274
6.151273,15,8.710901
1.623683,14,8.710901
13.130205,24,8.726524
4.116559,21,8.742149
67.078226,93,8.804649
10.172516,43,8.835899
-0.254023,12,8.851524
6.556909,18,8.851524
2.514814,18,8.867149
3.242354,14,8.882774
0.754601,10,9.562225
22.514116,46,9.593475
21.853017,39,9.624737
7.915535,23,9.64035
0.576171,13,9.64035
92.476144,110,9.718475
29.736519,83,9.765349
14.497109,38,9.796599
208.227793,153,9.890349
45.517955,50,9.937225
40.609153,112,9.999724
43.863683,58,10.0466
8.383907,30,10.062224
5.559964,40,10.093473
26.428892,49,10.124723
13.912033,28,10.140349
137.214612,183,10.265349
92.976624,135,10.359097
2.448206,16,10.359097
10.11611,36,10.395455
7.224764,28,10.414142
49.177827,83,10.461017
26.032902,79,10.507892
14.522991,45,10.539141
11.784315,33,10.570391
51.287382,80,10.617266
31.240494,55,10.648516
31.782227,40,10.679766
10.040947,34,10.711074
73.784474,78,10.75789
11.313743,29,10.773516
61.926912,102,10.85164
8.3636,45,10.867265
1.071527,46,10.898515
3.445452,24,10.914141
17.058647,31,11.609242
11.198299,34,11.640504
3.554123,62,11.671741
40.232776,109,11.749867
27.349004,63,11.796741
11.522601,24,11.812366
54.570464,66,11.843616
8.270881,29,11.874866
6.076478,74,11.921741
106.779151,143,12.015491
97.073115,150,12.10924
42.218683,82,12.17174
83.88772,102,12.23424
59.08664,61,12.26549
63.424251,138,12.359239
51.750679,87,12.414289
53.285316,81,12.476789
4.473929,24,12.492414
25.932568,91,12.554913
324.096646,382,12.804913
10.501783,35,12.820538
68.441014,109,12.898662
302.262177,240,13.734386
14.878996,28,13.750011
37.037373,67,13.796887
146.166513,196,13.937509
33.926724,52,13.968762
171.221244,273,14.140633
41.23216,80,14.203133
