loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.0188443,2043,0.0122333168983,-0.0448404,112,8.49214,17.95,112,0.0,6.46965,2.31866192817688,-1.07743580761
0.0205696,4068,0.223483383656,-0.0466017,204,8.4593,21.97,92,0.0,12.0589,4.349904537200928,2.7159804431
0.0232009,6141,0.299595952034,-0.0501003,291,8.37073,24.1,87,0.0,9.5916,6.412108659744263,4.68324561189
0.015724,8187,0.332291960716,-0.0463482,347,8.31261,30.3,56,0.0,21.3348,8.443437099456787,9.73377758193
0.0154622,10240,0.424189567566,-0.0435833,382,8.26459,42.8,35,0.0,53.9969,10.474828958511353,20.6132655205
0.0169491,12217,0.597147256136,-0.0465735,404,8.19746,54.88,22,0.0,51.8779,12.506222248077393,30.0419010106
0.0128064,14310,0.51593208313,-0.0423545,422,8.15986,70.71,18,0.0,89.6888,14.537112474441528,44.9306125626
0.0134798,16117,0.609485685825,-0.0418245,436,8.12616,82.56,14,0.0,127.103,16.56855010986328,60.2383496874
0.0134904,18359,0.707780718803,-0.0419668,447,8.12952,101.72,11,0.0,116.231,18.59986400604248,83.9827360026
0.0132579,20340,0.752649143338,-0.0412801,459,8.08215,114.18,12,0.0,135.433,20.631120443344116,102.60815917
0.0127807,22396,0.804617524147,-0.0423557,471,8.08472,127.22,12,0.0,118.613,22.662035703659058,124.240693147
0.0113121,24534,0.760446682572,-0.0409377,481,8.05455,143.18,10,0.0,115.559,24.693887948989868,151.640690175
0.0137408,26601,0.789430126548,-0.04057,491,8.0226,158.69,10,0.0,127.418,26.742995500564575,178.575557725
0.0129705,28549,0.658905595541,-0.0416526,498,7.99712,170.54,7,0.0,115.995,28.778377532958984,198.990057192
0.0145831,30629,0.846701234579,-0.0414041,506,7.99382,181.44,8,0.0,104.632,30.826363801956177,212.35202041
0.0109177,32643,0.751039534807,-0.0379235,515,7.97409,189.24,9,0.0,116.644,32.85772109031677,231.005302955
0.0109559,34647,0.864516034722,-0.0409524,526,7.97181,199.24,11,0.0,74.0355,34.90472197532654,254.009690342
0.01127,36698,0.831721931696,-0.0345163,534,7.9651,208.74,8,0.0,80.8005,36.95161581039429,270.037188766
0.0111411,38815,0.884326919913,-0.0398091,545,7.92078,207.1,11,0.0,72.1038,38.983041763305664,279.654523132
0.0123217,40665,0.833591431379,-0.0389225,554,7.95047,212.08,9,0.0,52.3821,41.030051469802856,295.606735244
0.0133309,42832,0.894968606532,-0.0440189,565,7.92533,213.51,11,0.0,52.3675,43.08544731140137,307.335947079
0.0128116,44854,0.903272561729,-0.0375872,574,7.93811,217.83,9,0.0,42.4289,45.139349699020386,316.845118043
0.0108505,46975,0.92190220952,-0.040283,584,7.90083,218.17,10,0.0,44.0712,47.19424486160278,323.782841754
0.0151687,48810,0.922556579113,-0.0412292,592,7.88471,219.48,8,0.0,37.0239,49.240238666534424,332.076582829
0.0133397,51019,0.917999565601,-0.0441487,602,7.87142,216.52,10,0.0,43.2096,51.281702280044556,333.353665693
0.0134208,53239,0.933837719262,-0.0385217,611,7.80286,216.59,9,0.0,34.0491,53.33401894569397,344.481650177
0.0144597,55261,0.964362610132,-0.0427571,621,7.81317,214.0,10,0.0,24.5354,55.384190797805786,346.499352826
0.0133954,57313,0.965324304998,-0.0433628,630,7.78432,218.62,9,0.0,21.846,57.43505859375,356.289033966
0.0121844,59166,0.972502928227,-0.0399089,638,7.76226,217.89,8,0.0,17.6535,59.48275899887085,357.876642717
0.0121626,61254,0.97387502715,-0.0424305,647,7.75127,220.72,9,0.0,21.1391,61.52178716659546,365.705224839
0.0134406,63483,0.97835203819,-0.0394146,658,7.73798,219.21,11,0.0,18.1578,63.569740295410156,367.476166649
0.0128898,65517,0.957220457494,-0.0369972,668,7.77632,221.19,10,0.0,20.5574,65.63134455680847,368.309420235
0.0135929,67476,0.979994950816,-0.0430853,677,7.74212,219.69,9,0.0,14.6886,67.67824244499207,370.633442847
0.0120906,69542,0.983935303986,-0.0418856,687,7.69258,219.34,10,0.0,13.1752,69.74400162696838,371.72612945
0.0127297,71516,0.97468950972,-0.0395272,695,7.68615,220.3,8,0.0,16.6479,71.79573631286621,375.924757881
0.0136677,73469,0.983742613345,-0.0445412,705,7.66452,217.55,10,0.0,12.3865,73.83442878723145,376.458771719
0.0137597,75644,0.985020094551,-0.0495324,716,7.58719,214.23,11,0.0,15.012,75.88680720329285,375.642069917
0.0151117,77625,0.986224201508,-0.044429,727,7.56219,210.4,11,0.0,9.7075,77.93185210227966,374.101231124
0.0142535,79827,0.969223456457,-0.0344828,738,7.56088,206.61,11,0.0,13.219,79.98146748542786,368.890075546
0.0133198,81917,0.988362377509,-0.0434867,750,7.5591,200.39,12,0.0,12.1027,82.03012704849243,363.343346419
0.0129543,83741,0.990049796179,-0.0437642,759,7.49423,200.26,9,0.0,8.14368,84.08439254760742,365.086187027
0.0123337,86014,0.97126185894,-0.0403675,771,7.48528,199.67,12,0.0,20.571,86.13138699531555,365.815459519
0.0160356,88028,0.988090819679,-0.0483221,783,7.4368,194.39,12,0.0,10.4404,88.1777114868164,362.361553044
0.0133436,90024,0.989082173444,-0.0491875,794,7.39166,187.83,11,0.0,7.99542,90.24007272720337,357.745534611
0.0148538,92083,0.992015720345,-0.0459625,806,7.36562,183.36,12,0.0,9.32665,92.27913236618042,355.200627949
0.0147352,94204,0.98117223382,-0.0414105,818,7.33878,181.91,12,0.0,16.113,94.34173798561096,354.549374764
0.0140779,96255,0.975822219625,-0.0459683,828,7.3656,184.2,10,0.0,17.7412,96.38774013519287,357.842946035
0.0160749,98187,0.984753038734,-0.0518538,839,7.29283,181.55,11,0.0,12.0737,98.43641328811646,357.947912612
0.014186,100173,0.988699760288,-0.0451418,850,7.25597,182.56,11,0.0,11.5131,100.4745991230011,361.417455128
