Env, learningRate, networkWidth, networkActivation, nEpisodes, iterSimBudget, nEpochs, minibatchSize, actionRepeat, meanEpisodeReward, bestSoFar 
Walker2d-v2,0.00017460054583486563,123,tanh,None,17968,17,529,2,363.256571425144,363.256571425144 
Walker2d-v2,0.00035637742829804846,87,tanh,None,24607,7,397,2,379.7158687848219,379.7158687848219 
Walker2d-v2,0.000355400725611384,91,lrelu,None,25451,20,192,2,367.89214326322474,367.89214326322474 
Walker2d-v2,0.0009847447115759527,152,tanh,None,49243,18,957,2,246.18996350425894,246.18996350425894 
Walker2d-v2,0.00012147122436803689,62,lrelu,None,32158,5,206,2,294.18873549951263,294.18873549951263 
Walker2d-v2,0.0006049173423514975,199,tanh,None,7565,16,294,2,361.6488537180257,361.6488537180257 
Walker2d-v2,0.00024704437697988305,245,lrelu,None,50639,17,389,2,271.99169541131937,271.99169541131937 
Walker2d-v2,0.0004299997471805297,43,lrelu,None,10495,20,225,2,739.5210295097464,739.5210295097464 
Walker2d-v2,0.00017385313998991684,153,tanh,None,43878,10,898,2,218.46957561839017,218.46957561839017 
Walker2d-v2,0.0005025383829386422,120,lrelu,None,59435,9,558,2,271.0230579586942,271.0230579586942 
Walker2d-v2,0.0002587409475631647,153,tanh,None,57463,13,778,2,252.737930923025,252.737930923025 
Walker2d-v2,0.0001688078517860745,254,tanh,None,7945,12,310,1,827.332030715325,827.332030715325 
Walker2d-v2,0.0002986328064776296,32,lrelu,None,24188,12,211,1,733.1297148464292,733.1297148464292 
Walker2d-v2,0.00010273574886854802,76,lrelu,None,29135,8,225,2,263.44430094316294,263.44430094316294 
Walker2d-v2,0.00022233441713948252,68,lrelu,None,6602,13,600,1,728.7503287350507,728.7503287350507 
Walker2d-v2,0.00036390269607639497,62,lrelu,None,21415,6,177,1,835.4252302278004,835.4252302278004 
Walker2d-v2,0.00036390269607639497,62,lrelu,None,22415,6,177,1,753.23828603781,753.23828603781 
Walker2d-v2,0.00038264429715526883,256,lrelu,None,2653,1,424,1,414.3225872894522,414.3225872894522 
Walker2d-v2,0.0004614040087294843,229,lrelu,None,19204,2,936,2,198.8636831367317,198.8636831367317 
Walker2d-v2,0.00010275049959926104,136,lrelu,None,39185,9,610,2,262.27273957224094,262.27273957224094 
Walker2d-v2,0.0008342250974105497,47,tanh,None,48254,4,989,1,288.9032818718204,288.9032818718204 
Walker2d-v2,0.0005882191679620915,75,lrelu,None,37110,12,145,2,466.824514414285,466.824514414285 
Walker2d-v2,0.0004941377982021877,27,lrelu,None,39618,19,261,2,416.7223220771222,416.7223220771222 
Walker2d-v2,0.0008195807002413218,116,lrelu,None,34744,17,60,1,6.278802093621886,6.278802093621886 
Walker2d-v2,0.00044456285689816567,72,tanh,None,2029,11,421,1,655.5840326245395,655.5840326245395 
Walker2d-v2,0.0001835344880822934,237,tanh,None,9602,3,174,2,774.0287604914015,774.0287604914015 
Walker2d-v2,0.0008980263976723731,195,tanh,None,11102,11,773,1,488.61612527224827,488.61612527224827 
Walker2d-v2,0.0009041794588268807,198,lrelu,None,10400,4,1024,2,2.161378635673675,2.161378635673675 
Walker2d-v2,0.0003706547968547215,204,lrelu,None,32922,14,933,1,598.4351096775214,598.4351096775214 
Walker2d-v2,0.0008503247995543425,236,lrelu,None,15670,11,403,1,7.585097700380185,7.585097700380185 
Walker2d-v2,0.0003341608479331481,247,lrelu,None,16753,14,504,1,708.2978320628798,708.2978320628798 
Walker2d-v2,0.0005744556665507148,27,lrelu,None,49036,12,1002,1,351.2321856666388,351.2321856666388 
Walker2d-v2,0.0001637455034375574,140,lrelu,None,52781,6,67,1,428.59980901015524,428.59980901015524 
Walker2d-v2,0.00028595145338186656,82,tanh,None,8440,4,664,2,512.878568262168,512.878568262168 
Walker2d-v2,0.0004650532066657048,196,tanh,None,40662,5,109,1,304.6302892731852,304.6302892731852 
Walker2d-v2,0.00011114010478088881,16,tanh,None,45598,1,957,2,110.05903667989534,110.05903667989534 
Walker2d-v2,0.00022937591860153282,56,lrelu,None,50513,15,579,1,320.6786911979438,320.6786911979438 
Walker2d-v2,0.00011774987242572722,93,tanh,None,34474,4,98,2,346.07720508849144,346.07720508849144 
Walker2d-v2,0.00029723978726769193,54,tanh,None,7452,18,579,2,422.96968208347755,422.96968208347755 
Walker2d-v2,0.0001352416924613687,249,tanh,None,38555,20,90,1,301.18657152940494,301.18657152940494 
