Env, learningRate, networkWidth, networkActivation, nEpisodes, iterSimBudget, nEpochs, minibatchSize, actionRepeat, meanEpisodeReward, bestSoFar 
Walker2d-v2,0.00017460054583486563,123,tanh,None,17968,17,529,2,224.7768357666688,224.7768357666688 
Walker2d-v2,0.00035637742829804846,87,tanh,None,24607,7,397,2,229.96388317598138,229.96388317598138 
Walker2d-v2,0.000355400725611384,91,lrelu,None,25451,20,192,2,239.80411783783939,239.80411783783939 
Walker2d-v2,0.0009847447115759527,152,tanh,None,49243,18,957,2,-1.9302744789589539,-1.9302744789589539 
Walker2d-v2,0.00012147122436803689,62,lrelu,None,32158,5,206,2,198.35240781920106,198.35240781920106 
Walker2d-v2,0.0006049173423514975,199,tanh,None,7565,16,294,2,108.35136480348154,108.35136480348154 
Walker2d-v2,0.00024704437697988305,245,lrelu,None,50639,17,389,2,180.1379605853268,180.1379605853268 
Walker2d-v2,0.0004299997471805297,43,lrelu,None,10495,20,225,2,102.64214033778765,102.64214033778765 
Walker2d-v2,0.00017385313998991684,153,tanh,None,43878,10,898,2,134.14702195942908,134.14702195942908 
Walker2d-v2,0.0005025383829386422,120,lrelu,None,59435,9,558,2,150.8416881811553,150.8416881811553 
Walker2d-v2,0.0002587409475631647,153,tanh,None,57463,13,778,2,99.5782162201305,99.5782162201305 
Walker2d-v2,0.0001688078517860745,254,tanh,None,7945,12,310,1,38.35834851103856,38.35834851103856 
Walker2d-v2,0.0002986328064776296,32,lrelu,None,24188,12,211,1,206.29121762501208,206.29121762501208 
Walker2d-v2,0.00010273574886854802,76,lrelu,None,29135,8,225,2,216.6538999072869,216.6538999072869 
Walker2d-v2,0.00022233441713948252,68,lrelu,None,6602,13,600,1,206.1991653086116,206.1991653086116 
Walker2d-v2,0.00036390269607639497,62,lrelu,None,21415,6,177,1,10.086617090147879,10.086617090147879 
Walker2d-v2,0.00036390269607639497,62,lrelu,None,22415,6,177,1,185.27335153887472,185.27335153887472 
Walker2d-v2,0.00038264429715526883,256,lrelu,None,2653,1,424,1,148.5701929030962,148.5701929030962 
Walker2d-v2,0.0004614040087294843,229,lrelu,None,19204,2,936,2,10.09774374239187,10.09774374239187 
Walker2d-v2,0.00010275049959926104,136,lrelu,None,39185,9,610,2,59.085757495257155,59.085757495257155 
Walker2d-v2,0.0008342250974105497,47,tanh,None,48254,4,989,1,237.44153350283864,237.44153350283864 
Walker2d-v2,0.0005882191679620915,75,lrelu,None,37110,12,145,2,221.12527628212206,221.12527628212206 
Walker2d-v2,0.0004941377982021877,27,lrelu,None,39618,19,261,2,194.9014699861026,194.9014699861026 
Walker2d-v2,0.0008195807002413218,116,lrelu,None,34744,17,60,1,197.40177776376464,197.40177776376464 
Walker2d-v2,0.00044456285689816567,72,tanh,None,2029,11,421,1,396.70292926153536,396.70292926153536 
Walker2d-v2,0.0001835344880822934,237,tanh,None,9602,3,174,2,67.18140736585643,67.18140736585643 
Walker2d-v2,0.0008980263976723731,195,tanh,None,11102,11,773,1,195.65180753973914,195.65180753973914 
Walker2d-v2,0.0009041794588268807,198,lrelu,None,10400,4,1024,2,157.93292414585042,157.93292414585042 
Walker2d-v2,0.0003706547968547215,204,lrelu,None,32922,14,933,1,149.8830545228626,149.8830545228626 
